,Repo_id,URL,VAG,AWS,AZ,PUP,TF/OT,SS,PUL,BIC,DOCK,CHEF,GOOG,KUB,ANS,Validated files,IaC_tools
0,claranet_spryker-demoshop,https://github.com/claranet/spryker-demoshop,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
1,nocproject_noc,https://github.com/nocproject/noc,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
2,MaharaProject_mahara,https://github.com/MaharaProject/mahara,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
3,mirumee_saleor,https://github.com/mirumee/saleor,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
4,cfpb_hmda-platform,https://github.com/cfpb/hmda-platform,0,0,0,0,0,0,0,0,1,0,0,1,0,,"DOCK, KUB"
5,superdesk_superdesk,https://github.com/superdesk/superdesk,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
6,EGroupware_egroupware,https://github.com/EGroupware/egroupware,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
7,mozilla-bteam_bmo,https://github.com/mozilla-bteam/bmo,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
8,golastmile_rasa_nlu,https://github.com/golastmile/rasa_nlu,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
9,taskcluster_taskcluster,https://github.com/taskcluster/taskcluster,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
10,samvera_hyrax,https://github.com/samvera/hyrax,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
11,milvus-io_milvus,https://github.com/milvus-io/milvus,0,0,0,0,0,0,0,0,1,0,0,1,0,,"DOCK, KUB"
12,daos-stack_daos,https://github.com/daos-stack/daos,0,0,0,0,0,0,0,0,0,0,0,0,1,,ANS
13,weseek_growi,https://github.com/weseek/growi,0,0,0,0,1,0,0,0,1,0,0,0,1,{'TF': '/Users/mrobredo23/weseek_growi/apps/app/docker/codebuild/codebuild.tf'},"TF/OT, DOCK, ANS"
14,onap_clamp,https://github.com/onap/clamp,0,0,0,0,0,0,0,0,1,0,0,0,0,,DOCK
15,4teamwork_opengever.core,https://github.com/4teamwork/opengever.core,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
16,codalab_codalab-competitions,https://github.com/codalab/codalab-competitions,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
17,pravega_pravega,https://github.com/pravega/pravega,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
18,sillsdev_web-languageforge,https://github.com/sillsdev/web-languageforge,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
19,mesosphere_marathon,https://github.com/mesosphere/marathon,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/mesosphere_marathon/tests/jepsen/Vagrantfile'},"VAG, DOCK, ANS"
20,rucio_rucio,https://github.com/rucio/rucio,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
21,MarkUsProject_Markus,https://github.com/MarkUsProject/Markus,1,0,0,0,0,0,0,0,1,0,0,0,1,{'VAG': '/Users/mrobredo23/MarkUsProject_Markus/Vagrantfile'},"VAG, DOCK, ANS"
22,onap_multicloud-k8s,https://github.com/onap/multicloud-k8s,1,0,0,0,0,0,0,0,1,0,0,1,0,{'VAG': '/Users/mrobredo23/onap_multicloud-k8s/kud/tests/vFW/Vagrantfile'},"VAG, DOCK, KUB"
23,poanetwork_blockscout,https://github.com/poanetwork/blockscout,0,0,0,0,0,0,0,0,1,0,0,0,1,,"DOCK, ANS"
