('pip:zodb3', '3.10.7')
('pip:plone-app-linkintegrity', '1.5.10')
('pip:collective-js-jqueryui', '1.10.4')
('pip:mechanize', '0.4.8')
('pip:plonetheme-classic', '1.5.1')
('pip:simplejson', '2.5.2')
('pip:products-securemailhost', '1.1.2')
('pip:products-mimetypesregistry', '2.0.11')
('pip:zope-browser', '1.3')
('pip:plone-rest', '1.2.0')
('pip:plone-folder', '1.0.12')
('pip:zope-i18n', '3.7.4')
('pip:zc-relation', '1.0')
('pip:zope-container', '3.11.2')
('pip:plone-app-z3cform', '0.7.8')
('pip:z3c-relationfield', '0.6.3')
('pip:record', '2.13.0')
('pip:robotframework-selenium2library', '1.7.4')
('pip:chameleon', '3.3')
('pip:zope-schema', '4.2.2')
('pip:products-cmfformcontroller', '3.0.8')
('pip:plone-contentrules', '2.0.10')
('pip:ftw-catalogdoctor', '1.2.0')
('pip:lepl', '5.1.3')
('pip:beautifulsoup', '3.2.1')
('pip:zope-app-container', '3.9.2')
('pip:zope-component', '3.9.5')
('pip:zserver', '3.0')
('pip:plone-registry', '1.0.5')
('actions:docker/setup-qemu-action', '2')
('pip:zope-intid', '3.7.2')
('pip:zope-globalrequest', '1.2')
('pip:products-cmfdifftool', '2.2.1')
('pip:node-ext-zodb', '1.2')
('pip:clamd', '1.0.2')
('pip:ftw-datepicker', '1.3.4')
('pip:apachelog', '1.0')
('pip:ftw-zopemaster', '1.4.0')
('pip:products-standardcachemanagers', '2.13.1')
('pip:plone-schemaeditor', '1.4.1')
('pip:zope-size', '3.4.1')
('pip:plone-resource', '1.2.3')
('pip:plone-api', '1.10.2')
('pip:plone-app-controlpanel', '2.3.11')
('pip:products-tinymce', '1.3.29')
('pip:ftw-solr', '2.13.2')
('pip:plone-app-upgrade', '1.4.7')
('pip:zope-security', '3.7.4')
('pip:subprocess32', '3.2.7')
('pip:products-ofsp', '2.13.2')
('pip:plone-app-jquerytools', '1.9.5')
('pip:zope-i18nmessageid', '3.5.3')
('pip:plone-app-folder', '1.1.3')
('pip:plone-keyring', '3.0.2')
('com.github.4teamwork/opengever.core', '')
('pip:products-dcworkflow', '2.2.5')
('pip:tarjan', '0.2.3.2')
('pip:archetypes-querywidget', '1.1.3')
('pip:robotframework', '3.0.4')
('pip:pycparser', '2.18')
('pip:ua-parser', '0.8.0')
('pip:products-cmfquickinstallertool', '3.0.16')
('pip:five-customerize', '1.1')
('pip:requests', '2.27.1')
('pip:lxml', '4.9.4')
('pip:products-btreefolder2', '2.13.3')
('pip:plone-synchronize', '1.0.4')
('pip:five-formlib', '1.0.4')
('pip:borg-localrole', '3.0.3')
('pip:zc-lockfile', '1.0.2')
('pip:zope-formlib', '4.3.0')
('pip:products-archetypes', '1.9.21')
('pip:plone-session', '3.5.6')
('pip:products-contentmigration', '2.1.19')
('pip:plone-app-locales', '4.3.17')
('pip:zope-app-file', '3.6.1')
('pip:plone-cachepurging', '1.0.16')
('pip:acquisition', '2.13.12')
('pip:plone-app-jquery', '1.11.2')
('pip:ftw-bumblebee', '4.0.0')
('pip:psutil', '5.8.0')
('pip:initgroups', '2.13.0')
('pip:z3c-saconfig', '0.14')
('pip:ftw-builder', '2.0.0')
('pip:diazo', '1.1.3')
('pip:plone-restapi', '6.14.0')
('pip:plone-browserlayer', '2.1.7')
('pip:python-docx', '0.8.10')
('pip:plone-openid', '2.0.5')
('pip:plone-app-redirector', '1.2.2')
('pip:ftw-tabbedview', '4.2.1')
('pip:msgpack', '0.6.2')
('pip:zope-app-form', '4.0.2')
('pip:ftw-keywordwidget', '2.2.4')
('pip:plone-app-contentmenu', '2.0.12')
('pip:tzlocal', '1.5.1')
('pip:accesscontrol', '3.0.11')
('pip:plone-app-collection', '1.0.15')
('pip:plone-app-intid', '1.0.5')
('pip:ftw-pdfgenerator', '1.6.4')
('pip:zope-app-content', '3.5.1')
('pip:robotsuite', '1.7.0')
('pip:mako', '1.1.6')
('pip:products-atcontenttypes', '2.1.19')
('pip:pyxb', '1.2.5')
('pip:plone-locking', '2.0.10')
('pip:python-ldap', '2.4.45')
('pip:zope-copy', '3.5.0')
('pip:psycopg2', '2.8.6')
('pip:plone-app-customerize', '1.2.3')
('pip:six', '1.15.0')
('pip:python-dateutil', '1.5')
('pip:plone-batching', '1.0.8')
('pip:plone-app-contentlisting', '1.0.7')
('pip:et-xmlfile', '1.0.1')
('pip:zope-deferredimport', '3.5.3')
('pip:node', '0.9.22')
('pip:products-atreferencebrowserwidget', '3.0')
('pip:archetypes-schemaextender', '2.1.8')
('pip:requests-mock', '1.5.2')
('pip:z3c-pt', '3.1.0')
('pip:plone-portlets', '2.2.3')
('pip:plone-theme', '2.1.5')
('pip:markupsafe', '1.1.1')
('pip:redis', '3.5.3')
('pip:ftw-copymovepatches', '1.1.1')
('pip:multimapping', '2.13.0')
('pip:jinja2', '2.11.3')
('pip:plone-namedfile', '3.0.11')
('pip:products-cmfdefault', '2.2.4')
('pip:wicked', '1.1.12')
('pip:zope-app-appsetup', '3.14.0')
('pip:products-cmfcalendar', '2.2.3')
('pip:cryptography', '3.3.2')
('pip:ftw-contentmenu', '2.4.0')
('pip:urllib3', '1.26.18')
('pip:docxcompose', '1.4.0')
('pip:feedparser', '5.0.1')
('pip:plone4-csrffixes', '1.1.1')
('pip:products-portaltransforms', '2.1.12')
('pip:i18ndude', '4.4.0')
('pip:z3c-unconfigure', '1.0.1')
