('maven:net.bytebuddy:byte-buddy-agent', '1.14.17')
('maven:com.github.stephenc.jcip:jcip-annotations', '1.0-1')
('maven:org.glassfish.jersey.core:jersey-common', '3.0.14')
('maven:io.dropwizard:dropwizard-lifecycle', '4.0.7')
('maven:com.github.cafapi.plugins.docker.versions:docker-versions-maven-plugin', '')
('maven:org.apache.httpcomponents:httpclient', '4.5.14')
('maven:org.glassfish.hk2:hk2-utils', '3.1.0')
('npm:grunt-build-control', '^ 0.7.1')
('maven:org.glassfish.jersey.ext:jersey-metainf-services', '3.0.14')
('maven:org.glassfish.hk2:osgi-resource-locator', '1.0.3')
('maven:org.slf4j:jul-to-slf4j', '2.0.13')
('maven:org.slf4j:slf4j-simple', '2.0.13')
('maven:io.swagger:swagger-annotations', '1.6.14')
('rubygems:github-pages', '>= 0')
('maven:jakarta.servlet:jakarta.servlet-api', '5.0.0')
('maven:com.microsoft.azure:adal4j', '1.6.7')
('maven:com.google.code.gson:gson', '2.11.0')
('maven:com.jayway.jsonpath:json-path', '2.9.0')
('maven:jakarta.annotation:jakarta.annotation-api', '3.0.0')
('maven:com.github.autoscaler:autoscale-api', '')
('maven:org.graalvm.truffle:truffle-runtime', '24.0.1')
('maven:org.graalvm.shadowed:icu4j', '24.0.1')
('maven:org.slf4j:jcl-over-slf4j', '2.0.13')
('maven:io.dropwizard.metrics:metrics-json', '4.2.26')
('maven:io.kubernetes:client-java', '')
('maven:io.kubernetes:client-java-extended', '')
('maven:org.graalvm.truffle:truffle-api', '24.0.1')
('maven:com.github.autoscaler:autoscale-core', '3.0.0-SNAPSHOT')
('maven:com.github.autoscaler:autoscale-workload-rabbit', '')
('maven:org.apache.commons:commons-collections4', '4.4')
('maven:com.github.cafapi.util:util-naming', '3.1.0-596')
('maven:io.dropwizard:dropwizard-configuration', '4.0.7')
('maven:io.dropwizard:dropwizard-jetty', '4.0.7')
('maven:com.github.cafapi.util:util-naming', '')
('maven:org.mockito:mockito-inline', '')
