('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:jest-docblock', '25.3.0')
('npm:es-abstract', '1.13.0')
('npm:cli-color', '2.0.0')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:@xtuc/long', '4.2.1')
('npm:chrome-trace-event', '1.0.2')
('npm:postcss-calc', '5.3.1')
('npm:postcss-modules-scope', '2.0.1')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:hyphenate-style-name', '1.0.3')
('npm:bonjour', '3.5.0')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:binary-extensions', '2.0.0')
('npm:@nestjs/cli', '7.1.2')
('npm:@types/supertest', '2.0.8')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:@babel/template', '7.8.6')
('npm:postcss', '7.0.13')
('npm:@types/babel__traverse', '7.0.11')
('npm:autoprefixer', '6.7.7')
('npm:evp_bytestokey', '1.0.3')
('npm:cacache', '11.3.2')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:postcss-discard-unused', '2.2.3')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:color-string', '0.3.0')
('npm:ms', '2.0.0')
('npm:for-in', '1.0.2')
('npm:util.promisify', '1.0.0')
('npm:@webassemblyjs/wasm-parser', '1.7.11')
('npm:diff-sequences', '25.2.6')
('npm:@types/source-list-map', '0.1.2')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:htmlnano', '0.1.10')
('npm:is-descriptor', '0.1.6')
('npm:is-interactive', '1.0.0')
('npm:postcss-reporter', '6.0.1')
('npm:memory-fs', '0.4.1')
('npm:sprintf-js', '1.0.3')
('npm:jest-matcher-utils', '25.5.0')
('npm:strip-ansi', '6.0.0')
('npm:clean-css', '4.2.1')
('npm:cookiejar', '2.1.2')
('npm:nth-check', '1.0.2')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:mobx', '5.8.0')
('npm:spdx-correct', '3.1.0')
('npm:axios', '0.19.2')
('npm:json3', '3.3.2')
('npm:yargs', '15.3.1')
('npm:@webassemblyjs/helper-fsm', '1.7.11')
('npm:snapdragon-node', '2.1.1')
('npm:css-select', '2.0.2')
('npm:mobx-react-devtools', '6.0.3')
('npm:is-generator-fn', '2.1.0')
('npm:postcss-zindex', '2.2.0')
('npm:multer', '1.4.2')
('npm:cipher-base', '1.0.4')
('npm:default-gateway', '2.7.2')
('npm:source-map-support', '0.5.19')
('npm:normalize-path', '2.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:array-flatten', '1.1.1')
('npm:sqlstring', '2.3.1')
('npm:async', '1.5.2')
('npm:oauth-sign', '0.9.0')
('npm:fast-deep-equal', '3.1.1')
('npm:node-emoji', '1.10.0')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:node-libs-browser', '2.2.0')
('npm:signal-exit', '3.0.2')
('npm:mime-db', '1.37.0')
('npm:postcss-nesting', '7.0.0')
('npm:vendors', '1.0.2')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:get-stdin', '6.0.0')
('npm:make-dir', '3.1.0')
('npm:jest-environment-jsdom', '25.5.0')
('npm:import-local', '2.0.0')
('npm:uglify-js', '3.4.9')
('npm:shebang-command', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:parseurl', '1.3.2')
('npm:@types/express-serve-static-core', '4.17.5')
('npm:y18n', '4.0.1')
('npm:tmpl', '1.0.4')
('npm:any-promise', '1.3.0')
('npm:hpack.js', '2.1.6')
('npm:jest-environment-node', '25.5.0')
('npm:deep-equal', '1.0.1')
('npm:globby', '6.1.0')
('npm:babel-plugin-jest-hoist', '25.2.6')
('npm:chokidar', '2.1.8')
('npm:des.js', '1.0.0')
('npm:jsdom', '15.2.1')
('npm:is-arrayish', '0.2.1')
('npm:array-union', '1.0.2')
('npm:query-string', '4.3.4')
('npm:@babel/core', '7.9.0')
('npm:@babel/helper-replace-supers', '7.8.6')
('npm:@types/uglify-js', '3.0.4')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:webpack-dev-middleware', '3.4.0')
('npm:object-keys', '1.0.12')
('npm:http-errors', '1.7.3')
('npm:@nestjs/cli', '7.1.5')
('npm:@babel/helper-function-name', '7.1.0')
('npm:pumpify', '1.5.1')
('npm:statuses', '1.4.0')
('npm:lodash.set', '4.3.2')
('npm:jest', '25.5.4')
('npm:@nestjs/testing', '7.0.9')
('npm:minimist', '1.2.0')
('npm:postcss-double-position-gradients', '1.0.0')
('npm:@typescript-eslint/eslint-plugin', '2.31.0')
('npm:postcss-attribute-case-insensitive', '4.0.1')
('npm:stream-shift', '1.0.1')
('npm:parse5', '5.1.1')
('npm:eslint-scope', '5.0.0')
('npm:aws-sign2', '0.7.0')
('npm:jest-matcher-utils', '25.3.0')
('npm:doctrine', '1.5.0')
('npm:infer-owner', '1.0.4')
('npm:postcss-color-mod-function', '3.0.3')
('npm:signal-exit', '3.0.3')
('npm:estraverse', '5.1.0')
('npm:slice-ansi', '2.1.0')
('npm:execa', '1.0.0')
('npm:jws', '3.2.2')
('npm:graceful-fs', '4.2.4')
('npm:find-up', '3.0.0')
('npm:component-emitter', '1.3.0')
('npm:@types/passport', '1.0.3')
('npm:string_decoder', '1.1.1')
('npm:is-docker', '2.0.0')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:postcss-env-function', '2.0.2')
('npm:cssesc', '0.1.0')
('npm:is-number', '3.0.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:history', '4.7.2')
('npm:@babel/parser', '7.2.3')
('npm:cli-cursor', '3.1.0')
('npm:ansi-styles', '3.2.1')
('npm:@webassemblyjs/ast', '1.7.11')
('npm:jss-plugin-camel-case', '10.0.4')
('npm:define-properties', '1.1.3')
('npm:svgo', '1.1.1')
('npm:@types/babel__traverse', '7.0.10')
('npm:@jest/console', '25.3.0')
('npm:dom-walk', '0.1.1')
('npm:@webassemblyjs/helper-api-error', '1.7.11')
('npm:mkdirp', '0.5.5')
('npm:@babel/generator', '7.2.2')
('npm:@csstools/convert-colors', '1.4.0')
('npm:@webassemblyjs/helper-module-context', '1.7.11')
('npm:chokidar', '2.0.4')
('npm:caniuse-db', '1.0.30000929')
('npm:postcss-logical', '3.0.0')
('npm:tslib', '2.1.0')
('npm:webpack', '4.29.0')
('npm:jest-cli', '25.3.0')
('npm:passport-oauth1', '1.1.0')
('npm:webpack-log', '2.0.0')
('npm:whatwg-encoding', '1.0.5')
('npm:set-value', '2.0.1')
('npm:bs-logger', '0.2.6')
('npm:@babel/types', '7.2.2')
('npm:@babel/runtime', '7.8.4')
('npm:supports-color', '7.1.0')
('npm:mimic-fn', '1.2.0')
('npm:jest-regex-util', '25.2.6')
('npm:ts-node', '8.8.2')
('npm:fsevents', '2.1.3')
('npm:cliui', '7.0.4')
('npm:array-equal', '1.0.0')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:source-map-resolve', '0.5.3')
('npm:eslint-utils', '1.4.3')
('npm:file-entry-cache', '5.0.1')
('npm:acorn', '6.4.1')
('npm:use', '3.1.1')
('npm:@hapi/pinpoint', '2.0.0')
('npm:sockjs-client', '1.3.0')
('npm:@types/supertest', '2.0.9')
