('npm:tmp', '0.2.1')
('npm:jsx-ast-utils', '3.3.5')
('npm:write-file-atomic', '3.0.3')
('npm:yargs-parser', '20.2.9')
('npm:firebase-admin', '10.3.0')
('npm:css-tree', '1.1.3')
('npm:@svgr/babel-plugin-svg-dynamic-title', '6.5.1')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('npm:uri-js', '4.4.1')
('npm:doctrine', '2.1.0')
('npm:string_decoder', '1.3.0')
('npm:@typescript-eslint/scope-manager', '6.9.0')
('npm:ansi-regex', '6.0.1')
('npm:bytes', '3.1.2')
('npm:reflect.getprototypeof', '1.0.4')
('npm:levn', '0.4.1')
('npm:es-shim-unscopables', '1.0.2')
('npm:configstore', '5.0.1')
('npm:eslint-visitor-keys', '1.3.0')
('npm:check-more-types', '2.24.0')
('npm:@msgpackr-extract/msgpackr-extract-linux-x64', '3.0.2')
('npm:typed-array-byte-offset', '1.0.0')
('npm:escape-html', '1.0.3')
('npm:pretty-bytes', '5.6.0')
('npm:@types/jsonwebtoken', '8.5.9')
('npm:through', '2.3.8')
('npm:json-schema-traverse', '0.4.1')
('npm:asynciterator.prototype', '1.0.0')
('npm:@google-cloud/promisify', '2.0.4')
('npm:@parcel/watcher', '2.3.0')
('npm:@protobufjs/eventemitter', '1.1.0')
('npm:@cypress/xvfb', '1.2.4')
('npm:htmlnano', '2.1.0')
('npm:is-docker', '3.0.0')
('npm:encodeurl', '1.0.2')
('npm:@parcel/core', '2.10.1')
('npm:@parcel/transformer-css', '2.10.1')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:jws', '4.0.0')
('npm:@svgr/babel-plugin-remove-jsx-empty-expression', '8.0.0')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:chrome-trace-event', '1.0.3')
('npm:chalk', '5.3.0')
('npm:@types/prop-types', '15.7.9')
('npm:@lezer/common', '1.1.0')
('npm:is-shared-array-buffer', '1.0.2')
('npm:postcss', '8.4.31')
('npm:eslint-plugin-simple-import-sort', '10.0.0')
('npm:extsprintf', '1.4.1')
('npm:depd', '2.0.0')
('npm:@babel/helper-simple-access', '7.22.5')
('npm:wrap-ansi', '8.1.0')
('npm:timsort', '0.3.0')
('npm:eslint', '8.52.0')
('npm:long', '4.0.0')
('npm:@msgpackr-extract/msgpackr-extract-win32-x64', '3.0.2')
('npm:@panva/asn1.js', '1.0.0')
('npm:p-limit', '3.1.0')
('npm:has-bigints', '1.0.2')
('npm:is-generator-function', '1.0.10')
('npm:is-finalizationregistry', '1.0.2')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:stylis', '4.3.0')
('npm:type-fest', '0.21.3')
('npm:@babel/helper-function-name', '7.23.0')
('npm:object.fromentries', '2.0.7')
('npm:parse-json', '5.2.0')
('npm:form-data', '4.0.0')
('npm:object.values', '1.1.7')
('npm:jsprim', '2.0.2')
('npm:color-name', '1.1.4')
('npm:svgo', '2.8.0')
('npm:fastq', '1.15.0')
('npm:@parcel/watcher-linux-arm-glibc', '2.3.0')
('npm:cachedir', '2.4.0')
('npm:@babel/helper-compilation-targets', '7.22.15')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:abort-controller', '3.0.0')
('npm:entities', '2.2.0')
('npm:yallist', '3.1.1')
('npm:@parcel/watcher-linux-arm64-glibc', '2.3.0')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:@parcel/transformer-postcss', '2.10.1')
('npm:dotenv', '7.0.0')
('npm:anymatch', '3.1.3')
('npm:showdown', '2.1.0')
('npm:@jridgewell/trace-mapping', '0.3.9')
('npm:domutils', '2.8.0')
('npm:get-stream', '6.0.1')
('npm:import-fresh', '3.3.0')
('npm:@parcel/reporter-cli', '2.10.1')
('npm:globalthis', '1.0.3')
('npm:universalify', '2.0.0')
('npm:yargs', '17.7.2')
('npm:function-bind', '1.1.2')
('npm:eslint-plugin-prettier', '5.0.1')
('npm:json-bigint', '1.0.0')
('npm:clone', '2.1.2')
('npm:camelize', '1.0.1')
('npm:@typescript-eslint/parser', '6.9.0')
