('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:cf-blob.js', '0.0.1')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:sort-keys', '2.0.0')
('pip:zope-interface', '4.7.2')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:test-exclude', '4.2.2')
('npm:react-overlays', '0.8.3')
('npm:@babel/template', '7.0.0-beta.51')
('npm:postcss-loader', '2.0.8')
('npm:webpack-config-utils', '2.3.1')
('npm:walker', '1.0.7')
('pip:daphne', '2.2.2')
('pip:cycler', '0.10.0')
('npm:multimatch', '2.1.0')
('npm:postcss-calc', '5.3.1')
('npm:webpack-addons', '1.1.5')
('pip:descartes', '1.1.0')
('npm:bonjour', '3.5.0')
('npm:html-webpack-plugin', '2.29.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('pip:pyproj', '1.9.5.1')
('npm:uglifyjs-webpack-plugin', '0.4.6')
('pip:twisted', '17.9.0')
('npm:pretty-format', '20.0.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('pip:pytz', '2018.4')
('npm:detect-node', '2.0.3')
('npm:are-we-there-yet', '1.1.5')
('npm:autoprefixer', '6.7.7')
('npm:timed-out', '4.0.1')
('npm:dotenv-expand', '4.2.0')
('npm:evp_bytestokey', '1.0.3')
('npm:leven', '2.1.0')
('npm:postcss-discard-unused', '2.2.3')
('npm:color-string', '0.3.0')
('npm:d3-time', '1.0.10')
('npm:for-in', '1.0.2')
('npm:omggif', '1.0.7')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:fs-extra', '0.30.0')
('npm:css-animation', '1.4.1')
('npm:normalize-range', '0.1.2')
('pip:pytz', '2018.3')
('npm:source-map-support', '0.4.18')
('pip:geopandas', '0.3.0')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:eslint-plugin-import', '2.8.0')
('npm:memory-fs', '0.4.1')
('npm:array-reduce', '0.0.0')
('npm:sprintf-js', '1.0.3')
('npm:clean-css', '4.2.1')
('npm:crypto-random-string', '1.0.0')
('npm:eslint-config-react-app', '2.1.0')
('pip:kombu', '4.1.0')
('npm:json3', '3.3.2')
('npm:babel-preset-jest', '20.0.3')
('npm:selfsigned', '1.10.3')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:jsdom', '9.12.0')
('npm:extract-text-webpack-plugin', '3.0.2')
('npm:cacache', '11.2.0')
('npm:snapdragon-node', '2.1.1')
('npm:array-differ', '1.0.0')
('npm:any-observable', '0.3.0')
('npm:tr46', '0.0.3')
('npm:widest-line', '2.0.0')
('npm:babel-plugin-syntax-async-generators', '6.13.0')
('npm:postcss-zindex', '2.2.0')
('npm:yargs', '3.10.0')
('npm:cipher-base', '1.0.4')
('pip:requests', '2.18.4')
('npm:faye-websocket', '0.11.1')
('npm:normalize-path', '2.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:socks-proxy-agent', '4.0.1')
('npm:oauth-sign', '0.9.0')
('npm:fb-watchman', '2.0.0')
('npm:run-queue', '1.0.3')
('npm:d3-selection', '1.3.2')
('npm:hmac-drbg', '1.0.1')
