('npm:dom-serializer', '0.1.1')
('npm:path-to-regexp', '6.2.0')
('npm:internal-slot', '1.0.3')
('npm:immer', '9.0.12')
('npm:redux', '3.7.2')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:sort-keys', '2.0.0')
('npm:cliui', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:finalhandler', '1.0.1')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:babel-preset-jest', '29.0.2')
('npm:pkg-dir', '1.0.0')
('npm:es-abstract', '1.13.0')
('npm:inquirer', '7.3.3')
('npm:basic-auth', '1.1.0')
('npm:@types/jest', '27.4.1')
('npm:walker', '1.0.7')
('npm:ramda', '0.24.1')
('npm:babel-jest', '27.5.1')
('npm:is-root', '2.1.0')
('npm:chrome-trace-event', '1.0.2')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:memorystream', '0.3.1')
('npm:postcss-calc', '5.3.1')
('npm:escape-string-regexp', '2.0.0')
('npm:browserify-aes', '0.4.0')
('npm:date-fns', '2.12.0')
('pip:user-agents', '')
('npm:postcss-discard-empty', '5.1.1')
('npm:bonjour', '3.5.0')
('npm:@babel/helpers', '7.17.8')
('npm:axios-mock-adapter', '1.20.0')
('npm:sockjs-client', '1.5.0')
('npm:html-webpack-plugin', '5.3.1')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:xml-name-validator', '4.0.0')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:cssom', '0.5.0')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:@babel/plugin-transform-spread', '7.16.7')
('npm:electron-to-chromium', '1.4.75')
('npm:cryptiles', '4.1.3')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:hoist-non-react-statics', '1.2.0')
('npm:@types/body-parser', '1.19.1')
('npm:spdx-expression-parse', '3.0.0')
('npm:inline-style-prefixer', '2.0.5')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:@babel/template', '7.8.6')
('npm:redux', '4.1.0')
('npm:dns-txt', '2.0.2')
('npm:p-limit', '3.1.0')
('npm:loader-utils', '0.2.17')
('npm:tslib', '1.13.0')
('npm:are-we-there-yet', '1.1.5')
('npm:@types/classnames', '2.3.1')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:autoprefixer', '6.7.7')
('npm:postcss-sorting', '7.0.1')
('npm:timed-out', '4.0.1')
('npm:@babel/plugin-transform-modules-commonjs', '7.16.8')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:cross-spawn', '7.0.1')
('npm:string.prototype.trimstart', '1.0.4')
('npm:uuid', '3.0.1')
('npm:object-is', '1.0.2')
('npm:postcss-discard-unused', '2.2.3')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:jest-resolve-dependencies', '29.0.3')
('npm:color-string', '0.3.0')
('npm:ms', '2.0.0')
('npm:@types/tinycolor2', '1.4.0')
('npm:file-type', '10.10.0')
('npm:for-in', '1.0.2')
('npm:fuse.js', '2.7.4')
('npm:util.promisify', '1.0.0')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:universalify', '2.0.0')
('npm:min-indent', '1.0.0')
('npm:@types/react', '17.0.5')
('npm:load-bmfont', '1.4.0')
('npm:@testing-library/react', '12.1.4')
('npm:loader-utils', '1.4.0')
('npm:emoji-regex', '7.0.3')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:source-map-support', '0.4.18')
('npm:normalize-path', '3.0.0')
('npm:fs-minipass', '1.2.6')
('npm:tunnel-agent', '0.6.0')
('npm:v8-to-istanbul', '9.0.1')
('npm:babel-helper-function-name', '6.24.1')
('npm:node-localstorage', '1.3.1')
('npm:semver', '7.3.5')
('npm:mime-types', '2.1.35')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:is-descriptor', '0.1.6')
('npm:bouchon', '0.4.0')
('npm:errno', '0.1.4')
('npm:is-interactive', '1.0.0')
('npm:memory-fs', '0.4.1')
('npm:array-reduce', '0.0.0')
('npm:arch', '2.1.1')
('npm:node-releases', '1.1.70')
('npm:fast-glob', '3.2.2')
('npm:html-element-map', '1.2.0')
('npm:babel-helper-get-function-arity', '6.22.0')
('npm:sprintf-js', '1.0.3')
('pip:geoip2', '3.0.0')
('npm:strip-ansi', '6.0.0')
('npm:accepts', '1.3.8')
('npm:ieee754', '1.1.8')
('npm:asn1.js', '5.2.0')
('npm:nth-check', '1.0.2')
('npm:encodeurl', '1.0.1')
('npm:find-cache-dir', '0.1.1')
('npm:p-map', '2.1.0')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:@types/bn.js', '5.1.0')
('npm:csstype', '2.6.10')
('npm:@jimp/plugin-dither', '0.16.1')
('npm:stylelint-scss', '4.2.0')
('npm:spdx-correct', '3.1.0')
('npm:babel-helper-regex', '6.22.0')
('npm:@babel/helper-create-regexp-features-plugin', '7.8.6')
('npm:walker', '1.0.8')
('npm:string.prototype.trimend', '1.0.4')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:@tootallnate/once', '2.0.0')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:babel-plugin-transform-es2015-unicode-regex', '6.22.0')
('npm:prompts', '2.1.0')
('npm:semver', '7.3.2')
('npm:babel-helper-explode-assignable-expression', '6.22.0')
('npm:snapdragon-node', '2.1.1')
('npm:proxy-addr', '2.0.2')
('npm:has-bigints', '1.0.1')
('npm:babel-plugin-polyfill-corejs3', '0.5.2')
('npm:css-select', '2.0.2')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:babel-plugin-syntax-async-generators', '6.13.0')
('npm:postcss-zindex', '2.2.0')
('npm:yargs', '3.10.0')
('npm:@types/zxcvbn', '4.4.1')
('npm:cssesc', '3.0.0')
('npm:regexpu-core', '4.6.0')
('npm:array-uniq', '2.0.0')
('npm:http-proxy-middleware', '0.19.1')
