('npm:yargs', '15.4.1')
('npm:sort-keys', '2.0.0')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:vscode-nls', '5.2.0')
('npm:@smithy/util-hex-encoding', '2.0.0')
('npm:adm-zip', '0.5.10')
('npm:minipass', '4.2.8')
('npm:escape-string-regexp', '2.0.0')
('npm:which', '3.0.1')
('npm:is-docker', '3.0.0')
('npm:read', '2.1.0')
('npm:@aws-sdk/credential-provider-env', '3.433.0')
('npm:aggregate-error', '4.0.1')
('npm:@hapi/h2o2', '10.0.4')
('npm:@isaacs/cliui', '8.0.2')
('npm:wrap-ansi', '8.1.0')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:parse-url', '8.1.0')
('npm:minimatch', '8.0.4')
('npm:p-waterfall', '2.1.1')
('npm:req-all', '0.1.0')
('npm:builtin-modules', '3.3.0')
('npm:@smithy/eventstream-serde-universal', '2.0.12')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:abort-controller', '3.0.0')
('npm:npm-install-checks', '6.3.0')
('npm:@npmcli/run-script', '6.0.2')
('npm:ms', '2.0.0')
('npm:mute-stream', '1.0.0')
('npm:get-stream', '6.0.1')
('npm:enhance-visitors', '1.0.0')
('npm:npm-package-arg', '8.1.1')
('npm:universalify', '2.0.0')
('npm:jwt-decode', '2.2.0')
('npm:@aws-sdk/client-lambda', '3.441.0')
('npm:@types/minimatch', '3.0.5')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:builtins', '5.0.1')
('npm:typed-array-byte-length', '1.0.0')
('npm:promise-retry', '2.0.1')
('npm:mime-types', '2.1.35')
('npm:traverse', '0.6.7')
('npm:is-interactive', '1.0.0')
('npm:available-typed-arrays', '1.0.5')
('npm:sprintf-js', '1.0.3')
('npm:zip-stream', '4.1.1')
('npm:js-sdsl', '4.1.5')
('npm:glob', '10.3.10')
('npm:p-locate', '6.0.0')
('npm:eslint-plugin-prettier', '4.2.1')
('npm:pump', '^ 3.0.0')
('npm:@tootallnate/once', '2.0.0')
('npm:node-gyp-build', '4.6.1')
('npm:@nx/nx-win32-x64-msvc', '16.10.0')
('npm:ci-info', '3.9.0')
('npm:string.prototype.trimstart', '1.0.7')
('npm:tr46', '0.0.3')
('npm:eslint', '8.26.0')
('npm:web-encoding', '1.1.5')
('npm:java-invoke-local', '0.0.6')
('npm:http-cache-semantics', '4.1.1')
('npm:is-promise', '4.0.0')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:p-finally', '1.0.0')
('npm:ignore', '5.2.0')
('npm:@octokit/tsconfig', '1.0.2')
('npm:make-dir', '3.1.0')
('npm:jwt-decode', '3.1.2')
('npm:child-process-ext', '2.1.1')
('npm:npm-bundled', '1.1.2')
('npm:@nx/nx-freebsd-x64', '16.10.0')
('npm:json-cycle', '1.5.0')
('npm:shebang-command', '2.0.0')
('npm:buffer-fill', '1.0.0')
('npm:@nx/nx-linux-arm64-gnu', '16.10.0')
('npm:lie', '3.3.0')
('npm:@hapi/catbox', '12.1.1')
('npm:string.prototype.trimend', '1.0.7')
('npm:@tufjs/canonical-json', '1.0.0')
('npm:@types/node', '20.8.10')
('npm:json-colorizer', '2.2.2')
('npm:signal-exit', '4.1.0')
('npm:blueimp-md5', '2.19.0')
('npm:pkg-conf', '4.0.0')
('npm:default-require-extensions', '3.0.1')
('npm:aggregate-error', '3.1.0')
('npm:get-pkg-repo', '4.2.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:type', '1.2.0')
('npm:clean-yaml-object', '0.1.0')
('npm:string-width', '4.2.3')
