('npm:@webassemblyjs/wasm-gen', '1.8.3')
('npm:ramda', '0.25.0')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:cliui', '2.1.0')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@babel/plugin-proposal-object-rest-spread', '7.5.4')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:babylon', '6.18.0')
('npm:es-abstract', '1.13.0')
('npm:is-nil', '1.0.1')
('npm:env-variable', '0.0.5')
('npm:walker', '1.0.7')
('npm:@serverless/platform-sdk', '1.0.1')
('npm:multer', '1.4.1')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:hsts', '2.2.0')
('npm:chrome-trace-event', '1.0.2')
('npm:relative-microtime', '2.0.0')
('npm:@babel/helper-define-map', '7.1.0')
('npm:@types/babel__core', '7.1.2')
('npm:async-each', '1.0.2')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:uglifyjs-webpack-plugin', '0.4.6')
('npm:cryptiles', '4.1.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:core-js', '2.6.5')
('npm:sane', '2.5.2')
('npm:@babel/traverse', '7.3.4')
('npm:dont-sniff-mimetype', '1.0.0')
('npm:v8flags', '3.1.2')
('npm:are-we-there-yet', '1.1.5')
('npm:form-data', '2.4.0')
('npm:@webassemblyjs/helper-code-frame', '1.8.3')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:leven', '2.1.0')
('npm:after-all-results', '2.0.0')
('npm:cacache', '11.3.2')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:jest-regex-util', '24.3.0')
('npm:@jest/fake-timers', '24.8.0')
('npm:ms', '2.0.0')
('npm:async-value-promise', '1.1.1')
('npm:@babel/plugin-transform-template-literals', '7.2.0')
('npm:is-valid-path', '0.1.1')
('npm:traverse', '0.6.6')
('npm:for-in', '1.0.2')
('npm:frameguard', '3.1.0')
('npm:util.promisify', '1.0.0')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:jwt-decode', '2.2.0')
('npm:jest-haste-map', '23.6.0')
('npm:@babel/helper-regex', '7.0.0')
('npm:emoji-regex', '7.0.3')
('npm:request-promise-core', '1.1.2')
('npm:fs-minipass', '1.2.6')
('npm:source-map-support', '0.4.18')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
