('pip:httpcore', '0.14.7')
('pip:mariadb', '1.1.8')
('pip:falcon', '3.1.1')
('pip:jsonpointer', '2.4')
('pip:cheroot', '10.0.0')
('pip:pyopenssl', '20.0.1')
('pip:coverage', '7.2.5')
('pip:djangorestframework', '3.12.4')
('pip:cfn-lint', '0.83.8')
('pip:gevent', '1.4.0')
('pip:opentelemetry-instrumentation-flask', '0.37b0')
('pip:pinecone-client', '2.2.4')
('pip:chardet', '4.0.0')
('pip:starlette', '0.20.4')
('pip:gevent', '20.12.1')
('rust:pyo3-build-config', '0.21.2')
('pip:pymongo', '4.5.0')
('pip:cached-property', '1.5.2')
('pip:confluent-kafka', '1.9.2')
('pip:coverage', '7.5.0')
('pip:channels', '4.0.0')
('pip:aiosqlite', '0.20.0')
('rust:autocfg', '1.3.0')
('pip:langchain-community', '0.0.14')
('pip:pytest-cov', '4.1.0')
('rust:cfg-if', '1.0.0')
('pip:contourpy', '1.2.0')
('pip:incremental', '22.10.0')
('pip:tortoise-orm', '0.21.4')
('pip:contextvars', '2.4')
('pip:typing', '3.10.0.0')
('pip:pandas', '2.2.2')
('pip:django-picklefield', '3.1')
('pip:grpcio', '1.59.3')
('pip:pydantic', '2.5.2')
('rust:windows_aarch64_gnullvm', '0.52.5')
('pip:frozenlist', '1.3.3')
('pip:langchain-aws', '0.1.6')
('pip:weberror', '0.13.1')
('pip:pytz', '2024.1')
('pip:pycparser', '2.22')
('pip:pycryptodomex', '3.19.0')
('actions:actions/setup-node', '4.*.*')
('pip:certifi', '2022.12.7')
('pip:zipp', '3.18.1')
('pip:waitress', '1.4.4')
('pip:sqlalchemy', '2.0.28')
('pip:openai', '1.1.1')
('pip:django-pylibmc', '0.6.1')
('pip:mysql-connector-python', '8.3.0')
('pip:openai', '1.34.0')
('pip:ai21', '2.6.0')
('pip:pydantic', '1.10.17')
('pip:httpx', '0.22.0')
('pip:autobahn', '23.1.2')
('pip:zipp', '3.19.2')
('pip:toml', '0.10.2')
('pip:hypothesis', '6.45.0')
('pip:protobuf', '3.19.6')
('pip:coverage', '7.4.2')
('pip:opentelemetry-util-http', '0.19b0')
('pip:tempita', '0.5.2')
('pip:importlib-metadata', '6.8.0')
('pip:envier', '0.5.2')
('pip:pydantic', '1.10.16')
('pip:elasticsearch6', '6.8.2')
('pip:networkx', '2.8.8')
('pip:wcwidth', '0.2.12')
('pip:cryptography', '3.4.8')
('actions:tj-actions/changed-files', '44.*.*')
('pip:pyjwt', '2.8.0')
('pip:sqlalchemy', '1.2.19')
('pip:pbr', '5.11.1')
('pip:urllib3', '1.24.3')
('pip:django', '4.2.5')
('pip:pillow', '9.5.0')
('actions:github/codeql-action/analyze', '2.*.*')
('pip:vertica-python', '0.6.14')
('pip:huggingface-hub', '0.23.3')
('pip:httptools', '0.6.0')
('pip:coverage', '7.4.4')
('pip:gevent', '24.2.1')
('rust:windows_i686_msvc', '0.52.5')
('pip:snowflake-connector-python', '3.0.4')
('pip:packaging', '23.2')
('pip:greenlet', '3.0.3')
('pip:pytest-mock', '3.5.1')
('pip:elasticsearch8', '8.7.0')
('pip:openapi-spec-validator', '0.7.1')
('pip:importlib-metadata', '6.7.0')
('pip:paste', '3.5.2')
('pip:iniconfig', '2.0.0')
('pip:pytest-bdd', '6.1.1')
('pip:importlib-metadata', '7.0.1')
('rust:pyo3-macros', '0.21.2')
('pip:hypothesis', '4.57.1')
('pip:kombu', '5.2.4')
('pip:werkzeug', '3.0.1')
('pip:coverage', '7.2.2')
('pip:h11', '0.12.0')
('pip:aiomysql', '0.1.1')
('pip:coverage', '7.2.7')
('pip:langchainplus-sdk', '0.0.4')
