('npm:dom-serializer', '0.1.1')
('npm:postcss-load-config', '2.1.0')
('npm:whatwg-url', '7.1.0')
('npm:cliui', '2.1.0')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:typescript', '3.5.3')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:babylon', '6.18.0')
('npm:pkg-dir', '1.0.0')
('npm:es-abstract', '1.13.0')
('npm:jest-resolve-dependencies', '24.9.0')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:chrome-trace-event', '1.0.2')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:nodemailer', '~ 4.0.1')
('npm:constantinople', '3.0.2')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:rc-collapse', '1.11.3')
('npm:bonjour', '3.5.0')
('npm:@types/babel__core', '7.1.2')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:binary-extensions', '2.0.0')
('npm:apollo-boost', '0.3.1')
('npm:@babel/plugin-transform-literals', '7.8.3')
('npm:@babel/plugin-transform-object-super', '7.5.5')
('npm:spdx-expression-parse', '3.0.0')
('npm:@babel/plugin-syntax-flow', '7.2.0')
('npm:dns-txt', '2.0.2')
('npm:@babel/template', '7.8.6')
('npm:portfinder', '1.0.26')
('npm:shallow-clone', '0.1.2')
('npm:@types/babel__traverse', '7.0.11')
('npm:depd', '2.0.0')
('npm:@fullcalendar/react', '4.2.0')
('npm:tslib', '1.13.0')
('npm:passport', '0.6.0')
('npm:are-we-there-yet', '1.1.5')
('npm:dotenv-expand', '4.2.0')
('npm:tiny-invariant', '1.1.0')
('npm:evp_bytestokey', '1.0.3')
('npm:cross-spawn', '7.0.1')
('npm:@babel/plugin-transform-modules-commonjs', '7.9.6')
('npm:@jest/test-sequencer', '24.8.0')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:@typescript-eslint/eslint-plugin', '1.6.0')
('npm:leven', '2.1.0')
('npm:rc-slider', '8.7.1')
('npm:workbox-strategies', '4.3.1')
('npm:semver', '6.3.0')
('npm:jest-docblock', '24.3.0')
('npm:jest-regex-util', '24.3.0')
('npm:@jest/fake-timers', '24.8.0')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:inquirer', '7.0.4')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:util.promisify', '1.0.0')
('npm:@babel/plugin-proposal-class-properties', '7.4.0')
('npm:@babel/plugin-transform-react-jsx-source', '7.5.0')
('npm:rc-tree-select', '2.9.1')
('npm:@babel/plugin-transform-spread', '7.8.3')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:request-promise-core', '1.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:fs-minipass', '1.2.6')
('npm:tunnel-agent', '0.6.0')
('npm:browserslist', '4.10.0')
('npm:mime-types', '2.1.35')
('npm:pretty-format', '24.8.0')
('npm:@babel/plugin-syntax-json-strings', '7.2.0')
('npm:jest-jasmine2', '24.9.0')
('npm:is-descriptor', '0.1.6')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:array-reduce', '0.0.0')
('npm:@craco/craco', '5.6.4')
('npm:string-length', '2.0.0')
('npm:expect', '24.8.0')
('npm:sprintf-js', '1.0.3')
('npm:strip-ansi', '6.0.0')
('npm:clean-css', '4.2.1')
('npm:@babel/helper-wrap-function', '7.8.3')
('npm:nth-check', '1.0.2')
('npm:rc-trigger', '3.0.0')
('npm:p-map', '2.1.0')
('npm:find-cache-dir', '0.1.1')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:csstype', '2.6.10')
('npm:spdx-correct', '3.1.0')
('npm:rc-dialog', '7.6.1')
('npm:entities', '2.0.2')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:iterall', '1.2.2')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:kue', '~ 0.11.4')
('npm:prompts', '2.1.0')
('npm:semver', '7.3.2')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:css-select', '2.0.2')
('npm:jest-leak-detector', '24.9.0')
('npm:posix', '~ 4.1.1')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:@webassemblyjs/utf8', '1.8.5')
('npm:@types/node', '14.0.1')
('npm:multer', '1.4.2')
('npm:yargs', '3.10.0')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:sqlstring', '2.3.1')
('npm:@babel/compat-data', '7.9.6')
('npm:async', '1.5.2')
('npm:filesize', '3.6.1')
('npm:oauth-sign', '0.9.0')
('npm:fb-watchman', '2.0.0')
('npm:querystringify', '2.1.1')
('npm:postgres-date', '1.0.5')
('npm:run-queue', '1.0.3')
('npm:loglevel', '1.6.8')
('npm:array-tree-filter', '2.1.0')
('npm:hmac-drbg', '1.0.1')
('npm:zen-observable', '0.8.14')
