('npm:@tootallnate/quickjs-emscripten', '0.23.0')
('npm:@babel/plugin-transform-export-namespace-from', '7.23.3')
('npm:wrappy', '1.0.2')
('composer:container-interop/container-interop', '1.2.0')
('npm:@shoelace-style/localize', '3.1.2')
('npm:@types/istanbul-reports', '3.0.4')
('npm:eventemitter2', '0.4.14')
('composer:egroupware/http', '2.2.0')
('npm:escape-string-regexp', '2.0.0')
('npm:@babel/plugin-transform-arrow-functions', '7.23.3')
('npm:lodash.isfinite', '3.3.2')
('npm:extend', '3.0.2')
('composer:guzzlehttp/psr7', '2.4.5')
('npm:xml-name-validator', '4.0.0')
('npm:aggregate-error', '4.0.1')
('npm:@types/body-parser', '1.19.1')
('npm:@esbuild/darwin-x64', '0.19.12')
('npm:depd', '2.0.0')
('composer:psr/http-message', '1.1')
('npm:is-generator-function', '1.0.10')
('composer:simplesamlphp/simplesamlphp-module-ldap', '0.9.17')
('npm:@babel/plugin-transform-async-to-generator', '7.23.3')
('npm:dev-ip', '1.0.1')
('npm:@babel/helper-function-name', '7.23.0')
('npm:@types/resolve', '1.20.2')
('composer:egroupware/collabora', '')
('npm:builtin-modules', '3.3.0')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:@babel/preset-typescript', '7.14.5')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('composer:robrichards/xmlseclibs', '3.1.1')
('composer:sebastian/cli-parser', '1.0.1')
('composer:egroupware/support', '2.3.1')
('npm:@web/dev-server', '0.4.6')
('composer:sebastian/complexity', '2.0.2')
('composer:phpunit/php-timer', '5.0.3')
('composer:egroupware/socket-client', '2.2.0')
('composer:symfony/event-dispatcher', '5.4.19')
('npm:@types/minimatch', '3.0.5')
('npm:normalize-path', '3.0.0')
('npm:void-elements', '3.1.0')
('npm:mime-types', '2.1.35')
('npm:array-each', '1.0.1')
('npm:sprintf-js', '1.0.3')
('composer:simplesamlphp/twig-configurable-i18n', '2.3.4')
('npm:accepts', '1.3.8')
('composer:egroupware/imap-client', '2.31.2')
('npm:w3c-xmlserializer', '4.0.0')
('composer:egroupware/smtp', '1.10.0')
