('npm:@babel/traverse', '7.14.7')
('npm:caniuse-lite', '1.0.30001600')
('rubygems:websocket-extensions', '0.1.5')
('npm:dns-packet', '1.3.4')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:postcss-selector-parser', '6.0.6')
('npm:postcss-value-parser', '4.1.0')
('rubygems:activerecord-import', '1.5.0')
('npm:d3-shape', '1.3.7')
('npm:css-tree', '1.1.3')
('npm:graceful-fs', '4.2.8')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('rubygems:coderay', '1.1.3')
('npm:node-releases', '1.1.73')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:css-prefers-color-scheme', '3.1.1')
('npm:@babel/plugin-proposal-json-strings', '7.14.5')
('npm:randombytes', '2.1.0')
('npm:normalize-url', '6.1.0')
('npm:bytes', '3.1.2')
('npm:ansi-regex', '6.0.1')
('npm:@webassemblyjs/wasm-gen', '1.11.1')
('npm:bytes', '3.0.0')
('npm:babel-loader', '8.2.2')
('npm:postcss-modules-values', '4.0.0')
('npm:css-has-pseudo', '0.10.0')
('npm:http-parser-js', '0.5.3')
('rubygems:bootsnap', '1.16.0')
('npm:escape-html', '1.0.3')
('rubygems:minitest', '5.22.3')
('rubygems:typhoeus', '1.4.0')
('rubygems:sassc-rails', '2.1.2')
('npm:schema-utils', '2.7.1')
('npm:postcss-discard-comments', '5.0.1')
('npm:postcss-color-functional-notation', '2.0.1')
('npm:json-schema-traverse', '0.4.1')
('npm:svgo', '2.4.0')
('npm:@webpack-cli/info', '1.3.0')
('npm:@babel/plugin-transform-function-name', '7.14.5')
('rubygems:method_source', '1.0.0')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:postcss-merge-longhand', '5.0.2')
('npm:bonjour', '3.5.0')
('npm:d3-color', '2.0.0')
('npm:encodeurl', '1.0.2')
('rubygems:multipart-post', '2.3.0')
('rubygems:faraday-retry', '1.0.3')
('rubygems:concurrent-ruby', '1.2.3')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:rimraf', '3.0.2')
('npm:lodash.defaults', '4.2.0')
('npm:@babel/plugin-transform-property-literals', '7.14.5')
('npm:chrome-trace-event', '1.0.3')
('npm:stylehacks', '5.0.1')
('npm:is-regex', '1.1.3')
('rubygems:multi_json', '1.15.0')
('rubygems:http-cookie', '1.0.5')
('npm:@trysound/sax', '0.1.1')
('rubygems:js_regex', '3.11.0')
('npm:postcss-flexbugs-fixes', '4.2.1')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:strip-json-comments', '2.0.1')
('npm:thunky', '1.1.0')
('npm:timsort', '0.3.0')
('npm:select-hose', '2.0.0')
('npm:@babel/plugin-transform-reserved-words', '7.14.5')
('rubygems:suo', '0.4.0')
('npm:@babel/preset-modules', '0.1.4')
('rubygems:discourse_api', '0.48.1')
('npm:is-core-module', '2.4.0')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:p-limit', '3.1.0')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:setprototypeof', '1.1.0')
('npm:internmap', '1.0.1')
('npm:parse-json', '5.2.0')
('npm:color-name', '1.1.4')
('npm:v8-compile-cache', '2.3.0')
('npm:vendors', '1.0.4')
('npm:postcss-reduce-initial', '5.0.1')
('npm:@webpack-cli/serve', '2.0.5')
('npm:@babel/plugin-proposal-private-property-in-object', '7.14.5')
('npm:rw', '1.3.3')
('npm:@babel/plugin-transform-runtime', '7.14.5')
('rubygems:parser', '3.3.1.0')
('rubygems:json_schemer', '0.2.25')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:entities', '2.2.0')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:postcss-merge-rules', '5.0.2')
('npm:postcss', '6.0.23')
('npm:postcss-image-set-function', '3.0.1')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.14.5')
('npm:braces', '3.0.3')
('npm:get-stream', '6.0.1')
('npm:import-fresh', '3.3.0')
('npm:del', '6.0.0')
('npm:open', '8.2.1')
('npm:neo-async', '2.6.2')
('npm:selfsigned', '1.10.11')
('npm:postcss-lab-function', '2.0.1')
('npm:function-bind', '1.1.2')
('npm:@webpack-cli/configtest', '1.0.4')
('rubygems:timeout', '0.4.1')
