('npm:@babel/plugin-transform-spread', '7.22.5')
('npm:yargs-parser', '20.2.9')
('npm:wrappy', '1.0.2')
('npm:lodash._reunescapedhtml', '2.4.1')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('nuget:Microsoft.AspNetCore.Mvc.NewtonsoftJson', '>= 0')
('npm:tempfile', '0.1.3')
('npm:memorystream', '0.3.1')
('npm:prettycli', '1.4.3')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:postcss', '8.4.31')
('npm:spdx-expression-parse', '3.0.0')
('npm:p-limit', '3.1.0')
('npm:is-finite', '1.1.0')
('npm:@babel/helper-function-name', '7.23.0')
('npm:timed-out', '4.0.1')
('npm:vinyl-contents', '2.0.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:split', '0.3.3')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:workbox-background-sync', '3.3.1')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('npm:universalify', '2.0.0')
('npm:dom-serialize', '2.2.1')
('npm:last-run', '2.0.0')
('npm:stylelint-config-standard', '18.2.0')
('npm:@babel/plugin-transform-numeric-separator', '7.22.11')
('npm:request', '2.88.2')
('npm:robots-txt-parse', '0.0.4')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:through2', '0.5.1')
('npm:@babel/plugin-transform-function-name', '7.22.5')
('npm:promise-retry', '2.0.1')
('npm:mime-types', '2.1.35')
('npm:array-each', '1.0.1')
('npm:fs-extra', '10.0.1')
('npm:is-descriptor', '0.1.6')
('npm:log-driver', '1.2.7')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-transform-reserved-words', '7.22.5')
('npm:crypto-random-string', '1.0.0')
('npm:istanbul-api', '1.3.1')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:snapdragon-node', '2.1.1')
('npm:browserslist', '4.22.1')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:widest-line', '2.0.0')
('npm:rollup', '0.62.0')
('npm:cssesc', '3.0.0')
('npm:normalize-path', '2.1.1')
('npm:supports-color', '4.5.0')
('npm:oauth-sign', '0.9.0')
('npm:joi', '11.4.0')
('npm:object-assign', '3.0.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:http-cache-semantics', '4.1.1')
('npm:known-css-properties', '0.27.0')
('npm:postcss-reporter', '7.0.5')
('npm:chokidar', '1.7.0')
('npm:homedir-polyfill', '1.0.3')
('npm:decompress-response', '4.2.1')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:signal-exit', '3.0.2')
('npm:expand-brackets', '0.1.5')
('npm:socket.io-parser', '4.2.3')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
