('npm:tmp', '0.2.1')
('npm:mute-stream', '0.0.8')
('npm:astral-regex', '1.0.0')
('npm:@types/jsonwebtoken', '8.3.8')
('npm:write-file-atomic', '3.0.3')
('npm:npm-run-path', '2.0.2')
('npm:run-async', '2.4.1')
('npm:validator', '10.11.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:fs-extra', '7.0.1')
('npm:events', '1.1.1')
('npm:string_decoder', '1.3.0')
('npm:randombytes', '2.1.0')
('npm:inquirer', '7.3.3')
('npm:snyk', '^ 1.319.2')
('npm:dateformat', '3.0.3')
('npm:listr-update-renderer', '0.5.0')
('npm:bson', '1.1.4')
('npm:configstore', '5.0.1')
('npm:eslint-visitor-keys', '1.3.0')
('npm:check-more-types', '2.24.0')
('npm:escape-html', '1.0.3')
('npm:esquery', '1.3.1')
('npm:is-observable', '1.1.0')
('npm:pino-papertrail', '2.1.0')
('npm:through', '2.3.8')
('npm:path-to-regexp', '1.8.0')
('npm:@sinonjs/commons', '1.8.1')
('npm:denque', '1.4.1')
('npm:json-schema-traverse', '0.4.1')
('npm:read-pkg', '2.0.0')
('npm:object-inspect', '1.8.0')
('npm:@cypress/xvfb', '1.2.4')
('npm:require_optional', '1.0.1')
('npm:write-file-atomic', '2.4.3')
('npm:rxjs', '6.5.5')
('npm:@babel/runtime', '7.9.2')
('npm:cli-table3', '0.6.0')
('npm:json-buffer', '3.0.0')
('npm:@types/express', '4.17.4')
('npm:encodeurl', '1.0.2')
('npm:lodash.foreach', '4.5.0')
('npm:sinon', '9.0.3')
('npm:middie', '4.1.0')
('npm:strip-ansi', '5.2.0')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:mri', '1.1.4')
('npm:cli-width', '3.0.0')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:fastq', '1.7.0')
('npm:binary-extensions', '2.0.0')
('npm:latest-version', '3.1.0')
('npm:pstree.remy', '1.1.7')
('npm:@babel/helper-function-name', '7.8.3')
('npm:polished', '^ 3.6.2')
('npm:spdx-expression-parse', '3.0.0')
('npm:spdx-license-ids', '3.0.5')
('npm:@babel/template', '7.8.6')
('npm:env-schema', '1.1.0')
('npm:lodash.isfunction', '3.0.9')
('npm:strip-json-comments', '2.0.1')
('npm:lodash.isempty', '4.4.0')
('npm:package-json', '6.5.0')
('npm:eventemitter2', '6.4.2')
('npm:har-schema', '2.0.0')
('npm:eslint-import-resolver-node', '0.3.4')
('npm:tslib', '1.13.0')
('npm:socket.io-cookie-parser', '1.0.0')
('npm:tcomb', '3.2.29')
('npm:react-helmet-async', '^ 1.0.6')
('npm:split2', '3.2.2')
('npm:rimraf', '2.6.3')
('npm:mongoose-unique-validator', '2.0.3')
('npm:timed-out', '4.0.1')
('npm:espree', '6.2.1')
('npm:deep-extend', '0.6.0')
('npm:nock', '12.0.3')
('npm:leven', '2.1.0')
('npm:safe-regex2', '2.0.0')
('npm:growl', '1.10.5')
('npm:query-string', '6.13.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:semver', '6.3.0')
('npm:is-path-inside', '3.0.2')
('npm:which', '1.3.1')
('npm:configstore', '3.1.2')
('npm:http-status', '1.5.0')
('npm:react-dom', '^ 16.13.1')
('npm:ms', '2.0.0')
('npm:after', '0.8.2')
('npm:lodash', '4.17.20')
('npm:moment', '^ 2.25.3')
('npm:react-hook-form', '^ 5.7.2')
('npm:socket.io-adapter', '1.1.2')
('npm:@types/node', '13.11.0')
('npm:@sinonjs/samsam', '5.1.0')
('npm:yargs-unparser', '2.0.0')
('npm:clone', '2.1.2')
('npm:iconv-lite', '0.4.24')
('npm:cors', '2.8.5')
('npm:strip-json-comments', '3.0.1')
('npm:undefsafe', '2.0.3')
('npm:parent-module', '1.0.1')
('npm:range-parser', '1.2.1')
('npm:ci-info', '2.0.0')
('npm:deepmerge', '4.2.2')
('npm:ansi-escapes', '4.3.1')
('npm:fastify-jwt', '1.3.1')
('npm:request', '2.88.2')
('npm:eslint-plugin-import', '2.20.2')
('npm:emoji-regex', '7.0.3')
('npm:opencollective-postinstall', '2.0.2')
('npm:string.prototype.trimright', '2.1.2')
('npm:iterate-iterator', '1.0.1')
('npm:opencollective-postinstall', '2.0.3')
('npm:typedarray', '0.0.6')
('npm:agent-base', '6.0.1')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:qs', '6.7.0')
('npm:bl', '2.2.1')
('npm:figures', '1.7.0')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:@babel/helper-validator-identifier', '7.9.0')
('npm:regexp-clone', '1.0.0')
('npm:fastify-static', '2.7.0')
('npm:global-dirs', '2.0.1')
('npm:psl', '1.8.0')
('npm:strip-eof', '1.0.0')
('npm:base64-arraybuffer', '0.1.4')
('npm:avvio', '6.5.0')
('npm:@cypress/request', '2.88.5')
('npm:lodash.once', '4.1.1')
('npm:once', '1.4.0')
('npm:object.values', '1.1.1')
('npm:tlds', '1.212.0')
('npm:@types/express-unless', '0.5.1')
('npm:ansi-align', '3.0.0')
('npm:natural-compare', '1.4.0')
('npm:base64-js', '1.3.1')
('npm:sprintf-js', '1.0.3')
('npm:get-stream', '3.0.0')
('npm:split2', '3.1.1')
('npm:buffer-from', '1.1.1')
('npm:execa', '4.1.0')
('npm:airtable', '0.8.1')
('npm:defer-to-connect', '1.1.3')
('npm:@babel/traverse', '7.11.0')
('npm:remote-redux-devtools', '^ 0.5.16')
('npm:isarray', '2.0.5')
('npm:check-error', '1.0.2')
('npm:mimic-response', '1.0.1')
('npm:cookiejar', '2.1.2')
('npm:@babel/parser', '7.9.4')
('npm:react-transition-group', '^ 4.4.1')
('npm:fastify-authz-jwks', '1.0.11')
('npm:@cypress/listr-verbose-renderer', '0.4.1')
('npm:object.getownpropertydescriptors', '2.1.0')
('npm:chalk', '2.4.2')
('npm:p-map', '2.1.0')
('npm:@sentry/minimal', '5.15.5')
('npm:path-key', '2.0.1')
('npm:crypto-random-string', '1.0.0')
('npm:json-parse-even-better-errors', '2.3.0')
('npm:tough-cookie', '2.5.0')
('npm:streamsearch', '0.1.2')
('npm:spdx-correct', '3.1.0')
('npm:engine.io', '3.5.0')
('npm:husky', '4.3.0')
('npm:openapi3-ts', '1.3.0')
('npm:concat-map', '0.0.1')
('npm:fast-diff', '1.2.0')
('npm:backoff', '2.5.0')
('npm:eslint-plugin-prettier', '3.1.2')
('npm:@types/body-parser', '1.19.0')
('npm:@types/mongodb', '3.6.3')
('npm:type-detect', '4.0.8')
('npm:mquery', '3.2.2')
('npm:http-cache-semantics', '4.1.0')
('npm:parse-json', '2.2.0')
('npm:ajv', '6.12.0')
('npm:indent-string', '3.2.0')
('npm:react', '^ 16.13.1')
('npm:iterate-value', '1.0.2')
('npm:update-notifier', '4.1.1')
('npm:dotenv', '^ 8.2.0')
('npm:widest-line', '2.0.1')
('npm:@babel/helper-split-export-declaration', '7.8.3')
('npm:string.prototype.trimstart', '1.0.0')
('npm:get-stream', '5.2.0')
('npm:@types/mime', '2.0.1')
('npm:ini', '1.3.5')
('npm:cross-spawn', '5.1.0')
('npm:@ungap/promise-all-settled', '1.1.2')
('npm:unique-string', '2.0.0')
('npm:any-observable', '0.3.0')
('npm:es-abstract', '1.17.5')
('npm:xmlbuilder', '9.0.7')
('npm:workerpool', '6.0.2')
('npm:array-differ', '3.0.0')
('npm:glossy', '0.1.7')
('npm:mochawesome-merge', '4.2.0')
('npm:notepack.io', '2.2.0')
('npm:es-get-iterator', '1.1.0')
('npm:react-gtm-module', '^ 2.0.8')
('npm:confusing-browser-globals', '1.0.9')
('npm:accepts', '1.3.7')
('npm:readable-stream', '3.6.0')
('npm:lru-memoizer', '2.1.2')
('npm:mime', '1.6.0')
('npm:validator', '13.1.17')
('npm:is-plain-obj', '1.1.0')
('npm:string.prototype.trimleft', '2.1.2')
('npm:sonic-boom', '0.7.7')
('npm:esutils', '2.0.3')
('npm:@samverschueren/stream-to-observable', '0.3.0')
('npm:is-function', '1.0.2')
('npm:ws', '7.4.2')
('npm:prettier', '2.0.2')
('npm:tsconfig-paths', '3.9.0')
('npm:lazy-ass', '1.6.0')
('npm:throttleit', '1.0.0')
('npm:flat', '4.1.0')
('npm:to-readable-stream', '1.0.0')
('npm:agentkeepalive', '4.1.2')
('npm:set-cookie-parser', '2.4.6')
('npm:app-root-path', '2.2.1')
('npm:prettier', '^ 2.0.5')
('npm:listr-silent-renderer', '1.1.1')
('npm:commander', '6.1.0')
('npm:performance-now', '2.1.0')
('npm:is-ci', '1.2.1')
('npm:diff', '3.5.0')
('npm:yaml', '1.10.0')
('npm:oauth-sign', '0.9.0')
('npm:fast-deep-equal', '3.1.1')
('npm:pathval', '1.1.0')
('npm:resolve-from', '4.0.0')
('npm:lint-staged', '10.2.13')
('npm:restore-cursor', '1.0.1')
('npm:redux', '^ 4.0.5')
('npm:function-bind', '1.1.1')
('npm:he', '1.2.0')
('npm:tcomb-validation', '3.4.1')
('npm:atomic-sleep', '1.0.0')
('npm:@testing-library/react', '^ 10.0.3')
('npm:colors', '1.4.0')
('npm:lodash.get', '4.4.2')
('npm:imurmurhash', '0.1.4')
('npm:is-set', '2.0.1')
('npm:is-callable', '1.1.5')
('npm:@sinonjs/formatio', '5.0.1')
('npm:fast-redact', '3.0.0')
('npm:sonic-boom', '1.3.0')
('com.github.FightPandemics/FightPandemics', '')
('npm:@sentry/node', '5.15.5')
('npm:pupa', '2.0.1')
('npm:@sentry/hub', '5.15.5')
('npm:cacheable-request', '6.1.0')
('npm:proxy-addr', '2.0.6')
('npm:lint-staged', '^ 10.2.0')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:lodash.includes', '4.3.0')
('npm:p-finally', '1.0.0')
