('maven:org.glassfish.hk2:hk2-locator', '2.5.0-b63')
('maven:com.hubspot:BaragonCore', '0.10.0-SNAPSHOT')
('npm:webpack-dev-server', '^ 1.14.1')
('npm:promise-polyfill', '^ 5.2.0')
('npm:micromatch', '^ 2.3.8')
('maven:com.fasterxml.jackson.datatype:jackson-datatype-guava', '')
('maven:javax.inject:javax.inject', '')
('npm:react-router-redux', '^ 4.0.5')
('npm:file-loader', '^ 0.9.0')
('maven:name.falgout.jeffrey.testing.junit5:guice-extension', '1.1.1')
('maven:com.hubspot:BaragonServiceIntegrationTests', '0.10.0-SNAPSHOT')
('npm:react-router', '^ 2.5.2')
('npm:bootstrap-sass', '^ 3.3.6')
('npm:react-select', '1.0.0-beta14')
('npm:babel-plugin-transform-react-jsx', '^ 6.8.0')
('maven:com.hubspot:HorizonNing', '')
('npm:isomorphic-fetch', '^ 2.2.1')
('npm:react-redux', '^ 4.4.5')
('npm:reselect', '^ 2.5.1')
('maven:javax.validation:validation-api', '')
('maven:org.apache.curator:curator-test', '2.13.0')
('npm:ansi-style-parser', '^ 1.0.1')
('npm:react-copy-to-clipboard', '^ 4.2.3')
('npm:babel-core', '^ 6.9.1')
('npm:gulp-mustache', '^ 2.2.0')
('npm:typeahead.js', '~ 0.10.4')
('maven:org.apache.curator:curator-client', '')
('npm:webpack', '1.13.1')
('maven:com.hubspot:BaragonData', '0.10.0-SNAPSHOT')
('npm:eslint-plugin-react', '^ 4.3.0')
('maven:org.apache.curator:curator-recipes', '')
('npm:babel-plugin-transform-class-properties', '^ 6.9.1')
('maven:org.jolokia:docker-maven-plugin', '0.13.0')
('maven:com.hubspot:HorizonCore', '')
('maven:com.fasterxml.jackson.dataformat:jackson-dataformat-yaml', '2.9.9')
('maven:com.amazonaws:aws-java-sdk-core', '')
('npm:expect', '^ 1.20.2')
('maven:com.google.api-client:google-api-client', '1.25.0')
('maven:com.github.spotbugs:spotbugs-annotations', '')
('npm:moment', '^ 2.13.0')
('maven:org.apache.curator:curator-client', '4.2.0')
('maven:io.dropwizard:dropwizard-jersey', '')
('npm:webpack-dev-middleware', '^ 1.6.1')
('maven:org.apache.curator:curator-recipes', '4.2.0')
('npm:redux-thunk', '^ 2.0.1')
('npm:keymaster', '^ 1.6.2')
('maven:org.yaml:snakeyaml', '1.23')
('maven:javax.servlet:javax.servlet-api', '')
('npm:eslint', '^ 2.11.1')
('maven:org.apache.zookeeper:zookeeper', '')
('maven:com.hubspot:BaragonCore', '')
('maven:com.fasterxml.jackson.core:jackson-databind', '')
('maven:com.hubspot:Ringleader', '')
('maven:org.eclipse.jetty:jetty-servlets', '')
('npm:babel-loader', '^ 6.2.4')
('maven:com.google.apis:google-api-services-compute', '')
('npm:del', '^ 2.2.0')
('maven:com.hubspot:BaragonClient', '0.10.0-SNAPSHOT')
('maven:com.hubspot.dropwizard:dropwizard-guicier', '')
('maven:com.hubspot.dropwizard:dropwizard-guicier', '1.3.5.1')
('maven:org.apache.curator:curator-test', '')
('maven:com.hubspot:Ringleader', '0.1.5')
('maven:com.google.api-client:google-api-client', '')
('maven:com.ning:async-http-client', '')
('maven:com.hubspot:BaragonUI', '')
('npm:stylus-loader', '^ 2.1.1')
('maven:io.dropwizard.metrics:metrics-graphite', '4.0.5')
('maven:io.dropwizard.metrics:metrics-core', '')
('npm:babel-runtime', '^ 6.9.2')
('npm:nib', '^ 1.1.0')
('maven:com.github.eirslett:frontend-maven-plugin', '')
('maven:io.dropwizard:dropwizard-core', '')
('npm:eslint-config-hubspot', '^ 6.2.0')
('maven:org.slf4j:log4j-over-slf4j', '')
('npm:redux', '^ 3.5.2')
('npm:streamqueue', '^ 1.1.1')
('maven:com.google.http-client:google-http-client-jackson2', '1.25.0')
('maven:org.hibernate:hibernate-validator', '')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '')
('maven:com.hubspot:BaragonAgentService', '0.10.0-SNAPSHOT')
('maven:com.google.http-client:google-http-client', '1.25.0')
('maven:javax.ws.rs:javax.ws.rs-api', '')
('npm:react-dom', '^ 15.1.0')
('maven:org.junit:junit-bom', '5.5.0')
('maven:io.dropwizard:dropwizard-views', '')
('maven:com.hubspot:BaragonWatcher', '0.10.0-SNAPSHOT')
('maven:com.fasterxml.jackson.core:jackson-annotations', '')
('npm:babel-plugin-transform-object-rest-spread', '^ 6.8.0')
('maven:name.falgout.jeffrey.testing.junit5:guice-extension', '')
('maven:com.google.inject:guice', '')
('maven:com.hubspot:BaragonData', '')
('npm:gulp-util', '^ 3.0.7')
('maven:org.glassfish.hk2:hk2-api', '2.5.0-b63')
('maven:io.dropwizard:dropwizard-jetty', '')
('maven:io.dropwizard:dropwizard-configuration', '')
('npm:babel-eslint', '^ 6.0.4')
('npm:raven-js', '^ 3.9.1')
('maven:org.apache.curator:curator-framework', '')
('npm:case-sensitive-paths-webpack-plugin', '^ 1.1.3')
('maven:org.codehaus.mojo:build-helper-maven-plugin', '')
('maven:com.google.http-client:google-http-client-jackson2', '')
('npm:clipboard', '^ 1.5.8')
('npm:parseurl', '^ 1.3.1')
('maven:com.amazonaws:aws-java-sdk-elasticloadbalancing', '')
('com.github.HubSpot/Baragon', '')
('npm:babel-register', '^ 6.9.0')
('maven:com.google.http-client:google-http-client', '')
('maven:io.dropwizard.metrics:metrics-annotation', '')
('npm:css-loader', '^ 0.23.1')
