('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:debug', '2.6.8')
('npm:@angular/core', '4.4.7')
('npm:less-loader', '4.0.5')
('npm:postcss-load-plugins', '2.3.0')
('npm:sshpk', '1.13.1')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:@angular/language-service', '4.4.7')
('npm:multicast-dns', '6.1.1')
('maven:org.joda:joda-convert', '1.8.1')
('npm:npm-run-path', '2.0.2')
('npm:postcss-colormin', '2.2.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:browserify-aes', '1.0.8')
('npm:qjobs', '1.1.5')
('npm:cliui', '2.1.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:string_decoder', '1.0.1')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:asn1', '0.2.3')
('npm:bytes', '3.0.0')
('npm:semver', '5.0.3')
('npm:postcss-modules-values', '1.3.0')
('npm:braces', '0.1.5')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:sockjs-client', '1.1.4')
('npm:read-pkg', '2.0.0')
('npm:postcss-calc', '5.3.1')
('npm:pinkie-promise', '2.0.1')
('npm:elliptic', '6.4.0')
('npm:bonjour', '3.5.0')
('npm:aws-sign2', '0.6.0')
('npm:clean-css', '4.1.9')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:yargs-parser', '4.2.1')
('npm:load-json-file', '1.1.0')
('npm:path-browserify', '0.0.0')
('maven:org.codehaus.jackson:jackson-core-asl', '1.9.13')
('npm:to-arraybuffer', '1.0.1')
('npm:postcss-minify-gradients', '1.0.5')
('npm:isarray', '0.0.1')
('npm:normalize-url', '1.9.1')
('npm:postcss-discard-comments', '2.0.4')
('npm:is-extendable', '0.1.1')
('npm:uglifyjs-webpack-plugin', '0.4.6')
('npm:xml2js', '0.4.4')
('npm:socket.io-client', '1.7.3')
('npm:is-path-in-cwd', '1.0.0')
('npm:hash.js', '1.1.3')
('npm:regjsgen', '0.2.0')
('npm:asap', '2.0.6')
('npm:core-js', '2.6.5')
('npm:dns-txt', '2.0.2')
('maven:org.apache.maven.plugins:maven-pmd-plugin', '3.6')
('npm:shallow-clone', '0.1.2')
('npm:strip-json-comments', '2.0.1')
