('npm:json-stable-stringify', '1.1.1')
('npm:babel-loader', '9.1.3')
('npm:internal-slot', '1.0.3')
('npm:yargs-parser', '20.2.9')
('npm:@swagger-api/apidom-parser-adapter-openapi-yaml-3-1', '1.0.0-alpha.5')
('npm:@babel/plugin-transform-export-namespace-from', '7.23.3')
('actions:actions/download-artifact', '2')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@babel/types', '7.23.3')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:detect-port', '1.5.1')
('npm:hogan.js', '3.0.2')
('npm:@types/istanbul-reports', '3.0.4')
('npm:es-shim-unscopables', '1.0.2')
('npm:comma-separated-tokens', '2.0.3')
('npm:hast-util-parse-selector', '2.2.5')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:@babel/plugin-transform-arrow-functions', '7.23.3')
('npm:es-iterator-helpers', '1.0.19')
('npm:postcss-discard-empty', '5.1.1')
('npm:d3-color', '2.0.0')
('npm:react-error-overlay', '6.0.11')
('npm:@types/ws', '8.5.3')
('npm:@babel/plugin-syntax-throw-expressions', '7.16.7')
('npm:traverse', '0.6.8')
('npm:extend', '3.0.2')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:@docsearch/react', '3.5.2')
('npm:style-to-object', '0.4.4')
('npm:@babel/plugin-transform-spread', '7.16.7')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:postcss', '8.4.31')
('rust:windows_x86_64_gnullvm', '0.42.0')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:depd', '2.0.0')
('npm:is-npm', '6.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:@emotion/babel-plugin', '11.11.0')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-syntax-typescript', '7.23.3')
('npm:is-generator-function', '1.0.10')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:@node-rs/jieba-win32-arm64-msvc', '1.7.2')
('npm:nanoid', '3.3.3')
('npm:@babel/plugin-transform-async-to-generator', '7.23.3')
('npm:@babel/helper-function-name', '7.23.0')
('rust:instant', '0.1.12')
('npm:@babel/helper-module-transforms', '7.24.7')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:@codemirror/highlight', '0.19.8')
('npm:string.prototype.trimstart', '1.0.4')
('npm:node-emoji', '2.1.0')
('npm:@swagger-api/apidom-parser-adapter-yaml-1-2', '1.0.0-alpha.5')
('rust:textwrap', '0.11.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:@mdx-js/react', '3.0.0')
('npm:parse-entities', '4.0.1')
('npm:ms', '2.0.0')
('npm:async', '2.6.4')
('rust:parking_lot_core', '0.6.3')
('npm:@babel/helper-simple-access', '7.24.7')
('npm:braces', '3.0.3')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:classnames', '2.3.0')
('npm:jest-worker', '29.7.0')
('npm:postcss-loader', '7.3.3')
('npm:@swagger-api/apidom-reference', '1.0.0-alpha.5')
('npm:url-loader', '4.1.1')
('npm:react-router', '5.3.4')
('npm:@types/bonjour', '3.5.13')
('npm:sass-graph', '4.0.0')
('npm:find-cache-dir', '4.0.0')
('npm:mdast-util-gfm', '3.0.0')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:rc-select', '14.0.6')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:@docusaurus/plugin-google-gtag', '3.1.1')
('npm:normalize-path', '3.0.0')
('npm:@codemirror/lang-python', '0.19.5')
('npm:tunnel-agent', '0.6.0')
('npm:detect-libc', '2.0.3')
('rust:tokio-core', '0.1.18')
('npm:promise-retry', '2.0.1')
('npm:mime-types', '2.1.35')
('npm:@xiechao/codemirror-lang-handlebars', '1.0.4')
('npm:socks-proxy-agent', '6.1.1')
('npm:@types/react-router', '5.1.20')
('npm:micromark-extension-mdxjs', '3.0.0')
('npm:available-typed-arrays', '1.0.5')
('npm:form-data-encoder', '2.1.4')
('rust:windows-sys', '0.42.0')
('npm:sprintf-js', '1.0.3')
('npm:@babel/highlight', '7.17.9')
('npm:accepts', '1.3.8')
('npm:check-error', '1.0.2')
('npm:react-query', '3.39.3')
('rust:winapi-x86_64-pc-windows-gnu', '0.4.0')
('npm:@tanstack/react-table', '8.17.3')
('rust:lock_api', '0.3.4')
('npm:stable', '0.1.8')
('npm:@types/d3-path', '2.0.2')
('npm:es-object-atoms', '1.0.0')
('npm:p-locate', '6.0.0')
('npm:dom-serializer', '1.4.1')
('npm:@svgr/plugin-jsx', '6.5.1')
('npm:string.prototype.trimend', '1.0.4')
('rust:openssl-macros', '0.1.0')
('npm:@babel/plugin-transform-regenerator', '7.23.3')
('npm:postcss-modules-local-by-default', '4.0.3')
('npm:@babel/generator', '7.17.9')
('npm:ci-info', '3.9.0')
('npm:micromark-extension-gfm-strikethrough', '2.0.0')
('npm:has-bigints', '1.0.1')
('npm:babel-plugin-polyfill-corejs3', '0.5.2')
('npm:rc-cascader', '3.2.9')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:tr46', '0.0.3')
('npm:format', '0.2.2')
('npm:@react-spring/three', '9.4.4')
('npm:@babel/runtime', '7.17.9')
('npm:@pnpm/config.env-replace', '1.1.0')
('npm:cssesc', '3.0.0')
('rust:json-color', '0.6.2')
('npm:hast-util-is-element', '1.1.0')
('npm:infima', '0.2.0-alpha.43')
('npm:array-flatten', '1.1.1')
('npm:@lezer/common', '1.2.1')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('npm:domelementtype', '2.3.0')
('npm:oauth-sign', '0.9.0')
('npm:serialize-javascript', '6.0.0')
('rust:semver', '0.9.0')
('npm:eslint-visitor-keys', '3.4.3')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:http-cache-semantics', '4.1.1')
('npm:array-tree-filter', '2.1.0')
('rust:home', '0.5.4')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:micromark-extension-gfm-tagfilter', '2.0.0')
('npm:deep-equal', '2.0.5')
('npm:find-root', '1.1.0')
('npm:@floating-ui/utils', '0.2.2')
('npm:@babel/plugin-transform-react-jsx-source', '7.24.7')
('npm:immutable', '3.8.2')
('npm:@codemirror/lang-wast', '0.19.0')
('npm:@rollup/rollup-linux-s390x-gnu', '4.18.0')
('npm:object.hasown', '1.1.4')
('npm:browser-stdout', '1.3.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:html-tags', '3.3.1')
('npm:nopt', '5.0.0')
('npm:@polka/url', '1.0.0-next.23')
('rust:futures-macro', '0.3.25')
('npm:unist-util-remove-position', '5.0.0')
('npm:@codemirror/rectangular-selection', '0.19.2')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:webpack-dev-middleware', '5.3.4')
('npm:@docusaurus/plugin-sitemap', '3.1.1')
('npm:@swagger-api/apidom-parser-adapter-asyncapi-yaml-2', '0.99.1')
('npm:rc-table', '7.22.2')
('rust:wasm-bindgen-backend', '0.2.83')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:@types/express', '4.17.13')
('npm:@codemirror/lang-xml', '0.19.2')
('npm:@sideway/address', '4.1.4')
('npm:@emotion/sheet', '1.1.0')
('npm:@mui/system', '5.15.20')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:zwitch', '1.0.5')
('rust:winapi', '0.2.8')
('npm:@floating-ui/dom', '1.6.5')
('npm:shebang-command', '2.0.0')
('npm:cacheable-lookup', '7.0.0')
('npm:@esbuild/linux-ia32', '0.21.5')
('npm:@jridgewell/trace-mapping', '0.3.4')
('npm:ecc-jsbn', '0.1.2')
('rust:syn', '1.0.107')
('npm:@node-rs/jieba-linux-arm64-musl', '1.7.2')
('npm:@babel/plugin-transform-block-scoping', '7.16.7')
('npm:hpack.js', '2.1.6')
('npm:decamelize-keys', '1.1.0')
('npm:@types/eslint', '8.4.1')
('npm:@swagger-api/apidom-ns-json-schema-draft-6', '0.99.1')
('npm:webpack-merge', '5.8.0')
('npm:aggregate-error', '3.1.0')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:fill-range', '7.1.1')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.6')
('npm:npmlog', '5.0.1')
('npm:xml-js', '1.6.11')
