('npm:coa', '2.0.2')
('npm:safer-eval', '1.3.6')
('actions:jpribyl/action-docker-layer-caching', '0.1.1')
('npm:jackspeak', '2.3.6')
('pip:scipy', '1.12.0')
('npm:astral-regex', '1.0.0')
('npm:nunjucks', '3.2.0')
('pip:bleach', '5.0.1')
('npm:postcss-colormin', '2.2.2')
('npm:nunjucks-parser', '1.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:ieee754', '1.1.13')
('npm:css-tree', '1.1.3')
('npm:magic-string', '0.22.5')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('npm:buffer-xor', '1.0.3')
('npm:scheduler', '0.13.6')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:repeat-element', '1.1.2')
('npm:escodegen', '1.14.3')
('npm:color', '3.2.1')
('npm:randombytes', '2.1.0')
('pip:django-oauth-toolkit', '2.2.0')
('npm:ansi-regex', '6.0.1')
('npm:anymatch', '2.0.0')
('pip:django-cors-headers', '3.13.0')
('npm:typed-array-byte-offset', '1.0.0')
('npm:escape-html', '1.0.3')
('npm:html-comment-regex', '1.1.2')
('npm:through', '2.3.8')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:array-includes', '3.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:postcss', '7.0.39')
('npm:@babel/plugin-transform-member-expression-literals', '7.2.0')
('npm:read-pkg', '2.0.0')
('pip:ply', '3.11')
('npm:postcss-calc', '5.3.1')
('pip:toml', '0.10.2')
('npm:@babel/helper-plugin-utils', '7.0.0')
('npm:encodeurl', '1.0.2')
('pip:mapbox', '0.18.1')
('npm:@babel/plugin-transform-typeof-symbol', '7.2.0')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:strip-ansi', '5.2.0')
('pip:django-modeladmin-reorder', '0.3.1')
('npm:babel-runtime', '6.26.0')
('pip:wcwidth', '0.2.12')
('npm:nan', '2.18.0')
('npm:to-arraybuffer', '1.0.1')
('npm:postcss-minify-gradients', '1.0.5')
('npm:pako', '1.0.10')
('npm:postcss-ordered-values', '4.1.2')
('pip:pillow', '9.5.0')
('npm:normalize-url', '1.9.1')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:postcss-discard-comments', '2.0.4')
('npm:@babel/plugin-transform-object-super', '7.5.5')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.4.5')
('pip:openpyxl', '3.1.0')
('npm:@isaacs/cliui', '8.0.2')
('npm:is-shared-array-buffer', '1.0.2')
('npm:extend-shallow', '3.0.2')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('pip:packaging', '23.2')
('npm:@babel/plugin-syntax-flow', '7.2.0')
('npm:class-utils', '0.3.6')
('npm:strip-json-comments', '2.0.1')
('npm:timsort', '0.3.0')
('npm:wrap-ansi', '8.1.0')
('npm:acorn', '7.4.1')
('npm:to-regex', '3.0.2')
('npm:has-bigints', '1.0.2')
('pip:luqum', '0.13.0')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('npm:postcss-reduce-transforms', '4.0.2')
('npm:rimraf', '2.6.3')
('pip:boto3', '1.26.130')
('npm:elliptic', '6.5.0')
('npm:define-property', '2.0.2')
('npm:autoprefixer', '6.7.7')
('pip:graypy', '0.2.12')
('npm:postcss-normalize-string', '4.0.2')
('npm:object.values', '1.1.7')
('npm:evp_bytestokey', '1.0.3')
('npm:@babel/plugin-transform-exponentiation-operator', '7.2.0')
('npm:color-name', '1.1.4')
('npm:dotenv-expand', '4.2.0')
('npm:@babel/plugin-transform-modules-systemjs', '7.5.0')
('pip:stack-data', '0.6.3')
('npm:vendors', '1.0.4')
('npm:postcss-normalize-display-values', '4.0.2')
('pip:bcrypt', '4.1.2')
('pip:zenpy', '1.1.3')
('npm:sort-keys', '1.1.2')
('npm:postcss-merge-longhand', '2.0.2')
('pip:vine', '5.1.0')
('pip:decorator', '5.1.1')
('npm:node-forge', '0.7.6')
('npm:postcss-reduce-initial', '4.0.3')
