('npm:@babel/compat-data', '7.24.7')
('npm:jest-circus', '29.7.0')
('npm:tr46', '3.0.0')
('npm:@jest/test-result', '29.7.0')
('rubygems:websocket-extensions', '0.1.5')
('rubygems:rufus-scheduler', '3.9.1')
('npm:babel-loader', '9.1.3')
('rubygems:rackup', '1.0.0')
('npm:wrappy', '1.0.2')
('rubygems:shoulda-callback-matchers', '1.1.4')
('npm:@istanbuljs/schema', '0.1.3')
('npm:readable-stream', '3.6.2')
('npm:@babel/plugin-transform-duplicate-keys', '7.24.7')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:mousetrap', '1.6.5')
('rubygems:actionpack', '7.1.3.4')
('npm:randombytes', '2.1.0')
('npm:typed-array-buffer', '1.0.2')
('npm:@babel/helper-validator-identifier', '7.24.7')
('actions:ruby/setup-ruby', '1.*.*')
('npm:postcss-modules-values', '4.0.0')
('npm:react-test-renderer', '16.14.0')
('npm:@react-dnd/asap', '4.0.1')
('npm:compute-lcm', '1.1.2')
('npm:is-subset', '0.1.1')
('npm:@babel/plugin-transform-computed-properties', '7.24.7')
('npm:htmlparser2', '8.0.1')
('npm:array.prototype.flat', '1.3.0')
('rubygems:js-routes', '2.2.8')
('npm:nan', '2.19.0')
('actions:actions/setup-node', '4.*.*')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:ci-info', '3.3.2')
('npm:json-schema-traverse', '0.4.1')
('npm:css-select', '5.1.0')
('rubygems:rspec-support', '3.13.1')
('npm:@webassemblyjs/helper-numbers', '1.11.6')
('npm:@rjsf/validator-ajv8', '5.18.3')
('npm:escape-string-regexp', '2.0.0')
('npm:regexpu-core', '5.3.2')
('npm:babel-plugin-prismjs', '2.1.0')
('rubygems:redis', '4.8.1')
('rubygems:regexp_parser', '2.9.0')
('rubygems:hashdiff', '1.1.0')
('npm:bignumber.js', '9.1.0')
('npm:babel-plugin-istanbul', '6.1.1')
('rubygems:i18n-tasks', '1.0.14')
('npm:jsdom', '20.0.0')
('npm:stack-utils', '2.0.5')
('npm:@jest/environment', '29.7.0')
('npm:@babel/plugin-transform-regenerator', '7.24.7')
('rubygems:debug_inspector', '1.2.0')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:rimraf', '3.0.2')
('npm:@types/yargs', '17.0.11')
('rubygems:awesome_print', '1.9.2')
('npm:webpack-cli', '5.1.4')
('npm:@babel/plugin-transform-unicode-regex', '7.24.7')
('npm:xml-name-validator', '4.0.0')
('npm:chrome-trace-event', '1.0.3')
('npm:cssom', '0.5.0')
('npm:jest-util', '29.7.0')
('npm:heic2any', '0.0.4')
('rubygems:multi_json', '1.15.0')
('npm:@types/istanbul-lib-coverage', '2.0.4')
('npm:@types/react-dom', '17.0.17')
('npm:@babel/preset-env', '7.24.7')
('npm:enhanced-resolve', '5.16.0')
('npm:@babel/plugin-transform-new-target', '7.24.7')
('npm:acorn', '7.4.1')
('npm:@webassemblyjs/wasm-parser', '1.12.1')
('npm:randexp', '0.4.6')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:has-bigints', '1.0.2')
('npm:p-limit', '3.1.0')
('npm:@babel/helper-wrap-function', '7.24.7')
('npm:@jest/expect-utils', '29.7.0')
('npm:type-fest', '0.21.3')
('npm:is-shared-array-buffer', '1.0.3')
('rubygems:bullet', '7.1.6')
('npm:object.fromentries', '2.0.7')
('npm:form-data', '4.0.0')
('rubygems:factory_bot', '6.4.5')
('npm:object.values', '1.1.7')
('npm:color-name', '1.1.4')
('npm:parse-json', '5.2.0')
('npm:@babel/helper-compilation-targets', '7.24.7')
('npm:@babel/helper-module-transforms', '7.24.7')
('npm:@discoveryjs/json-ext', '0.5.7')
('npm:@webpack-cli/serve', '2.0.5')
('rubygems:dry-logic', '1.5.0')
('npm:data-urls', '3.0.2')
('npm:enzyme-shallow-equal', '1.0.7')
('npm:resolve-from', '5.0.0')
('rubygems:rails', '7.1.3.4')
('npm:yallist', '3.1.1')
('npm:minimatch', '3.1.2')
('rubygems:responders', '3.1.1')
('npm:@fortawesome/fontawesome-common-types', '6.5.2')
('npm:@babel/helper-simple-access', '7.24.7')
('npm:braces', '3.0.3')
('npm:get-stream', '6.0.1')
('rubygems:reline', '0.5.9')
('npm:makeerror', '1.0.12')
('npm:caniuse-lite', '1.0.30001603')
('npm:@babel/helper-split-export-declaration', '7.24.7')
('npm:jest-worker', '29.7.0')
('npm:@babel/plugin-transform-sticky-regex', '7.24.7')
('npm:globalthis', '1.0.3')
('npm:neo-async', '2.6.2')
('npm:yargs', '17.7.2')
('npm:function-bind', '1.1.2')
('npm:jest-each', '29.7.0')
('rubygems:json', '2.7.2')
('rubygems:timeout', '0.4.1')
('rubygems:builder', '3.3.0')
('npm:loader-runner', '4.3.0')
('npm:@babel/plugin-transform-dynamic-import', '7.24.7')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.24.7')
('rubygems:observer', '0.1.2')
('npm:find-cache-dir', '4.0.0')
('npm:commander', '2.20.3')
('npm:validate.io-array', '1.0.6')
('npm:jest-worker', '27.5.1')
('npm:agent-base', '6.0.2')
('npm:is-weakref', '1.0.2')
('npm:core-js-compat', '3.36.1')
('npm:normalize-path', '3.0.0')
('npm:object.entries', '1.1.5')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:path-parse', '1.0.7')
('npm:detect-libc', '2.0.3')
('npm:mime-types', '2.1.35')
('rubygems:rack-cors', '2.0.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:@babel/helper-create-class-features-plugin', '7.24.7')
('npm:@types/react-table', '6.8.9')
('npm:react-keyed-file-browser', '1.14.0')
('npm:collect-v8-coverage', '1.0.2')
