('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('npm:hast-util-is-element', '2.1.2')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:buffer-xor', '1.0.3')
('npm:@babel/preset-typescript', '7.18.6')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:tr46', '2.1.0')
('npm:comma-separated-tokens', '2.0.3')
('npm:babel-jest', '27.5.1')
('npm:is-root', '2.1.0')
('npm:workbox-strategies', '6.5.4')
('npm:@types/webpack', '4.41.33')
('npm:escape-string-regexp', '2.0.0')
('npm:remark-reference-links', '6.0.1')
('npm:postcss-discard-empty', '5.1.1')
('npm:bonjour', '3.5.0')
('npm:react-error-overlay', '6.0.11')
('npm:@types/ws', '8.5.3')
('npm:@babel/preset-env', '7.20.2')
('npm:sockjs-client', '1.5.0')
('npm:extend', '3.0.2')
('npm:html-tags', '2.0.0')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:postcss-selector-not', '6.0.1')
('npm:micromark-extension-gfm-tagfilter', '1.0.1')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:p-limit', '3.1.0')
('npm:loader-utils', '0.2.17')
('npm:parse-url', '8.1.0')
('npm:postcss-font-variant', '5.0.0')
('npm:data-urls', '2.0.0')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:hast-util-to-html', '8.0.3')
('npm:builtin-modules', '3.3.0')
('maven:org.springframework.hateoas:spring-hateoas', '')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:pbkdf2', '3.1.2')
('npm:vfile-statistics', '2.0.0')
('npm:ms', '2.0.0')
('npm:async', '2.6.4')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:util.promisify', '1.0.0')
('npm:universalify', '2.0.0')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '5.4.0')
('npm:clsx', '1.1.1')
('npm:@types/source-list-map', '0.1.2')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:micromark-core-commonmark', '1.0.6')
('npm:@nicolo-ribaudo/eslint-scope-5-internals', '5.1.1-1')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:mime-types', '2.1.35')
('npm:yaeti', '0.0.6')
('npm:is-descriptor', '0.1.6')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:nth-check', '1.0.2')
('npm:p-map', '2.1.0')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:p-locate', '6.0.0')
('npm:core-js', '3.26.1')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:lodash.mapvalues', '4.6.0')
('npm:@vue/shared', '3.2.45')
('npm:react-stomp', '5.1.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:fastq', '1.14.0')
('npm:html-encoding-sniffer', '2.0.1')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:is-generator-fn', '2.1.0')
('npm:micromark-util-decode-string', '1.0.2')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '3.8.0')
('npm:babel-plugin-named-asset-import', '0.3.8')
('npm:cipher-base', '1.0.4')
('npm:jest-environment-jsdom', '27.5.1')
('npm:cssesc', '3.0.0')
('npm:workbox-navigation-preload', '6.5.4')
('npm:http-proxy-middleware', '0.19.1')
('npm:@babel/plugin-transform-typescript', '7.20.7')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:async', '3.2.4')
('npm:jest', '27.5.1')
('npm:async', '1.5.2')
('npm:filesize', '3.6.1')
('npm:domelementtype', '2.3.0')
('npm:oauth-sign', '0.9.0')
('npm:serialize-javascript', '6.0.0')
('npm:tailwindcss', '3.2.4')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:run-queue', '1.0.3')
('npm:@types/json-schema', '7.0.9')
('npm:hmac-drbg', '1.0.1')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:jest-environment-node', '27.5.1')
('npm:lodash.get', '4.4.2')
('npm:postcss-flexbugs-fixes', '5.0.2')
('npm:@babel/plugin-syntax-decorators', '7.19.0')
('npm:github-slugger', '1.4.0')
('npm:p-finally', '1.0.0')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:jest-runtime', '27.5.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:array.prototype.reduce', '1.0.5')
('npm:import-local', '2.0.0')
('npm:uglify-js', '3.4.9')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:postcss-page-break', '3.0.4')
('npm:shebang-command', '2.0.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.18.6')
('npm:ecc-jsbn', '0.1.2')
('npm:@types/stack-utils', '2.0.1')
('npm:any-promise', '1.3.0')
('npm:@svgr/plugin-svgo', '5.5.0')
('npm:handlebars', '4.7.7')
('npm:hpack.js', '2.1.6')
('maven:org.springframework.cloud:spring-cloud-dependencies', '2021.0.0')
('npm:murmur-hash', '1.0.0')
('npm:globby', '6.1.0')
('npm:chokidar', '2.1.8')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:array-union', '1.0.2')
('npm:type', '1.2.0')
('npm:query-string', '4.3.4')
('maven:com.fasterxml.jackson.core:jackson-databind', '')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:picocolors', '1.0.0')
('npm:postcss-initial', '4.0.1')
('npm:@humanwhocodes/config-array', '0.11.8')
('maven:wsdl4j:wsdl4j', '')
('npm:url-parse', '1.5.10')
('npm:postcss-dir-pseudo-class', '6.0.5')
('npm:@babel/plugin-transform-react-pure-annotations', '7.18.6')
('npm:pumpify', '1.5.1')
('npm:deepmerge', '1.5.2')
('npm:cssnano-util-get-match', '4.0.0')
('npm:enhanced-resolve', '5.12.0')
('npm:@babel/helper-annotate-as-pure', '7.18.6')
('npm:setprototypeof', '1.2.0')
('npm:postcss-selector-parser', '6.0.11')
('npm:markdown-table', '3.0.3')
('npm:stream-shift', '1.0.1')
('npm:parse5', '5.1.1')
('npm:aws-sign2', '0.7.0')
('npm:css-what', '3.4.2')
('npm:resolve-url-loader', '4.0.0')
('npm:@babel/plugin-transform-parameters', '7.20.7')
('npm:get-package-type', '0.1.0')
('npm:infer-owner', '1.0.4')
('npm:acorn-walk', '7.2.0')
('npm:postcss-minify-font-values', '5.1.0')
('npm:micromark-util-decode-numeric-character-reference', '1.0.0')
('npm:execa', '5.1.1')
('npm:execa', '1.0.0')
('npm:babel-plugin-polyfill-regenerator', '0.4.1')
('npm:@vue/babel-plugin-transform-vue-jsx', '1.4.0')
('npm:detect-port-alt', '1.1.6')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:is-arguments', '1.1.1')
('npm:uglify-js', '3.11.0')
('npm:component-emitter', '1.3.0')
('npm:postcss-calc', '7.0.5')
('npm:string_decoder', '1.1.1')
('npm:eslint-scope', '7.1.1')
('npm:@babel/plugin-transform-classes', '7.20.7')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:is-number', '3.0.0')
