('npm:yargs', '15.4.1')
('npm:yargs-parser', '20.2.9')
('npm:typescript', '3.5.3')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:typed-assert', '1.0.9')
('npm:configstore', '5.0.1')
('npm:bonjour', '3.5.0')
('npm:@babel/helpers', '7.17.8')
('npm:@types/ws', '8.5.3')
('npm:extend', '3.0.2')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:@babel/plugin-transform-spread', '7.16.7')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:dns-txt', '2.0.2')
('nuget:IdentityServer4.EntityFramework.Storage', '3.1.4')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:postcss-font-variant', '5.0.0')
('npm:esbuild-linux-ppc64le', '0.14.22')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:https-proxy-agent', '2.2.4')
('npm:pbkdf2', '3.1.2')
('npm:ms', '2.0.0')
('npm:@angular/platform-browser', '13.3.1')
('npm:for-in', '1.0.2')
('npm:get-stream', '6.0.1')
('npm:sass-lint', '1.13.1')
('npm:universalify', '2.0.0')
('npm:dom-serialize', '2.2.1')
('npm:@babel/plugin-transform-runtime', '7.16.10')
('npm:@types/hammerjs', '2.0.35')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:promise-retry', '2.0.1')
('npm:semver', '7.3.5')
('npm:mime-types', '2.1.35')
('npm:socks-proxy-agent', '6.1.1')
('npm:fs-extra', '10.0.1')
('npm:is-descriptor', '0.1.6')
('npm:is-interactive', '1.0.0')
('npm:memory-fs', '0.4.1')
('npm:lunr', '2.3.6')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:crypto-random-string', '1.0.0')
('npm:bn.js', '4.12.0')
('npm:@tootallnate/once', '2.0.0')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:snapdragon-node', '2.1.1')
('npm:babel-plugin-polyfill-corejs3', '0.5.2')
('npm:tr46', '0.0.3')
('npm:postcss-color-functional-notation', '4.2.2')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:vscode-textmate', '5.2.0')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
