('maven:io.micrometer:micrometer-registry-prometheus', '')
('maven:de.codecentric:chaos-monkey-spring-boot', '')
('maven:com.example.chaos.monkey.shopping:hot-deals', '')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-eureka-client', '')
('maven:com.example.chaos.monkey.shopping:shared', '')
('com.github.MrBW/chaos-monkey-spring-boot-demo', '')
('maven:org.springframework.boot:spring-boot-dependencies', '2.1.2.RELEASE')
('maven:io.opentracing.contrib:opentracing-spring-jaeger-cloud-starter', '')
('maven:com.netflix.hystrix:hystrix-core', '')
('maven:io.opentracing.contrib:opentracing-spring-jaeger-cloud-starter', '1.0.1')
('maven:org.springframework.cloud:spring-cloud-starter-gateway', '')
('maven:org.springframework.boot:spring-boot-maven-plugin', '2.1.2.RELEASE')
('maven:io.opentracing.contrib:opentracing-spring-jaeger-web-starter', '1.0.1')
('maven:org.springframework.boot:spring-boot-starter-web', '2.1.2.RELEASE')
('maven:org.springframework.boot:spring-boot-starter-test', '')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-eureka-server', '')
('maven:io.opentracing.contrib:opentracing-spring-jaeger-web-starter', '')
('maven:org.springframework.boot:spring-boot-devtools', '')
('maven:org.projectlombok:lombok', '1.16.20')
('maven:com.spotify:dockerfile-maven-plugin', '')
('maven:org.springframework.cloud:spring-cloud-starter-sleuth', '2.1.0.RELEASE')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '3.8.0')
('maven:org.springframework.boot:spring-boot-starter-actuator', '2.1.2.RELEASE')
('maven:org.springframework.cloud:spring-cloud-starter-sleuth', '')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('maven:org.springframework:spring-web', '')
('maven:org.springframework.boot:spring-boot-maven-plugin', '')
('maven:org.springframework.cloud:spring-cloud-dependencies', 'Greenwich.RELEASE')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '')
('maven:org.projectlombok:lombok', '')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('maven:org.springframework.boot:spring-boot-starter-test', '2.1.2.RELEASE')
('maven:com.spotify:dockerfile-maven-plugin', '1.4.3')
('maven:com.netflix.hystrix:hystrix-core', '1.5.12')
('maven:de.codecentric:chaos-monkey-spring-boot', '2.0.2')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-hystrix', '')
('maven:org.springframework.boot:spring-boot-devtools', '2.1.2.RELEASE')
('maven:org.springframework.cloud:spring-cloud-starter-zipkin', '')
