('npm:pinkie', '2.0.4')
('npm:sshpk', '1.13.1')
('npm:balanced-match', '1.0.0')
('npm:hash-base', '3.0.4')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:charset', '1.0.1')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:timers-browserify', '1.4.2')
('npm:string_decoder', '1.3.0')
('npm:events', '1.1.1')
('npm:asn1', '0.2.3')
('npm:minizlib', '2.1.0')
('npm:jschardet', '1.6.0')
('npm:tar-stream', '2.1.2')
('npm:ieee754', '1.1.11')
('npm:jsondiffpatch', '0.1.43')
('npm:json-schema-traverse', '0.4.1')
('npm:minipass', '3.1.1')
('npm:pinkie-promise', '2.0.1')
('npm:elliptic', '6.4.0')
('npm:nan', '2.14.0')
('npm:@babel/runtime', '7.9.2')
('npm:buffer', '5.6.0')
('npm:lodash.foreach', '4.5.0')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:lodash.defaults', '4.2.0')
('npm:to-arraybuffer', '1.0.1')
('npm:isarray', '0.0.1')
('npm:fs-extra', '1.0.0')
('npm:normalize-url', '1.9.1')
('npm:underscore', '1.10.2')
('npm:hash.js', '1.1.3')
('npm:angular-meteor-auth', '1.1.1')
('npm:strip-json-comments', '2.0.1')
('npm:angular-mocks', '1.5.9')
('npm:har-schema', '2.0.0')
('npm:readdirp', '3.4.0')
('npm:are-we-there-yet', '1.1.5')
('npm:evp_bytestokey', '1.0.3')
('npm:angular-aria', '1.7.9')
('npm:css-url-parser', '1.1.2')
('npm:extend', '3.0.1')
('npm:deep-extend', '0.6.0')
('npm:github-from-package', '0.0.0')
('npm:sort-keys', '1.1.2')
('npm:semver', '6.3.0')
('npm:readable-stream', '1.0.34')
('npm:napi-build-utils', '1.0.2')
('npm:lru-cache', '2.2.4')
('npm:ms', '2.0.0')
('npm:angular-file-upload', '2.5.0')
('npm:bn.js', '4.11.8')
('npm:traverse', '0.6.6')
('npm:bcrypt-pbkdf', '1.0.1')
('npm:simple-get', '3.1.0')
('npm:browserify-sign', '4.0.4')
('npm:buffer', '4.9.1')
('npm:iconv-lite', '0.4.24')
('npm:iconv', '2.3.5')
('npm:request', '2.88.2')
('npm:angular-cookies', '1.6.8')
('npm:underscore', '1.8.3')
('npm:semver', '4.3.6')
('npm:typedarray', '0.0.6')
('npm:sharp', '0.23.4')
