('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:@types/convict', '6.1.6')
('npm:fastify', '^ 4.28.1')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:babylon', '6.18.0')
('npm:@types/object-assign-deep', '0.4.0')
('npm:eslint-plugin-i18n-text', '1.0.1')
('npm:get-port', '7.1.0')
('npm:es-shim-unscopables', '1.0.2')
('npm:node-gyp', '10.0.1')
('npm:real-require', '0.1.0')
('npm:process-warning', '3.0.0')
('npm:object-inspect', '1.11.1')
('npm:escape-string-regexp', '2.0.0')
('npm:pem-jwk', '1.5.1')
('npm:treeify', '1.1.0')
('npm:is-docker', '3.0.0')
('npm:extend', '3.0.2')
('npm:binary-extensions', '2.0.0')
('npm:node-object-hash', '1.3.0')
('npm:@typescript-eslint/type-utils', '7.16.0')
('npm:spdx-license-ids', '3.0.16')
('npm:lodash', '^ 4.17.4')
('npm:@isaacs/cliui', '8.0.2')
('npm:@types/http-assert', '1.5.4')
('npm:depd', '2.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:jose', '5.6.3')
('npm:schemes', '1.4.0')
('npm:oada-error', '1.1.1')
('npm:@types/uuid', '8.3.4')
('npm:p-limit', '3.1.0')
('npm:@types/bcryptjs', '^ 2.4.6')
('npm:is-generator-function', '1.0.10')
('npm:are-we-there-yet', '1.1.5')
('npm:globals', '14.0.0')
('npm:timed-cache', '^ 2.0.0')
('npm:string.prototype.trimstart', '1.0.4')
('npm:leven', '2.1.0')
('npm:uuid', '3.0.1')
('npm:builtin-modules', '3.3.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:abort-controller', '3.0.0')
('npm:semver', '6.3.0')
('npm:ms', '2.0.0')
('npm:@ava/typescript', '5.0.0')
('npm:path-scurry', '1.11.1')
('npm:convict-format-with-moment', '6.2.0')
('npm:defu', '6.1.4')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('npm:get-stream', '6.0.1')
('npm:enhance-visitors', '1.0.0')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:prom-client', '^ 15.1.3')
('npm:md5', '^ 2.2.1')
('npm:follow-redirects', '1.14.7')
('npm:@oada/media-types', '4.0.0')
('npm:electron-to-chromium', '1.4.808')
('npm:@fastify/passport', '^ 2.5.0')
('npm:@fastify/view', '9.1.0')
('npm:@fastify/bearer-auth', '9.4.0')
('npm:dateformat', '4.6.3')
('npm:callguard', '2.0.0')
('npm:emoji-regex', '7.0.3')
('npm:eslint-config-xo-typescript', '0.49.0')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:@typescript-eslint/parser', '5.10.1')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:typed-array-byte-length', '1.0.0')
('npm:promise-retry', '2.0.1')
('npm:quick-format-unescaped', '4.0.4')
('npm:mime-types', '2.1.35')
('npm:semver', '7.3.5')
('npm:on-exit-leak-free', '2.1.2')
('npm:socks-proxy-agent', '6.1.1')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:@fastify/bearer-auth', '^ 9.4.0')
('npm:available-typed-arrays', '1.0.5')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:check-error', '1.0.2')
('actions:booxmedialtd/ws-action-parse-semver', '1.4.7')
('npm:encodeurl', '1.0.1')
('npm:wellknown', '0.5.0')
('npm:bn.js', '4.12.0')
('npm:eventemitter3', '^ 5.0.1')
('npm:p-locate', '6.0.0')
('npm:axios', '0.19.2')
('npm:randomstring', '1.1.5')
('npm:json3', '3.3.2')
('npm:string.prototype.trimend', '1.0.4')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:ast-types-flow', '0.0.8')
('npm:ci-info', '3.9.0')
('npm:@types/fs-extra', '11.0.4')
('npm:has-bigints', '1.0.1')
('npm:string.prototype.trimstart', '1.0.7')
('npm:x3-linkedlist', '1.2.0')
('npm:tr46', '0.0.3')
('npm:end-of-stream', '1.1.0')
('npm:convict', '^ 6.2.4')
('npm:babel-plugin-syntax-async-generators', '6.13.0')
('npm:tar-stream', '1.6.1')
('npm:eslint-rule-documentation', '1.0.23')
('npm:write-stream', '0.4.3')
('npm:is-function', '1.0.2')
('npm:follow-redirects', '1.5.0')
('npm:flat', '4.1.0')
('npm:normalize-path', '2.1.1')
('npm:async', '3.2.4')
('npm:array-flatten', '1.1.1')
('npm:async', '1.5.2')
('npm:uuid', '3.1.0')
('npm:serialize-javascript', '6.0.0')
('npm:tar-fs', '1.16.3')
('npm:eslint-visitor-keys', '3.4.3')
('npm:array-includes', '3.1.7')
('npm:npmlog', '6.0.0')
('npm:http-cache-semantics', '4.1.1')
('npm:@types/json-schema', '7.0.9')
('npm:is-promise', '4.0.0')
('npm:chokidar', '1.7.0')
('npm:debug', '2.6.9')
('npm:spdx-correct', '3.2.0')
('npm:@commitlint/load', '19.2.0')
('npm:lodash.get', '4.4.2')
('npm:babel-plugin-transform-es2015-modules-systemjs', '6.24.1')
('npm:deep-equal', '2.0.5')
('npm:find-root', '1.1.0')
('npm:@oada/oada-cache', '1.3.1')
('npm:is-weakref', '1.0.1')
('npm:signal-exit', '3.0.2')
('npm:expand-brackets', '0.1.5')
('npm:convict-format-with-moment', '^ 6.2.0')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:browser-stdout', '1.3.1')
('npm:safe-stable-stringify', '2.3.1')
('npm:nopt', '5.0.0')
('npm:ignore', '5.2.0')
('npm:clipanion', '3.2.0-rc.4')
('npm:make-dir', '3.1.0')
('npm:@oada/formats-server', '^ 4.0.0')
('npm:fastify-sensible', '3.1.2')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:@types/express', '4.17.13')
('npm:json-file-plus', '3.3.1')
('npm:aria-query', '5.3.0')
('npm:kafkajs', '^ 2.2.4')
('npm:glob-base', '0.3.0')
('npm:create-require', '1.1.1')
('npm:eslint-plugin-prettier', '3.4.1')
('npm:shebang-command', '2.0.0')
('npm:cacheable-lookup', '7.0.0')
('npm:@esbuild/linux-ia32', '0.21.5')
('npm:@typescript-eslint/utils', '5.10.1')
('npm:buffer-fill', '1.0.0')
('npm:es6-error', '4.0.2')
('npm:combined-stream', '1.0.5')
('npm:convict', '6.2.1')
('npm:string.prototype.trimend', '1.0.7')
('npm:lodash', '4.17.4')
('npm:any-promise', '1.3.0')
('npm:peek-readable', '5.0.0')
('npm:deep-equal', '1.0.1')
('npm:@types/eslint', '8.4.1')
('npm:arangojs', '^ 8.8.1')
('npm:signal-exit', '4.1.0')
('npm:timed-cache', '2.0.0')
('npm:@types/object-assign-deep', '0.4.3')
('npm:blueimp-md5', '2.19.0')
('npm:globals', '9.18.0')
('npm:pkg-conf', '4.0.0')
('npm:aggregate-error', '3.1.0')
('npm:babel-plugin-transform-es2015-destructuring', '6.23.0')
('npm:fastify-graceful-shutdown', '^ 3.5.3')
('npm:is-arrayish', '0.2.1')
('npm:@types/uuid', '10.0.0')
('npm:human-signals', '2.1.0')
('npm:@types/bluebird', '3.5.36')
('npm:@fastify/cors', '^ 9.0.1')
('npm:fill-range', '7.1.1')
('npm:fastify-graceful-shutdown', '3.5.3')
('npm:clean-yaml-object', '0.1.0')
('npm:@types/connect', '3.4.37')
('npm:npmlog', '5.0.1')
('npm:string-width', '4.2.3')
('npm:tough-cookie', '2.4.3')
('npm:@fastify/cookie', '8.3.0')
('npm:p-locate', '3.0.0')
('npm:is-stream', '3.0.0')
('npm:moment', '2.24.0')
('npm:cookie-signature', '1.0.6')
('npm:graceful-fs', '4.2.9')
('npm:picocolors', '1.0.0')
('npm:object-assign', '2.1.1')
('npm:minipass-fetch', '1.4.1')
('npm:es-iterator-helpers', '1.0.15')
('npm:http-errors', '1.7.3')
('npm:buffer-alloc', '1.2.0')
('npm:moo', '0.5.2')
('npm:statuses', '1.4.0')
('npm:@babel/helper-validator-identifier', '7.16.7')
