('nuget:OpenTelemetry.Exporter.Jaeger', '1.1.0')
('nuget:Microsoft.Extensions.Configuration.Binder', '5.0.0')
('nuget:Microsoft.NET.Test.Sdk', '16.11.0')
('nuget:Microsoft.EntityFrameworkCore.Design', '6.0.0-rc.1.21452.10')
('actions:github/codeql-action/init', '1.*.*')
('nuget:OpenTelemetry.Instrumentation.AspNetCore', '1.0.0-rc7')
('nuget:coverlet.collector', '3.1.0')
('actions:github/codeql-action/analyze', '1.*.*')
('nuget:Microsoft.Extensions.ApiDescription.Client', '6.0.0-rc.1.21452.15')
('nuget:Serilog.Enrichers.Span', '1.4.0')
('nuget:HotChocolate.AspNetCore', '12.0.1')
('nuget:Meziantou.Framework.StronglyTypedId', '1.0.15')
('nuget:Microsoft.AspNetCore.Components.WebAssembly.DevServer', '5.0.10')
('nuget:xunit.runner.visualstudio', '2.4.3')
('nuget:Newtonsoft.Json', '13.0.1')
('nuget:Microsoft.EntityFrameworkCore', '6.0.0-preview.6.21352.1')
('nuget:MediatR.Extensions.Microsoft.DependencyInjection', '9.0.0')
('actions:actions/checkout', '2.*.*')
('nuget:MudBlazor', '5.1.5')
('nuget:AspNetCore.HealthChecks.SqlServer', '5.0.3')
('actions:actions/setup-dotnet', '1.*.*')
('nuget:StrawberryShake.CodeGeneration.CSharp.Analyzers', '12.0.1')
('nuget:Swashbuckle.AspNetCore', '6.2.2')
('nuget:System.Net.Http.Json', '5.0.0')
('nuget:StrawberryShake.Transport.Http', '12.0.1')
('com.github.OpenCodeFoundation/eSchool', '')
('nuget:Microsoft.AspNetCore.Mvc.Testing', '6.0.0-rc.1.21452.15')
('actions:actions/checkout', '1.*.*')
('nuget:AspNetCore.HealthChecks.UI', '5.0.1')
('nuget:Serilog.Sinks.Seq', '5.0.1')
('nuget:Microsoft.Extensions.Http', '5.0.0')
('actions:azure/docker-login', '1.*.*')
('nuget:Microsoft.AspNetCore.Components.WebAssembly', '5.0.10')
('nuget:Microsoft.AspNetCore.Components.WebAssembly.Server', '5.0.10')
('nuget:AspNetCore.HealthChecks.UI.SqlServer.Storage', '5.0.1')
('nuget:Microsoft.EntityFrameworkCore.SqlServer', '6.0.0-preview.6.21352.1')
('nuget:OpenTelemetry.Instrumentation.SqlClient', '1.0.0-rc7')
('nuget:FluentValidation.AspNetCore', '10.3.3')
('actions:github/codeql-action/autobuild', '1.*.*')
('nuget:Microsoft.Extensions.DependencyInjection', '5.0.2')
('nuget:OpenTelemetry.Extensions.Hosting', '1.0.0-rc7')
('nuget:AspNetCore.HealthChecks.UI.Client', '5.0.1')
('nuget:NSwag.ApiDescription.Client', '13.13.2')
('nuget:Serilog.AspNetCore', '4.1.0')
('nuget:Polly', '7.2.2')
('nuget:OpenTelemetry.Instrumentation.Http', '1.0.0-rc9.14')
('nuget:xunit', '2.4.1')
('nuget:MediatR', '9.0.0')
