('npm:dom-serializer', '0.1.1')
('npm:rbush', '2.0.2')
('npm:domexception', '2.0.1')
('npm:postcss-load-config', '2.1.0')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:babylon', '6.18.0')
('npm:pkg-dir', '1.0.0')
('npm:jest-resolve-dependencies', '24.9.0')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:chrome-trace-event', '1.0.2')
('npm:@types/testing-library__dom', '7.0.2')
('npm:minipass', '3.1.1')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:bonjour', '3.5.0')
('npm:extend', '3.0.2')
('npm:@turf/rhumb-bearing', '5.1.5')
('npm:binary-extensions', '2.0.0')
('npm:@babel/plugin-transform-literals', '7.8.3')
('npm:@babel/helper-function-name', '7.8.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:@babel/template', '7.8.6')
('npm:depd', '2.0.0')
('npm:shallow-clone', '0.1.2')
('npm:data-urls', '2.0.0')
('npm:tiny-invariant', '1.1.0')
('npm:evp_bytestokey', '1.0.3')
('npm:cross-spawn', '7.0.1')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:@typescript-eslint/parser', '2.24.0')
('npm:workbox-strategies', '4.3.1')
('npm:object-is', '1.0.2')
('npm:semver', '6.3.0')
('npm:ms', '2.0.0')
('npm:inquirer', '7.0.4')
('npm:for-in', '1.0.2')
('npm:util.promisify', '1.0.0')
('npm:min-indent', '1.0.0')
('npm:@turf/transform-rotate', '5.1.5')
('npm:@babel/plugin-transform-spread', '7.8.3')
('npm:loader-utils', '1.4.0')
('npm:@turf/center-median', '5.1.5')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
