('npm:@babel/helper-module-transforms', '7.12.1')
('npm:regjsparser', '0.6.6')
('npm:path-to-regexp', '6.2.0')
('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('npm:mute-stream', '0.0.8')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:domexception', '2.0.1')
('npm:typescript', '~ 3.9.7')
('npm:write-file-atomic', '3.0.3')
('npm:run-async', '2.4.1')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:mockiavelli', '1.0.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:@babel/plugin-syntax-top-level-await', '7.12.1')
('npm:jest-message-util', '26.6.2')
('npm:wrappy', '1.0.2')
('npm:@grpc/grpc-js', '0.6.18')
('npm:@babel/plugin-transform-destructuring', '7.12.1')
('npm:uri-js', '4.4.1')
('npm:escodegen', '1.14.3')
('npm:karma-jasmine', '~ 3.3.0')
('npm:string_decoder', '1.3.0')
('npm:emittery', '0.7.2')
('npm:update-notifier', '4.1.3')
('npm:inquirer', '7.3.3')
('npm:@babel/helper-simple-access', '7.12.1')
('npm:anymatch', '2.0.0')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('npm:read-package-json', '2.1.2')
('npm:http-parser-js', '0.5.3')
('npm:through', '2.3.8')
('npm:@types/node', '14.14.22')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:prompts', '2.4.0')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.12.1')
('npm:image-ssim', '0.2.0')
('npm:escape-string-regexp', '2.0.0')
('npm:type-fest', '0.6.0')
('npm:@protobufjs/eventemitter', '1.1.0')
('npm:cli-table3', '0.6.0')
('npm:json-buffer', '3.0.0')
('npm:canonicalize', '1.0.5')
('npm:eslint', '^ 7.7.0')
('npm:strip-ansi', '5.2.0')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:cli-width', '3.0.0')
('npm:ini', '1.3.7')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:@babel/helper-module-imports', '7.12.5')
('npm:make-dir', '2.1.0')
('npm:is-extendable', '0.1.1')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:extend-shallow', '3.0.2')
('npm:async-limiter', '1.0.1')
('npm:@koa/router', '^ 9.3.1')
('npm:@types/babel__traverse', '7.11.0')
('npm:asap', '2.0.6')
('npm:@babel/helper-create-class-features-plugin', '7.12.1')
('npm:class-utils', '0.3.6')
('npm:strip-json-comments', '2.0.1')
('npm:package-json', '6.5.0')
('npm:@babel/preset-modules', '0.1.4')
('npm:long', '4.0.0')
('npm:acorn', '7.4.1')
('npm:to-regex', '3.0.2')
('npm:terminal-link', '2.1.1')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:har-schema', '2.0.0')
('npm:@cnakazawa/watch', '1.0.4')
('npm:jest-util', '26.6.2')
('npm:arr-flatten', '1.1.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.1')
('npm:whatwg-mimetype', '2.3.0')
('npm:data-urls', '2.0.0')
('npm:@angular/compiler', '~ 10.0.5')
('npm:define-property', '2.0.2')
('npm:timed-out', '4.0.1')
('npm:parse-json', '5.2.0')
('npm:rollup-plugin-svelte', '^ 5.0.3')
('npm:abab', '2.0.5')
('npm:color-name', '1.1.4')
('npm:cssom', '0.4.4')
('npm:deep-extend', '0.6.0')
('npm:@babel/plugin-transform-function-name', '7.12.1')
('npm:intl-messageformat', '4.4.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:is-path-inside', '3.0.2')
('npm:which', '1.3.1')
('npm:intl-messageformat-parser', '1.8.1')
('npm:@babel/types', '7.12.12')
('npm:ms', '2.0.0')
('npm:istanbul-lib-instrument', '4.0.3')
('npm:string-width', '3.1.0')
('npm:@babel/preset-env', '7.12.11')
('npm:clone', '1.0.4')
('npm:for-in', '1.0.2')
('npm:aws4', '1.11.0')
('npm:lodash', '4.17.20')
('npm:@babel/plugin-transform-block-scoped-functions', '7.12.1')
('npm:jest-haste-map', '26.6.2')
('npm:@jest/console', '26.6.2')
('npm:@angular/forms', '~ 10.0.5')
('npm:@babel/plugin-transform-reserved-words', '7.12.1')
('npm:clone', '2.1.2')
('npm:unicode-match-property-ecmascript', '1.0.4')
('npm:iconv-lite', '0.4.24')
('npm:to-regex-range', '2.1.1')
('npm:repeat-string', '1.6.1')
('npm:ci-info', '2.0.0')
('npm:global-dirs', '2.1.0')
('npm:deepmerge', '4.2.2')
('npm:term-size', '2.2.1')
('npm:agent-base', '6.0.2')
('npm:ansi-escapes', '4.3.1')
('npm:unset-value', '1.0.0')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:jpeg-js', '0.4.3')
('npm:normalize-path', '3.0.0')
('npm:object-inspect', '1.9.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:@babel/plugin-transform-modules-systemjs', '7.12.1')
('npm:arrify', '1.0.1')
('npm:is-docker', '2.1.1')
('npm:is-accessor-descriptor', '1.0.0')
('npm:preact', '^ 10.4.8')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:source-map', '0.7.3')
('npm:is-descriptor', '0.1.6')
('npm:psl', '1.8.0')
('npm:strip-eof', '1.0.0')
('npm:is-interactive', '1.0.0')
('npm:@types/yargs', '15.0.12')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.12.1')
('npm:qiankun', '^ 2.0.16')
('npm:once', '1.4.0')
('npm:node-releases', '1.1.70')
('npm:util-promisify', '2.1.0')
('npm:ansi-align', '3.0.0')
('npm:natural-compare', '1.4.0')
('npm:babel-plugin-root-import', '^ 6.5.0')
('npm:jasmine-core', '~ 3.5.0')
('npm:babel-jest', '^ 26.6.3')
('npm:@babel/runtime', '^ 7.9.6')
('npm:sprintf-js', '1.0.3')
('npm:buffer-from', '1.1.1')
('npm:execa', '4.1.0')
('npm:stack-utils', '2.0.3')
('npm:strip-ansi', '6.0.0')
('npm:pirates', '4.0.1')
('npm:mimic-response', '1.0.1')
('npm:@types/yauzl', '2.9.1')
('npm:cookiejar', '2.1.2')
('npm:lowercase-keys', '2.0.0')
('npm:hdr-histogram-js', '2.0.1')
('npm:chalk', '2.4.2')
('npm:@assemblyscript/loader', '^ 0.17.4')
('npm:path-key', '2.0.1')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:tough-cookie', '2.5.0')
('npm:@babel/helper-explode-assignable-expression', '7.12.1')
('npm:caniuse-lite', '1.0.30001179')
('npm:@babel/plugin-proposal-export-namespace-from', '7.12.1')
('npm:lerna', '^ 3.22.1')
('npm:xml-name-validator', '3.0.0')
('npm:@jest/fake-timers', '26.6.2')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:defaults', '1.0.3')
('npm:snapdragon-util', '3.0.1')
('npm:type-detect', '4.0.8')
('npm:read-pkg-up', '7.0.1')
('npm:http-cache-semantics', '4.1.0')
('npm:cli-spinners', '2.5.0')
('npm:express', '^ 4.17.1')
('npm:parcel-bundler', '^ 1.12.4')
('npm:snapdragon-node', '2.1.1')
('npm:get-stream', '5.2.0')
('npm:protobufjs', '6.10.2')
('npm:@babel/plugin-proposal-dynamic-import', '7.12.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:ts-node', '~ 8.3.0')
('npm:unique-string', '2.0.0')
('npm:tough-cookie', '3.0.1')
('npm:is-generator-fn', '2.1.0')
('npm:istanbul-lib-report', '3.0.0')
('npm:xmlchars', '2.2.0')
('npm:lru-cache', '6.0.0')
('npm:jest-resolve-dependencies', '26.6.3')
('npm:form-data', '3.0.0')
('npm:readable-stream', '3.6.0')
('npm:browserslist', '4.16.1')
('npm:single-spa-angular', '^ 4.3.1')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:autocannon', '7.0.3')
('npm:@babel/plugin-proposal-async-generator-functions', '7.12.12')
('npm:esutils', '2.0.3')
('npm:rsvp', '4.8.5')
('npm:retimer', '2.0.0')
('npm:pretty-format', '26.6.2')
('npm:chrome-launcher', '0.13.4')
('npm:ws', '7.4.2')
('npm:has-value', '1.0.0')
('npm:makeerror', '1.0.11')
('npm:to-readable-stream', '1.0.0')
('npm:webidl-conversions', '5.0.0')
('npm:source-map-support', '0.5.19')
('npm:fb-watchman', '2.0.1')
('npm:normalize-path', '2.1.1')
('npm:yargs-parser', '20.2.4')
('npm:resolve-cwd', '3.0.0')
('npm:performance-now', '2.1.0')
('npm:capture-exit', '2.0.0')
('npm:node-notifier', '8.0.1')
('npm:diff', '3.5.0')
('npm:oauth-sign', '0.9.0')
('npm:@babel/helper-validator-option', '7.12.11')
('npm:@babel/plugin-proposal-optional-chaining', '7.12.7')
('npm:object.pick', '1.3.0')
('npm:@babel/helper-hoist-variables', '7.10.4')
('npm:mime-types', '2.1.28')
('npm:object.getownpropertydescriptors', '2.1.1')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:arr-diff', '4.0.0')
('npm:is-windows', '1.0.2')
('npm:assemblyscript', '^ 0.17.2')
('npm:function-bind', '1.1.1')
('npm:@rescripts/cli', '^ 0.0.14')
('npm:homedir-polyfill', '1.0.3')
('npm:arr-union', '3.1.0')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:colors', '1.4.0')
('npm:lodash.get', '4.4.2')
('npm:imurmurhash', '0.1.4')
('npm:cssom', '0.3.8')
('npm:@babel/traverse', '7.12.12')
('npm:cacheable-request', '6.1.0')
('npm:@babel/plugin-transform-parameters', '7.12.1')
('npm:path-exists', '4.0.0')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:is-wsl', '1.1.0')
('npm:@angular-devkit/build-angular', '~ 0.1000.4')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:is-installed-globally', '0.3.2')
('npm:exec-sh', '0.3.4')
('npm:pascalcase', '0.1.1')
('npm:@types/node', '10.17.51')
('npm:minimatch', '3.0.4')
('npm:@types/long', '4.0.1')
('npm:collect-v8-coverage', '1.0.1')
('npm:make-dir', '3.1.0')
('npm:@bcoe/v8-coverage', '0.2.3')
('npm:optionator', '0.8.3')
('npm:md5', '2.3.0')
('npm:growly', '1.3.0')
('npm:boxen', '4.2.0')
