('npm:@types/retry', '0.12.0')
('npm:selfsigned', '2.1.1')
('npm:postcss-value-parser', '4.1.0')
('composer:symfony/event-dispatcher', '6.2.5')
('npm:sass', '1.58.3')
('npm:balanced-match', '1.0.0')
('npm:css-tree', '1.1.3')
('composer:sebastian/resource-operations', '3.0.3')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:buffer-xor', '1.0.3')
('npm:gzip-size', '5.1.1')
('npm:@babel/helper-regex', '7.10.5')
('npm:@jridgewell/gen-mapping', '0.3.2')
('npm:htmlparser2', '4.1.0')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:update-browserslist-db', '1.0.10')
('npm:string_decoder', '1.3.0')
('npm:@babel/plugin-proposal-optional-catch-binding', '7.18.6')
('npm:randombytes', '2.1.0')
('npm:normalize-url', '6.1.0')
('npm:bytes', '3.1.2')
('npm:@babel/helper-define-polyfill-provider', '0.3.3')
('npm:@webassemblyjs/wasm-gen', '1.11.1')
('npm:@webpack-cli/serve', '1.7.0')
('npm:bytes', '3.0.0')
('npm:cookie', '0.4.0')
('composer:sebastian/diff', '4.0.4')
('composer:pdepend/pdepend', '2.12.1')
('npm:postcss-modules-values', '4.0.0')
('npm:escape-html', '1.0.3')
('npm:vue', '2.6.12')
('composer:symfony/mailer', '6.2.5')
('npm:chrome-trace-event', '1.0.2')
('npm:json-schema-traverse', '0.4.1')
('npm:@types/http-proxy', '1.17.9')
('npm:vue-style-loader', '4.1.3')
('composer:symfony/error-handler', '6.2.5')
('npm:postcss-loader', '6.2.1')
('npm:@babel/plugin-transform-for-of', '7.21.0')
('npm:@babel/helper-explode-assignable-expression', '7.18.6')
('npm:postcss-discard-empty', '5.1.1')
('composer:ezyang/htmlpurifier', '4.16.0')
('npm:encodeurl', '1.0.2')
('composer:doctrine/migrations', '3.4.2')
('npm:@babel/preset-env', '7.20.2')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:amdefine', '1.0.1')
('npm:regex-parser', '2.2.7')
('npm:rimraf', '3.0.2')
('npm:lodash.defaults', '4.2.0')
('npm:to-arraybuffer', '1.0.1')
('npm:@types/imagemin-mozjpeg', '8.0.1')
('npm:stream-http', '2.8.3')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:async-limiter', '1.0.1')
('npm:@babel/plugin-transform-computed-properties', '7.20.7')
('npm:style-loader', '2.0.0')
('npm:depd', '2.0.0')
('composer:sebastian/exporter', '4.0.5')
('npm:thunky', '1.1.0')
('npm:select-hose', '2.0.0')
('npm:@babel/plugin-proposal-dynamic-import', '7.18.6')
('npm:ripemd160', '2.0.1')
('npm:acorn', '7.4.1')
('npm:@hapi/hoek', '8.5.1')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('composer:symfony/polyfill-ctype', '1.27.0')
('npm:events', '3.2.0')
('npm:tslib', '1.13.0')
('composer:league/tactician-container', '2.0.0')
('npm:@nodelib/fs.stat', '2.0.5')
('composer:doctrine/collections', '1.8.0')
('npm:setprototypeof', '1.1.0')
('npm:parse-json', '5.2.0')
('npm:fs-extra', '10.1.0')
('npm:color-name', '1.1.4')
('npm:svgo', '2.8.0')
('npm:@babel/helper-simple-access', '7.20.2')
('npm:fastq', '1.15.0')
('composer:sebastian/code-unit', '1.0.8')
('npm:@discoveryjs/json-ext', '0.5.7')
('composer:laracasts/utilities', '3.2.2')
('npm:websocket-driver', '0.6.5')
('composer:laravel/framework', '9.51.0')
('npm:babel-plugin-polyfill-corejs2', '0.3.3')
('composer:fakerphp/faker', '1.21.0')
('composer:guzzlehttp/uri-template', '1.0.1')
('npm:lodash.defaults', '3.1.2')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:@types/body-parser', '1.19.2')
('npm:yallist', '3.1.1')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:anymatch', '3.1.3')
('npm:@babel/helper-validator-option', '7.21.0')
('composer:willdurand/geocoder', '4.6.0')
('npm:http-proxy-middleware', '2.0.6')
('npm:domutils', '2.8.0')
('npm:get-stream', '6.0.1')
('npm:regenerator-transform', '0.15.1')
('npm:import-fresh', '3.3.0')
('composer:sebastian/cli-parser', '1.0.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:@babel/plugin-syntax-import-assertions', '7.20.0')
('composer:league/tactician-logger', '0.10.0')
('npm:mini-css-extract-plugin', '1.6.2')
('npm:wbuf', '1.7.2')
('npm:neo-async', '2.6.2')
('npm:universalify', '2.0.0')
('composer:http-interop/http-factory-guzzle', '1.2.0')
('composer:symfony/polyfill-intl-normalizer', '1.27.0')
('npm:browserify-sign', '4.0.4')
('npm:buffer', '4.9.1')
('npm:@babel/helper-hoist-variables', '7.18.6')
('npm:unicode-match-property-ecmascript', '1.0.4')
('composer:php-http/promise', '1.1.0')
('npm:iconv-lite', '0.4.24')
('npm:loader-runner', '4.3.0')
('composer:sebastian/complexity', '2.0.2')
('npm:@babel/helper-compilation-targets', '7.20.7')
('npm:bfj', '6.1.2')
('composer:brick/math', '0.10.2')
('npm:parent-module', '1.0.1')
