('npm:user-home', '2.0.0')
('npm:mkdirp', '1.0.3')
('npm:npm-run-path', '2.0.2')
('npm:is-property', '1.0.2')
('npm:validator', '10.11.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:is-my-json-valid', '2.20.0')
('npm:doctrine', '2.1.0')
('npm:lodash.assign', '4.0.4')
('npm:cookie', '0.4.0')
('npm:debug', '^ 2.6.3')
('npm:bytes', '3.0.0')
('npm:frameguard', '1.1.0')
('npm:format-util', '1.0.5')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:denque', '1.4.1')
('npm:bson', '1.0.9')
('npm:@kyleshockey/object-assign-deep', '0.4.2')
('npm:json-schema-traverse', '0.4.1')
('npm:callsites', '0.2.0')
('npm:eslint-config-loopback', '4.0.0')
('npm:escape-string-regexp', '2.0.0')
('npm:require_optional', '1.0.1')
('npm:write-file-atomic', '2.4.3')
('npm:encodeurl', '1.0.2')
('npm:extend', '3.0.2')
('npm:rx-lite', '3.1.2')
('npm:binary-extensions', '2.0.0')
('npm:httpreq', '0.4.24')
('npm:latest-version', '3.1.0')
('npm:pstree.remy', '1.1.7')
('npm:strong-error-handler', '1.2.1')
('npm:depd', '2.0.0')
('npm:strip-json-comments', '2.0.1')
('npm:file-entry-cache', '1.3.1')
('npm:JSONStream', '1.3.5')
('npm:dont-sniff-mimetype', '1.0.0')
('npm:@types/express-serve-static-core', '4.17.2')
('npm:chai', '^ 3.5.0')
('npm:har-schema', '2.0.0')
('npm:rimraf', '2.6.3')
('npm:timed-out', '4.0.1')
('npm:object-is', '1.0.2')
('npm:which', '1.3.1')
('npm:configstore', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:strong-remoting', '3.16.0')
('npm:request-promise', '^ 4.1.1')
('npm:traverse', '0.6.6')
('npm:interpret', '1.2.0')
('npm:loopback-boot', '2.28.0')
('npm:ono', '4.0.11')
('npm:caller-path', '0.1.0')
('npm:iconv-lite', '0.4.24')
('npm:cors', '2.8.5')
('npm:undefsafe', '2.0.3')
('npm:range-parser', '1.2.1')
('npm:commander', '2.20.3')
('npm:request', '2.88.2')
('npm:loopback-datasource-juggler', '3.35.0')
('npm:loopback-ds-timestamp-mixin', '3.4.1')
('npm:typedarray', '0.0.6')
('npm:node-fetch', '1.7.3')
('npm:normalize-path', '3.0.0')
('npm:lodash._basetostring', '4.12.0')
('npm:tunnel-agent', '0.6.0')
('npm:qs', '6.7.0')
('npm:rechoir', '0.6.2')
('npm:figures', '1.7.0')
('npm:sse', '0.0.8')
('npm:generate-object-property', '1.2.0')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:request', '^ 2.81.0')
('npm:encode-3986', '1.0.0')
('npm:strip-eof', '1.0.0')
('npm:once', '1.4.0')
('npm:natural-compare', '1.4.0')
('npm:buffer-from', '1.1.1')
('npm:sprintf-js', '1.0.3')
('npm:globalize', '1.4.2')
('npm:cookiejar', '2.1.2')
('npm:loopback-connector-mongodb', '1.18.1')
('npm:acorn-jsx', '3.0.1')
('npm:path-key', '2.0.1')
('npm:crypto-random-string', '1.0.0')
('npm:stable', '0.1.8')
('npm:tough-cookie', '2.5.0')
('npm:minimist', '0.0.8')
('npm:smtp-connection', '2.12.0')
('npm:word-count', '0.2.2')
('npm:duplexer', '0.0.4')
('npm:strong-globalize', '4.1.3')
('npm:concat-map', '0.0.1')
('npm:dirty-chai', '^ 1.2.2')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:@types/body-parser', '1.19.0')
('npm:ajv', '6.12.0')
('npm:express', '^ 4.17.1')
('npm:xml2js', '0.4.23')
('npm:widest-line', '2.0.1')
('npm:@types/mime', '2.0.1')
('npm:ini', '1.3.5')
('npm:compressible', '2.0.18')
('npm:accepts', '1.3.7')
('npm:mime', '1.6.0')
('npm:stream-serializer', '1.1.2')
('npm:esutils', '2.0.3')
('npm:array-flatten', '1.1.1')
('npm:os-locale', '4.0.0')
('npm:performance-now', '2.1.0')
('npm:is-ci', '1.2.1')
('npm:oauth-sign', '0.9.0')
('npm:fast-deep-equal', '3.1.1')
('npm:restore-cursor', '1.0.1')
('npm:function-bind', '1.1.1')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:imurmurhash', '0.1.4')
('npm:es6-set', '0.1.5')
('npm:is-callable', '1.1.5')
('npm:signal-exit', '3.0.2')
('npm:yamljs', '0.3.0')
('npm:proxy-addr', '2.0.6')
('npm:p-finally', '1.0.0')
('npm:strip-json-comments', '1.0.4')
('npm:helmet', '1.3.0')
('npm:minimatch', '3.0.4')
('npm:swagger-parser', '3.4.2')
('npm:optionator', '0.8.3')
('npm:multer', '^ 1.4.2')
('npm:loopback-datatype-geopoint', '1.0.0')
('npm:eslint', '3.19.0')
('npm:nodemailer-stub-transport', '1.1.0')
('npm:os-homedir', '1.0.2')
('npm:forwarded', '0.1.2')
('npm:toidentifier', '1.0.0')
('npm:es5-ext', '0.10.53')
('npm:ignore', '3.3.10')
('npm:btoa', '1.1.2')
('npm:touch', '3.1.0')
('npm:pify', '3.0.0')
('npm:lodash._basereduce', '3.0.2')
('npm:ecc-jsbn', '0.1.2')
('npm:brace-expansion', '1.1.11')
('npm:cli-boxes', '1.0.0')
('npm:msgpack-js', '0.3.0')
('npm:lodash.rest', '4.0.5')
('npm:mocha', '^ 3.2.0')
('npm:@types/range-parser', '1.2.3')
('npm:fs.realpath', '1.0.0')
('npm:esrecurse', '4.2.1')
('npm:utf8-bytes', '0.0.1')
('npm:pseudomap', '1.0.2')
('npm:package-json', '4.0.1')
('npm:deep-extend', '0.5.1')
('npm:nodemon', '^ 2.0.6')
('npm:readdirp', '3.3.0')
('npm:dom-serializer', '0.2.2')
('npm:globals', '9.18.0')
('npm:socket.io', '^ 2.3.0')
('npm:resolve', '1.15.1')
('npm:type', '1.2.0')
('npm:hide-powered-by', '1.0.0')
('npm:finalhandler', '0.4.1')
('npm:nsp', '2.8.1')
('npm:is-redirect', '1.0.0')
('npm:cookie-signature', '1.0.6')
('npm:nodemailer', '4.7.0')
('npm:is-obj', '1.0.1')
('npm:es6-iterator', '2.0.3')
('npm:esquery', '1.1.0')
('npm:httpntlm', '1.6.1')
('npm:require-uncached', '1.0.3')
('npm:fresh', '0.5.2')
('npm:express', '4.17.1')
('npm:content-security-policy-builder', '1.0.0')
('npm:@babel/runtime-corejs2', '7.8.4')
('npm:lodash-compat', '3.10.2')
('npm:slice-ansi', '0.0.4')
('npm:cors', '^ 2.8.5')
('npm:aws-sign2', '0.7.0')
('npm:http-errors', '1.7.2')
('npm:mime-types', '2.1.26')
('npm:duplex', '1.0.0')
('npm:shelljs', '0.7.8')
('npm:xmlcreate', '1.0.2')
('npm:doctrine', '1.5.0')
('npm:is-binary-path', '2.1.0')
('npm:argparse', '1.0.10')
('npm:domhandler', '2.4.2')
('npm:registry-url', '3.1.0')
