('npm:mongoose', '5.11.5')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:postcss-load-config', '2.1.0')
('npm:sort-keys', '2.0.0')
('npm:cliui', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:docsearch.js', '2.6.3')
('npm:babylon', '6.18.0')
('npm:update-notifier', '4.1.3')
('npm:hogan.js', '3.0.2')
('npm:configstore', '5.0.1')
('npm:env-variable', '0.0.5')
('npm:markdown-it-container', '2.0.0')
('npm:@babel/plugin-proposal-decorators', '7.12.1')
('npm:vue', '2.6.12')
('npm:chrome-trace-event', '1.0.2')
('npm:hsts', '2.2.0')
('npm:denque', '1.4.1')
('npm:constantinople', '3.0.2')
('npm:escape-string-regexp', '2.0.0')
('npm:bonjour', '3.5.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:@babel/plugin-transform-literals', '7.8.3')
('npm:html-tags', '2.0.0')
('npm:domelementtype', '2.1.0')
('npm:bootstrap-vue', '^ 2.4.0')
('npm:@babel/helper-create-class-features-plugin', '7.12.1')
('npm:dns-txt', '2.0.2')
('npm:@babel/template', '7.8.6')
('npm:@babel/preset-modules', '0.1.4')
('npm:dont-sniff-mimetype', '1.0.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.1')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:semver', '6.3.0')
('npm:ms', '2.0.0')
('npm:vue-loader', '15.9.5')
('npm:for-in', '1.0.2')
('npm:frameguard', '3.1.0')
('npm:vuex', '^ 3.0.1')
('npm:@babel/plugin-transform-block-scoped-functions', '7.12.1')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:std-env', '2.2.1')
('npm:@babel/plugin-transform-spread', '7.8.3')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:reduce', '1.0.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:@vue/cli-plugin-eslint', '^ 3.2.0')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:joi', '14.3.0')
('npm:is-descriptor', '0.1.6')
('npm:regexp-clone', '1.0.0')
('npm:global-dirs', '2.0.1')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:ansi-align', '3.0.0')
('npm:sprintf-js', '1.0.3')
('npm:strip-ansi', '6.0.0')
('npm:stylus', '0.54.8')
('npm:ieee754', '1.1.8')
('npm:@babel/helper-wrap-function', '7.8.3')
('npm:nth-check', '1.0.2')
('npm:p-map', '2.1.0')
('npm:crypto-random-string', '1.0.0')
('npm:stable', '0.1.8')
('npm:validator', '10.9.0')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:colornames', '1.1.1')
('npm:yargs', '3.10.0')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:winston-transport', '4.3.0')
('npm:source-map-support', '0.5.19')
('npm:browserify-rsa', '4.0.1')
('npm:array-flatten', '1.1.1')
('npm:normalize-path', '2.1.1')
('npm:bcrypt-nodejs', '0.0.3')
('npm:oauth-sign', '0.9.0')
('npm:fast-deep-equal', '3.1.1')
('npm:querystringify', '2.1.1')
('npm:object.getownpropertydescriptors', '2.1.1')
('npm:run-queue', '1.0.3')
('npm:loglevel', '1.6.8')
('npm:chokidar', '1.7.0')
('npm:hmac-drbg', '1.0.1')
('npm:debug', '2.6.9')
('npm:babel-plugin-transform-es2015-modules-systemjs', '6.24.1')
('npm:vue-recaptcha', '^ 1.1.1')
('npm:signal-exit', '3.0.2')
('npm:expand-brackets', '0.1.5')
('npm:pupa', '2.0.1')
('npm:mime-db', '1.37.0')
('npm:@babel/plugin-transform-function-name', '7.8.3')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:make-dir', '3.1.0')
('npm:longest', '1.0.1')
('npm:luxon', '^ 1.23.0')
('npm:import-local', '2.0.0')
('npm:@fortawesome/free-solid-svg-icons', '^ 5.5.0')
('npm:string.prototype.trimstart', '1.0.3')
('npm:@babel/helper-get-function-arity', '7.12.10')
('npm:glob-base', '0.3.0')
('npm:@babel/plugin-transform-reserved-words', '7.8.3')
('npm:regjsparser', '0.6.4')
('npm:@vue/babel-helper-vue-jsx-merge-props', '1.2.1')
('npm:@babel/plugin-transform-typeof-symbol', '7.12.10')
('npm:ecc-jsbn', '0.1.2')
('npm:parseurl', '1.3.2')
('npm:hpkp', '2.0.0')
('npm:renderkid', '2.0.4')
('npm:y18n', '4.0.1')
('npm:hpack.js', '2.1.6')
('npm:chokidar', '2.1.8')
('npm:cookie-parser', '1.4.3')
('npm:globals', '9.18.0')
('npm:babel-plugin-transform-es2015-destructuring', '6.23.0')
('npm:http-proxy', '1.18.1')
('npm:is-arrayish', '0.2.1')
('npm:array-union', '1.0.2')
('npm:@babel/plugin-proposal-class-properties', '7.12.1')
('npm:call-bind', '1.0.0')
('npm:@babel/core', '7.9.0')
('npm:axios', '0.18.1')
('npm:@babel/helper-replace-supers', '7.8.6')
('npm:css-loader', '2.1.1')
('npm:tough-cookie', '2.4.3')
('npm:cookie-signature', '1.0.6')
('npm:pkg-dir', '3.0.0')
('npm:nodemailer', '4.7.0')
('npm:http-errors', '1.7.3')
('npm:pumpify', '1.5.1')
('npm:deepmerge', '1.5.2')
('npm:cssnano-util-get-match', '4.0.0')
('npm:statuses', '1.4.0')
('npm:@types/q', '1.5.4')
('npm:prepend-http', '2.0.0')
