('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:axios', '0.15.3')
('npm:@types/jasminewd2', '2.0.3')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:npm-run-path', '2.0.2')
('npm:is-property', '1.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:@webassemblyjs/validation', '1.4.3')
('npm:js-base64', '2.4.8')
('npm:cliui', '2.1.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:html-webpack-plugin', '3.2.0')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:style-loader', '0.21.0')
('npm:math-random', '1.0.1')
('npm:is-utf8', '0.2.1')
('npm:postcss-import', '11.1.0')
('npm:events', '1.1.1')
('npm:slack-node', '0.2.0')
('npm:asn1', '0.2.3')
('maven:org.springframework:spring-beans', '')
('npm:anymatch', '2.0.0')
('npm:rfdc', '1.1.2')
('maven:org.projectlombok:lombok-maven-plugin', '1.18.4.0')
('npm:bytes', '3.0.0')
('npm:webdriver-js-extender', '2.0.0')
('npm:webpack-dev-middleware', '3.1.3')
('maven:com.fasterxml.jackson.dataformat:jackson-dataformat-xml', '')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:istanbul-reports', '1.3.0')
('npm:with-callback', '1.0.2')
('maven:org.springframework:spring-context', '')
('maven:org.yaml:snakeyaml', '')
('npm:array-includes', '3.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('npm:pinkie-promise', '2.0.1')
('maven:de.adorsys.psd2:event-service-core', '14.10-SNAPSHOT')
('maven:org.springframework:spring-aop', '')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('maven:org.hibernate:hibernate-java8', '')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('maven:org.liquibase:liquibase-core', '')
('maven:org.skyscreamer:jsonassert', '')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:date-format', '1.2.0')
('npm:@angular/router', '6.1.4')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:httpreq', '0.4.24')
('npm:tslint', '5.9.1')
('npm:node-forge', '0.7.5')
('maven:de.adorsys.psd2:xs2a-core-consents', '14.10-SNAPSHOT')
('npm:ast-types', '0.11.5')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:netmask', '1.0.6')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('npm:@angular-devkit/build-angular', '0.6.8')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:keycloak-js', '4.2.1')
('maven:org.mapstruct:mapstruct', '1.4.1')
('maven:de.adorsys.psd2:json-reader', '14.10-SNAPSHOT')
('npm:select-hose', '2.0.0')
('npm:@angular/platform-browser-dynamic', '6.1.6')
('maven:org.springframework.boot:spring-boot-starter-data-mongodb', '2.7.13')
('maven:de.adorsys.psd2:event-service-aspsp-impl', '14.10-SNAPSHOT')
('npm:to-regex', '3.0.2')
('npm:karma-jasmine', '~ 1.1.1')
('npm:parseuri', '0.0.5')
('npm:cacache', '10.0.4')
('npm:@schematics/update', '0.6.8')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:har-schema', '2.0.0')
('maven:org.springframework.boot:spring-boot-devtools', '2.7.13')
('npm:source-map-loader', '0.2.4')
('npm:detect-node', '2.0.3')
('npm:are-we-there-yet', '1.1.5')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('maven:org.jacoco:jacoco-maven-plugin', '0.8.5')
('npm:qjobs', '1.2.0')
('maven:org.junit.jupiter:junit-jupiter', '')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:semver-dsl', '1.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:extend', '3.0.1')
('npm:stylus-loader', '3.0.2')
('npm:@webassemblyjs/leb128', '1.4.3')
