('npm:rbush', '2.0.2')
('npm:scss-tokenizer', '0.2.3')
('npm:videojs-hotkeys', '0.2.21')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:magic-string', '0.22.5')
('npm:sort-keys', '2.0.0')
('npm:cliui', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:lodash._reunescapedhtml', '2.4.1')
('npm:babylon', '6.18.0')
('npm:blueimp-file-upload', '8.9.0')
('npm:v8-compile-cache', '1.1.2')
('npm:pkg-dir', '1.0.0')
('npm:es-abstract', '1.13.0')
('composer:phpdocumentor/reflection-docblock', '3.1.1')
('composer:exiftool/exiftool', '11')
('npm:kdbush', '1.0.1')
('npm:tempfile', '0.1.3')
('composer:hoa/regex', '0.15.08.13')
('npm:postcss-calc', '5.3.1')
('npm:bonjour', '3.5.0')
('npm:cint', '8.2.1')
('npm:lodash.isfinite', '3.3.2')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:@turf/rhumb-bearing', '5.1.5')
('npm:uglifyjs-webpack-plugin', '0.4.6')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:parseuri', '0.0.5')
('npm:are-we-there-yet', '1.1.5')
('composer:alchemy/ghostscript', '0.4.0')
('npm:dev-ip', '1.0.1')
('npm:autoprefixer', '6.7.7')
('composer:doctrine/lexer', '1.0.1')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:shuffle-seed', '1.1.6')
('npm:leven', '2.1.0')
('npm:os-homedir', '1.0.1')
('npm:cacache', '11.3.2')
('npm:postcss-discard-unused', '2.2.3')
('npm:color-string', '0.3.0')
('npm:ms', '2.0.0')
('npm:for-in', '1.0.2')
('npm:individual', '2.0.0')
('npm:argsparser', '0.0.7')
('npm:minimist', '0.0.5')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('composer:nikic/php-parser', '1.4.1')
('npm:dom-serialize', '2.2.1')
('npm:@turf/transform-rotate', '5.1.5')
('npm:split', '0.2.10')
('npm:socket.io-client', '2.1.1')
('composer:hoa/router', '2.15.10.21')
('composer:twig/extensions', '1.4.1')
('npm:webpack-notifier', '1.6.0')
('npm:@turf/center-median', '5.1.5')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:through2', '0.5.1')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:tmp', '0.0.31')
('npm:@turf/transform-scale', '5.1.5')
('npm:array-each', '1.0.1')
('composer:paragonie/random_compat', '2.0.4')
('npm:is-descriptor', '0.1.6')
('composer:phpunit/php-text-template', '1.2.1')
('composer:phpunit/php-code-coverage', '2.2.4')
('npm:memory-fs', '0.4.1')
('npm:lolex', '2.7.0')
('npm:sprintf-js', '1.0.3')
('npm:check-error', '1.0.2')
('npm:find-cache-dir', '0.1.1')
('npm:crypto-random-string', '1.0.0')
('npm:@mapbox/geojson-rewind', '0.5.0')
('npm:spdx-correct', '3.1.0')
('npm:axios', '0.19.2')
('npm:json3', '3.3.2')
('npm:expand-range', '0.1.1')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:engine.io-parser', '1.3.2')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:static-eval', '2.0.2')
('npm:extract-text-webpack-plugin', '3.0.2')
('npm:snapdragon-node', '2.1.1')
('composer:symfony/polyfill-util', '1.3.0')
('composer:sebastian/global-state', '1.1.1')
('npm:array-differ', '1.0.0')
('npm:widest-line', '2.0.0')
('npm:babel-plugin-syntax-async-generators', '6.13.0')
('npm:object-component', '0.0.3')
('npm:postcss-zindex', '2.2.0')
('npm:yargs', '3.10.0')
('npm:tar-stream', '1.6.1')
('npm:cipher-base', '1.0.4')
('npm:gulp', '3.9.1')
('npm:humane-js', '3.2.2')
('composer:justinrainbow/json-schema', '2.0.3')
('npm:http-proxy-middleware', '0.19.1')
('npm:karma-webpack', '2.0.13')
('npm:lodash._reevaluate', '3.0.0')
('npm:faye-websocket', '0.11.1')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:supports-color', '4.5.0')
('npm:async', '1.5.2')
('npm:map-stream', '0.0.7')
('npm:oauth-sign', '0.9.0')
('npm:querystringify', '2.1.1')
('npm:tar-fs', '1.16.3')
('npm:object-assign', '3.0.0')
('npm:esprima', '1.0.4')
('npm:run-queue', '1.0.3')
('npm:chokidar', '1.7.0')
('npm:hmac-drbg', '1.0.1')
('npm:homedir-polyfill', '1.0.3')
('npm:debug', '2.6.9')
('npm:babel-plugin-transform-es2015-modules-systemjs', '6.24.1')
('npm:@turf/simplify', '5.1.5')
('npm:sequencify', '0.0.7')
('npm:immutable', '3.8.2')
('npm:signal-exit', '3.0.2')
('npm:expand-brackets', '0.1.5')
('npm:node-sass', '4.14.0')
('npm:vendors', '1.0.2')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:libnpmconfig', '1.2.1')
('npm:longest', '1.0.1')
('npm:sass-graph', '2.2.4')
('npm:webpack-sources', '1.2.0')
('npm:uglify-js', '3.4.9')
('npm:@turf/nearest-point-to-line', '5.1.6')
('npm:glob-base', '0.3.0')
('npm:@turf/line-offset', '5.1.5')
('npm:ansi-styles', '1.1.0')
('composer:phpunit/php-file-iterator', '1.4.2')
('npm:node-gyp', '3.8.0')
('npm:loader-fs-cache', '1.0.3')
('npm:mapbox-gl-circle', '1.6.5')
('npm:ecc-jsbn', '0.1.2')
('npm:buffer-fill', '1.0.0')
('npm:combined-stream', '1.0.5')
('npm:parseurl', '1.3.2')
('npm:glob', '6.0.4')
('npm:browser-sync', '2.26.5')
('npm:hpack.js', '2.1.6')
('npm:decamelize-keys', '1.1.0')
('npm:deep-equal', '1.0.1')
('npm:globby', '6.1.0')
('npm:jquery-treeview', '1.4.2')
('npm:eslint-scope', '3.7.3')
('npm:globals', '9.18.0')
('npm:des.js', '1.0.0')
('npm:babel-plugin-transform-es2015-destructuring', '6.23.0')
('npm:normalize-css', '2.3.1')
('npm:libnpmpublish', '1.1.1')
('npm:@turf/planepoint', '5.1.5')
('npm:is-arrayish', '0.2.1')
('npm:pako', '1.0.6')
('npm:array-union', '1.0.2')
('npm:query-string', '4.3.4')
('npm:tough-cookie', '2.4.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('actions:docker/login-action', '2.*.*')
('npm:json-loader', '0.5.7')
('npm:object-keys', '1.0.12')
('npm:gulp-watch', '4.3.11')
('npm:falafel', '2.1.0')
('npm:@types/minimist', '1.2.0')
('npm:buffer-alloc', '1.2.0')
('npm:yarn', '0.27.5')
('npm:@turf/turf', '5.1.6')
('npm:pumpify', '1.5.1')
('npm:promise-retry', '1.1.1')
('npm:statuses', '1.4.0')
('npm:graceful-fs', '3.0.11')
('npm:get-stdin', '5.0.1')
('npm:minimist', '1.2.0')
('composer:mikey179/vfsstream', '1.6.4')
('npm:prepend-http', '2.0.0')
('npm:karma-mocha-reporter', '2.2.5')
('npm:aws-sign2', '0.7.0')
('npm:karma-sinon', '1.0.5')
('npm:glob', '7.1.1')
('npm:blueimp-file-upload', '9.15.0')
('npm:samsam', '1.1.3')
('composer:google/apiclient', '2.2.1')
('npm:doctrine', '1.5.0')
('npm:block-stream', '0.0.8')
('npm:globule', '1.2.1')
('npm:lcid', '1.0.0')
('npm:@turf/distance', '5.1.5')
('npm:vinyl-file', '2.0.0')
('npm:isarray', '2.0.1')
('npm:lodash.isobject', '2.4.1')
('npm:@mapbox/parse-mapbox-token', '0.2.0')
('npm:find-up', '3.0.0')
('npm:postcss-load-options', '1.2.0')
('npm:convert-source-map', '0.3.5')
('npm:component-emitter', '1.3.0')
('npm:acorn', '3.3.0')
('npm:tar', '4.4.8')
('npm:videojs-ie8', '1.1.2')
('npm:libnpmteam', '1.0.1')
('composer:alchemy/zippy', '0.3.5')
('npm:string_decoder', '1.1.1')
('npm:pbf', '3.2.0')
('npm:jquery-lazyload', '1.9.7')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:cssesc', '0.1.0')
('npm:is-number', '3.0.0')
('npm:@turf/bearing', '5.1.5')
('composer:hoa/iterator', '1.15.10.29')
('npm:true-case-path', '1.0.3')
('npm:rust-result', '1.0.0')
('npm:indent-string', '4.0.0')
('npm:@turf/unkink-polygon', '5.1.5')
('composer:elasticsearch/elasticsearch', '2.3.0')
('npm:ansi-styles', '3.2.1')
('npm:fstream-ignore', '1.0.5')
('npm:arraybuffer.slice', '0.0.6')
('composer:php-unoconv/php-unoconv', '0.3.1')
('npm:define-properties', '1.1.3')
('npm:jsesc', '1.3.0')
('npm:source-list-map', '2.0.0')
('npm:babel-preset-stage-2', '6.24.1')
('npm:babel-plugin-transform-regenerator', '6.26.0')
('npm:is-my-ip-valid', '1.0.0')
('npm:wide-align', '1.1.0')
('npm:regex-parser', '2.2.9')
('composer:phpseclib/phpseclib', '2.0.7')
('npm:duplexer2', '0.1.4')
('npm:mkdirp', '0.5.5')
('npm:dom-walk', '0.1.1')
('npm:fancy-log', '1.3.3')
('npm:cloneable-readable', '1.1.2')
('npm:plur', '2.1.2')
('npm:babel-polyfill', '6.26.0')
('npm:chokidar', '2.0.4')
('npm:flagged-respawn', '1.0.1')
('npm:query-string', '6.5.0')
('npm:blueimp-tmpl', '3.6.0')
('npm:uglify-js', '2.6.4')
('npm:jake', '8.1.1')
('npm:set-value', '2.0.1')
('npm:eventsource', '0.1.6')
('npm:es-to-primitive', '1.1.1')
('npm:optimize-css-assets-webpack-plugin', '3.2.0')
('npm:find-index', '0.1.1')
('npm:opener', '1.5.1')
('npm:fined', '1.2.0')
('npm:rimraf', '2.6.2')
('npm:mimic-fn', '1.2.0')
('npm:lineclip', '1.1.5')
('npm:babel-helper-explode-class', '6.24.1')
('npm:lodash._objecttypes', '2.4.1')
('npm:lock-verify', '2.1.0')
('npm:path-is-absolute', '1.0.0')
('composer:doctrine/orm', '2.5.6')
('npm:os-locale', '1.4.0')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:glob', '5.0.15')
('npm:opn', '5.3.0')
('npm:tildify', '1.2.0')
('npm:promzard', '0.3.0')
('npm:@turf/clean-coords', '5.1.5')
('npm:ansi-align', '2.0.0')
('npm:lolex', '1.3.2')
('npm:use', '3.1.1')
('npm:nodemon', '1.17.5')
('npm:socket.io-parser', '2.3.1')
('npm:is-cidr', '3.0.0')
('npm:log4js', '0.6.38')
('npm:npm', '3.10.10')
('npm:npm-cache-filename', '1.0.2')
('npm:lazy-property', '1.0.0')
('npm:babel-generator', '6.26.1')
('npm:squirejs', '0.2.1')
('composer:jms/translation-bundle', '')
('npm:better-assert', '1.0.2')
('npm:semver', '5.5.1')
('npm:node-alias', '1.0.4')
('npm:source-map', '0.5.7')
('npm:@babel/code-frame', '7.10.4')
('npm:ci-info', '1.6.0')
('npm:es5-shim', '4.5.13')
('npm:eventemitter3', '3.1.0')
('npm:tfunk', '3.1.0')
('npm:request', '2.79.0')
('npm:bytes', '3.1.0')
('npm:@turf/meta', '4.7.4')
('composer:sebastian/recursion-context', '1.0.2')
('npm:callsite', '1.0.0')
('npm:quickselect', '1.1.1')
('npm:graceful-fs', '4.1.11')
('npm:number-is-nan', '1.0.0')
('npm:replace-ext', '0.0.1')
('npm:insert-css', '0.0.0')
('composer:simple-bus/jms-serializer-bridge', '1.0.3')
('npm:underscore', '1.6.0')
('npm:svgo', '0.7.2')
('npm:inquirer', '3.3.0')
('npm:spawn-please', '0.3.0')
('npm:levn', '0.3.0')
('npm:set-value', '0.4.3')
('npm:debuglog', '1.0.1')
('npm:lodash._getnative', '3.9.1')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('composer:beberlei/assert', '2.7.3')
('npm:babel-plugin-transform-es2015-modules-amd', '6.24.1')
('npm:vlq', '0.2.3')
('npm:spdx-correct', '3.0.0')
('npm:@turf/clusters-dbscan', '5.1.5')
('npm:builtin-status-codes', '3.0.0')
('npm:pym.js', '1.3.2')
('npm:retry', '0.10.1')
('npm:min-indent', '1.0.1')
('npm:load-json-file', '2.0.0')
('npm:void-elements', '2.0.1')
('npm:ultron', '1.1.1')
('composer:box/spout', '2.7.3')
('actions:docker/login-action', '2')
('npm:js-yaml', '3.6.1')
('npm:@turf/helpers', '4.7.3')
('npm:capture-stack-trace', '1.0.1')
('npm:@turf/line-to-polygon', '5.1.5')
('npm:responselike', '1.0.2')
('npm:galleria', '1.5.7')
('npm:supports-color', '5.5.0')
('npm:shellwords', '0.1.1')
('npm:@turf/combine', '5.1.5')
('npm:pusher-js', '8.3.0')
('npm:babel-plugin-transform-async-generator-functions', '6.24.1')
('npm:pako', '0.2.9')
('npm:zxcvbn', '4.4.2')
('npm:es6-promise', '4.2.4')
('npm:tracejs', '0.1.8')
('npm:brfs', '1.6.1')
('npm:union-value', '1.0.1')
('npm:@turf/bbox-polygon', '4.7.3')
('npm:spdx-license-ids', '3.0.4')
('npm:cacheable-request', '2.1.4')
('npm:foreach', '2.0.5')
('npm:uniq', '1.0.1')
('npm:babel-plugin-check-es2015-constants', '6.22.0')
('npm:ordered-read-streams', '0.1.0')
('npm:inherits', '1.0.2')
('npm:liftoff', '2.5.0')
('npm:two-product', '1.0.2')
('npm:ip-regex', '2.1.0')
('npm:js-yaml', '3.13.1')
('npm:currently-unhandled', '0.4.1')
('npm:is-regex', '1.0.4')
('npm:strip-indent', '1.0.1')
('npm:yallist', '2.1.2')
('composer:hoa/math', '0.15.10.26')
('npm:irregular-plurals', '1.4.0')
('npm:fs-access', '1.0.1')
('npm:retry', '0.12.0')
('npm:@turf/circle', '5.1.5')
('npm:loose-envify', '1.4.0')
('npm:mime-db', '1.36.0')
('npm:minimist', '0.2.0')
('npm:mapbox-gl', '1.11.0')
('npm:@turf/truncate', '5.1.5')
('npm:read-pkg', '5.2.0')
('npm:p-locate', '2.0.0')
('npm:pkg-dir', '2.0.0')
('npm:@turf/line-slice', '5.1.5')
('composer:guzzlehttp/psr7', '1.4.2')
('npm:read-package-json', '2.0.4')
('npm:@turf/bbox-clip', '5.1.5')
('npm:delayed-stream', '1.0.0')
('npm:babel-plugin-transform-exponentiation-operator', '6.24.1')
('npm:brorand', '1.1.0')
('npm:request-progress', '2.0.1')
('actions:aws-actions/amazon-ecr-login', '1.*.*')
('npm:damerau-levenshtein', '1.0.4')
('npm:lodash.clonedeep', '4.5.0')
('npm:lodash._basevalues', '3.0.0')
('npm:parsejson', '0.0.3')
('npm:isobject', '3.0.1')
('npm:expand-braces', '0.1.2')
('npm:@turf/rhumb-distance', '5.1.5')
('composer:sebastian/comparator', '1.2.4')
('npm:fast-deep-equal', '1.1.0')
('npm:object-assign', '4.1.1')
('npm:is-absolute-url', '2.1.0')
('npm:from2', '1.3.0')
('npm:blueimp-load-image', '2.21.0')
('npm:babel-preset-stage-1', '6.24.1')
('npm:proto-list', '1.2.4')
('npm:config-chain', '1.1.12')
('npm:arr-diff', '2.0.0')
