('maven:com.aliyun:aliyun-java-sdk-mse', '3.0.41')
('maven:io.micrometer:micrometer-registry-prometheus', '')
('maven:org.graalvm.buildtools:native-maven-plugin', '')
('maven:com.baomidou:mybatis-plus-boot-starter', '3.5.3')
('maven:com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery', '2.1.0.RELEASE')
('maven:org.mybatis.generator:mybatis-generator-maven-plugin', '1.4.0')
('maven:com.aliyun.openservices:ons-client', '1.8.4')
('maven:io.opentelemetry.javaagent:opentelemetry-javaagent', '1.32.0')
('maven:io.springfox:springfox-swagger-ui', '2.9.2')
('maven:com.alibaba.cloud:toolkit-maven-plugin', '1.0.4')
('maven:com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-discovery', '')
('pip:gevent', '1.4.0')
('maven:org.apache.dubbo:dubbo-dependencies-bom', '2.7.8')
('maven:org.springframework.cloud:spring-cloud-dependencies', '2021.0.4')
('maven:io.micrometer:micrometer-registry-prometheus', '1.3.0')
('go:golang.org/x/crypto', '0.24.0')
('maven:org.springframework.boot:spring-boot-actuator', '')
('maven:org.springframework.plugin:spring-plugin-core', '2.0.0')
('maven:mysql:mysql-connector-java', '8.0.29')
('maven:io.springfox:springfox-swagger2', '2.9.2')
('maven:io.prometheus:simpleclient_hotspot', '0.9.0')
('maven:redis.clients:jedis', '3.6.2')
('maven:org.springframework.boot:spring-boot-maven-plugin', '1.5.20')
('maven:org.apache.rocketmq:rocketmq-client', '4.5.2')
('pip:markupsafe', '1.1.0')
('maven:org.springframework.boot:spring-boot-devtools', '')
('maven:com.alibaba:fastjson', '1.2.67')
('maven:mysql:mysql-connector-java', '8.0.16')
('maven:org.mybatis.spring.boot:mybatis-spring-boot-starter', '2.1.0')
('maven:org.apache.dubbo:dubbo', '2.7.18')
('maven:mysql:mysql-connector-java', '8.0.31')
('maven:io.swagger:swagger-annotations', '1.5.20')
('maven:org.springframework.boot:spring-boot-starter-aop', '')
('maven:org.springframework.boot:spring-boot-starter', '')
('go:golang.org/x/crypto', '0.23.0')
('go:google.golang.org/genproto', '0.0.0-20200526211855-cb27e3aa2013')
('maven:org.springframework.boot:spring-boot-dependencies', '2.0.6.RELEASE')
('pip:urllib3', '1.24.2')
('maven:org.projectlombok:lombok', '1.18.10')
('maven:org.springframework.boot:spring-boot-maven-plugin', '2.7.10')
('maven:org.apache.commons:commons-io', '1.3.2')
('go:github.com/golang/protobuf', '1.5.2')
('maven:org.graalvm.sdk:nativeimage', '24.1.0-instru-dev')
('maven:org.springframework:spring-core', '4.3.16')
('go:golang.org/x/sys', '0.20.0')
('maven:com.squareup.retrofit2:converter-gson', '2.3.0')
('maven:org.springframework.cloud:spring-cloud-dependencies', 'Edgware.SR2')
('maven:com.alibaba.cloud:spring-cloud-starter-alibaba-nacos-config', '2.1.1')
('maven:org.apache.commons:commons-lang3', '3.12.0')
('go:github.com/stretchr/testify', '1.9.0')
('go:golang.org/x/net', '0.23.0')
('maven:org.apache.dubbo:dubbo-registry-nacos', '2.7.7')
('go:golang.org/x/net', '0.21.0')
('maven:com.alibaba.cloud:commons-utils', '1.1.1-SNAPSHOT')
('maven:com.alibaba.edas.carshop:itemcenter-api', '1.0.0-SNAPSHOT')
('maven:org.projectlombok:lombok', '')
('maven:org.mybatis.spring.boot:mybatis-spring-boot-starter', '2.1.3')
('maven:org.graalvm.sdk:collections', '23.1.2')
