('npm:uvm', '2.1.1')
('com.github.uselagoon/lagoon', '')
('npm:yargs', '15.4.1')
('npm:ramda', '0.25.0')
('npm:yargs-parser', '20.2.9')
('npm:charset', '1.0.1')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('go:github.com/emicklei/go-restful/v3', '3.11.0')
('npm:@types/istanbul-reports', '3.0.4')
('npm:es-shim-unscopables', '1.0.2')
('composer:phpunit/php-file-iterator', '1.4.5')
('npm:escape-string-regexp', '2.0.0')
('composer:masterminds/html5', '2.7.6')
('npm:@types/node', '12.20.55')
('npm:extend', '3.0.2')
('composer:behat/mink', '1.9.0')
('composer:twig/twig', '1.44.7')
('npm:@isaacs/cliui', '8.0.2')
('npm:depd', '2.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:cors', '^ 2.8.4')
('npm:ejs', '^ 2.5.6')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-syntax-typescript', '7.23.3')
('npm:is-generator-function', '1.0.10')
('npm:errs', '0.3.2')
('npm:parse-url', '8.1.0')
('go:github.com/json-iterator/go', '1.1.12')
('npm:@babel/helper-function-name', '7.23.0')
('npm:jsprim', '2.0.2')
('composer:composer/installers', '1.12.0')
('npm:graphql', '^ 14.5.8')
('composer:composer/composer', '2.2.14')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:abort-controller', '3.0.0')
('npm:split', '0.3.3')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:get-stream', '6.0.1')
('npm:node-cache', '4.2.1')
('npm:jest-worker', '29.7.0')
('go:sigs.k8s.io/controller-runtime', '0.16.3')
('npm:request', '2.88.2')
('npm:@babel/parser', '7.24.0')
('composer:psr/http-factory', '1.0.1')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:uuid4', '1.1.4')
('go:github.com/machinebox/graphql', '0.2.3-0.20181106130121-3a9253180225')
('npm:mime-types', '2.1.35')
('npm:tsc-silent', '^ 1.2.2')
('composer:phpunit/php-text-template', '1.2.1')
('npm:collect-v8-coverage', '1.0.2')
('composer:phpunit/php-code-coverage', '2.2.4')
('npm:sprintf-js', '1.0.3')
('npm:httpreq', '1.1.1')
('npm:accepts', '1.3.8')
('npm:jose', '4.14.4')
('npm:pure-rand', '6.0.4')
('npm:jest-resolve', '29.7.0')
('npm:glob', '10.3.10')
('npm:bn.js', '4.12.0')
('composer:symfony/mime', '5.4.13')
('npm:@faker-js/faker', '^ 8.4.1')
('npm:isobject', '4.0.0')
('npm:walker', '1.0.8')
('npm:@josephg/resolvable', '1.0.1')
('npm:aws-sdk', '2.1576.0')
('go:golang.org/x/sys', '0.17.0')
('npm:@types/node', '20.11.26')
