('npm:@types/normalize-package-data', '2.4.1')
('npm:@typescript-eslint/visitor-keys', '5.10.1')
('npm:tmp', '0.2.1')
('npm:yargs', '15.4.1')
('npm:jsdom', '16.7.0')
('npm:@jest/transform', '26.6.2')
('npm:domexception', '2.0.1')
('npm:write-file-atomic', '3.0.3')
('npm:yargs-parser', '20.2.9')
('npm:ts-node', '8.10.2')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:is-property', '1.0.2')
('npm:shebang-command', '1.2.0')
('npm:winston', '3.3.3')
('npm:graceful-fs', '4.2.8')
('npm:jest-message-util', '26.6.2')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@types/node', '14.17.34')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:emittery', '0.7.2')
('npm:color', '3.2.1')
('npm:esquery', '1.4.0')
('npm:ansi-regex', '6.0.1')
('npm:tr46', '2.1.0')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:streamx', '2.15.5')
('npm:levn', '0.4.1')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:archiver-utils', '2.1.0')
('npm:escape-string-regexp', '2.0.0')
('npm:type-fest', '0.6.0')
('npm:@protobufjs/eventemitter', '1.1.0')
('npm:@typescript-eslint/scope-manager', '5.10.1')
('npm:cluster-key-slot', '1.1.0')
('npm:postgres-bytea', '1.0.0')
('npm:gauge', '4.0.0')
('npm:eslint-plugin-header', '3.1.1')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:encodeurl', '1.0.2')
('npm:stack-utils', '2.0.5')
('npm:tar-fs', '3.0.4')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:rimraf', '3.0.2')
('npm:lodash.defaults', '4.2.0')
('npm:nan', '2.18.0')
('npm:isarray', '0.0.1')
('npm:bitsyntax', '0.1.0')
('npm:grpc-tools', '1.11.2')
('npm:is-extendable', '0.1.1')
('npm:redis-commands', '1.7.0')
('npm:@balena/dockerignore', '1.0.2')
('npm:extend-shallow', '3.0.2')
('npm:istanbul-reports', '3.0.5')
('npm:class-utils', '0.3.6')
('npm:@babel/helper-function-name', '7.16.0')
('npm:long', '4.0.0')
('npm:acorn', '7.4.1')
('npm:to-regex', '3.0.2')
('npm:terminal-link', '2.1.1')
('npm:@cnakazawa/watch', '1.0.4')
('npm:jest-util', '26.6.2')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:arr-flatten', '1.1.0')
('npm:split2', '3.2.2')
('npm:type-fest', '0.21.3')
('npm:data-urls', '2.0.0')
('npm:whatwg-mimetype', '2.3.0')
('npm:define-property', '2.0.2')
('npm:parse-json', '5.2.0')
('npm:abab', '2.0.5')
('npm:color-name', '1.1.4')
('npm:v8-compile-cache', '2.3.0')
('npm:optionator', '0.9.1')
('npm:cssom', '0.4.4')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:@types/body-parser', '1.19.2')
('npm:mime-types', '2.1.34')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:istanbul-lib-instrument', '4.0.3')
('npm:which', '1.3.1')
('npm:sqlstring', '2.3.2')
('npm:for-in', '1.0.2')
('npm:get-stream', '6.0.1')
('npm:caniuse-lite', '1.0.30001283')
('npm:@babel/parser', '7.16.4')
('npm:makeerror', '1.0.12')
('npm:import-fresh', '3.3.0')
('npm:jest-haste-map', '26.6.2')
('npm:neo-async', '2.6.2')
('npm:@jest/console', '26.6.2')
('npm:electron-to-chromium', '1.4.3')
('npm:@types/babel__traverse', '7.14.2')
('npm:@types/ssh2', '1.11.18')
('npm:@types/google-protobuf', '3.15.5')
('npm:iconv-lite', '0.4.24')
('npm:is-core-module', '2.8.0')
('npm:@types/prettier', '2.4.2')
('npm:to-regex-range', '2.1.1')
('npm:range-parser', '1.2.1')
('npm:parent-module', '1.0.1')
('npm:ci-info', '2.0.0')
('npm:repeat-string', '1.6.1')
('npm:deepmerge', '4.2.2')
('npm:agent-base', '6.0.2')
('npm:unset-value', '1.0.0')
('actions:actions/cache', '2')
('npm:minipass', '3.1.5')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:@typescript-eslint/parser', '5.10.1')
('npm:path-parse', '1.0.7')
('npm:qs', '6.7.0')
('npm:bl', '2.2.1')
('npm:@types/node', '18.18.13')
('npm:is-arrayish', '0.3.2')
('npm:semver', '7.3.5')
('npm:sift', '13.5.2')
('npm:is-accessor-descriptor', '1.0.0')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:source-map', '0.7.3')
('npm:is-descriptor', '0.1.6')
('npm:protobufjs', '6.11.3')
('npm:lodash.camelcase', '4.3.0')
('npm:regexp-clone', '1.0.0')
('npm:psl', '1.8.0')
('npm:strip-eof', '1.0.0')
('npm:y18n', '5.0.8')
('npm:once', '1.4.0')
('npm:color-string', '1.6.0')
('npm:natural-compare', '1.4.0')
('npm:execa', '4.1.0')
('npm:sprintf-js', '1.0.3')
('npm:micromatch', '4.0.4')
('npm:acorn', '8.6.0')
('npm:pirates', '4.0.1')
('npm:lazystream', '1.0.1')
('npm:@types/express-serve-static-core', '4.17.25')
('npm:zip-stream', '4.1.1')
('npm:chalk', '2.4.2')
('npm:p-map', '2.1.0')
('npm:path-key', '2.0.1')
('npm:browserslist', '4.18.1')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:eslint-visitor-keys', '2.1.0')
('npm:xml-name-validator', '3.0.0')
('npm:@jest/fake-timers', '26.6.2')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:walker', '1.0.8')
('npm:fast-diff', '1.2.0')
('npm:optional-require', '1.0.3')
('npm:snapdragon-util', '3.0.1')
('npm:type-detect', '4.0.8')
('npm:read-pkg-up', '7.0.1')
('npm:resolve', '1.20.0')
('npm:@babel/helper-simple-access', '7.16.0')
('npm:snapdragon-node', '2.1.1')
('npm:debug', '4.3.4')
('npm:get-stream', '5.2.0')
('npm:glob', '7.2.0')
('npm:tslib', '2.3.1')
('com.github.apache/skywalking-nodejs', '')
('npm:html-encoding-sniffer', '2.0.1')
('npm:one-time', '1.0.0')
('npm:eslint-config-prettier', '8.3.0')
('actions:apache/skywalking-eyes/header', '501a28d2fb4a9b962661987e50cf0219631b32ff')
('npm:pg-protocol', '1.5.0')
('npm:@babel/helper-split-export-declaration', '7.16.0')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:istanbul-lib-report', '3.0.0')
('npm:xmlchars', '2.2.0')
('npm:lru-cache', '6.0.0')
('npm:jest-resolve-dependencies', '26.6.3')
('npm:readable-stream', '3.6.0')
('npm:accepts', '1.3.7')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:mime', '1.6.0')
('npm:@nodelib/fs.scandir', '2.1.5')
('npm:esutils', '2.0.3')
('npm:rsvp', '4.8.5')
('npm:file-entry-cache', '6.0.1')
('npm:pretty-format', '26.6.2')
('npm:has-value', '1.0.0')
('npm:@types/ioredis', '4.28.1')
('npm:webidl-conversions', '5.0.0')
('npm:fb-watchman', '2.0.1')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:sqlstring', '2.3.1')
('npm:resolve-cwd', '3.0.0')
('npm:capture-exit', '2.0.0')
('npm:delegates', '1.0.0')
('npm:yaml', '2.3.4')
('npm:globals', '13.12.0')
('npm:acorn-jsx', '5.3.2')
('npm:object.pick', '1.3.0')
('npm:listr2', '4.0.1')
('npm:crc-32', '1.2.2')
('npm:resolve-from', '4.0.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:arr-diff', '4.0.0')
('npm:npmlog', '6.0.0')
('npm:slice-ansi', '4.0.0')
('npm:is-windows', '1.0.2')
('npm:function-bind', '1.1.1')
('npm:@types/ssh2-streams', '0.1.12')
('npm:postgres-date', '1.0.7')
('npm:arr-union', '3.1.0')
('npm:object-inspect', '1.12.0')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:y18n', '4.0.3')
('npm:colors', '1.4.0')
('npm:mquery', '3.2.5')
('npm:imurmurhash', '0.1.4')
('npm:cssom', '0.3.8')
('npm:@types/graceful-fs', '4.1.5')
('npm:@tootallnate/once', '1.1.2')
('npm:node-fetch', '2.7.0')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:path-exists', '4.0.0')
('npm:p-finally', '1.0.0')
('npm:nopt', '5.0.0')
('npm:ignore', '5.2.0')
('npm:eslint-scope', '7.1.0')
('npm:acorn', '8.7.0')
('npm:pascalcase', '0.1.1')
('npm:minimatch', '3.0.4')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:collect-v8-coverage', '1.0.1')
('npm:make-dir', '3.1.0')
('npm:@bcoe/v8-coverage', '0.2.3')
('npm:optionator', '0.8.3')
('npm:seq-queue', '0.0.5')
('npm:minimatch', '5.1.6')
('npm:ms', '2.1.3')
('npm:growly', '1.3.0')
('npm:toidentifier', '1.0.0')
('npm:tar-stream', '2.2.0')
('npm:@types/express', '4.17.13')
('npm:@mapbox/node-pre-gyp', '1.0.7')
('npm:prelude-ls', '1.2.1')
('npm:prompts', '2.4.2')
('npm:source-map', '0.6.1')
('npm:istanbul-lib-instrument', '5.1.0')
('npm:@typescript-eslint/types', '5.10.1')
('npm:object-copy', '0.1.0')
('npm:string-width', '5.1.0')
('npm:node-int64', '0.4.0')
('npm:shebang-command', '2.0.0')
('npm:node-fetch', '2.6.7')
('npm:lint-staged', '12.3.2')
('npm:async-lock', '1.4.0')
('npm:grpc_tools_node_protoc_ts', '5.3.2')
('npm:require-main-filename', '2.0.0')
('npm:arg', '4.1.3')
('npm:pkg-dir', '4.2.0')
('npm:@types/stack-utils', '2.0.1')
('npm:brace-expansion', '1.1.11')
('npm:eslint-utils', '3.0.0')
('npm:diff-sequences', '26.6.2')
('npm:chownr', '2.0.0')
('npm:w3c-hr-time', '1.0.2')
('npm:@babel/core', '7.16.0')
('npm:@babel/plugin-syntax-numeric-separator', '7.10.4')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:handlebars', '4.7.7')
('npm:jest', '26.6.3')
('npm:pseudomap', '1.0.2')
('npm:sliced', '1.0.1')
('npm:chownr', '1.1.4')
('npm:emoji-regex', '8.0.0')
('npm:diff', '4.0.2')
('npm:ansi-regex', '5.0.1')
('npm:is-extendable', '1.0.1')
('npm:is-descriptor', '1.0.2')
('npm:aggregate-error', '3.1.0')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:lodash.merge', '4.6.2')
('npm:archiver', '5.3.2')
('npm:@babel/plugin-syntax-logical-assignment-operators', '7.10.4')
('npm:jest-jasmine2', '26.6.3')
('npm:string-width', '4.2.3')
('npm:@jest/test-result', '26.6.2')
('npm:@sinonjs/fake-timers', '6.0.1')
('npm:jest-validate', '26.6.2')
('npm:buffer-from', '1.1.2')
('npm:cookie-signature', '1.0.6')
('npm:picocolors', '1.0.0')
('npm:yaml', '1.10.2')
('npm:b4a', '1.6.4')
('npm:exit', '0.1.2')
('npm:postgres-interval', '1.2.0')
('npm:jest-runtime', '26.6.3')
('npm:babel-preset-jest', '26.6.2')
('npm:glob-parent', '6.0.2')
('npm:url-parse', '1.5.10')
('npm:to-object-path', '0.3.0')
('npm:@humanwhocodes/object-schema', '1.2.1')
('npm:exec-sh', '0.3.6')
('npm:@types/node', '^ 14.14.21')
('npm:fresh', '0.5.2')
('npm:@types/babel__template', '7.4.1')
('npm:expand-brackets', '2.1.4')
('npm:sane', '4.1.0')
('npm:express', '4.17.1')
('npm:@humanwhocodes/config-array', '0.9.3')
('npm:type-fest', '0.8.1')
('npm:buffer-more-ints', '1.0.0')
('npm:minimist', '1.2.5')
('npm:ws', '7.5.6')
('npm:@types/mime', '1.3.2')
('npm:@types/json5', '0.0.29')
('npm:slice-ansi', '3.0.0')
('npm:http-errors', '1.7.2')
('npm:ssh2', '1.14.0')
('npm:async', '3.2.2')
('npm:is-fullwidth-code-point', '4.0.0')
