('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:fs-extra', '6.0.1')
('npm:sort-keys', '2.0.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:rfdc', '1.1.2')
('npm:postcss-discard-duplicates', '4.0.0')
('npm:webpack-dev-middleware', '3.1.3')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:@xtuc/long', '4.2.1')
('npm:@webassemblyjs/ieee754', '1.7.6')
('npm:@babel/plugin-transform-unicode-regex', '7.0.0-beta.47')
('npm:bonjour', '3.5.0')
('maven:org.assertj:assertj-core', '3.15.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:date-format', '1.2.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:core-js', '2.6.5')
('npm:dns-txt', '2.0.2')
('npm:@babel/traverse', '7.3.4')
('npm:parseuri', '0.0.5')
('maven:org.mvel:mvel2', '2.4.0.Final')
('maven:pl.altkom.asc.lab.micronaut.poc:documents-service-api', '1.0')
('npm:detect-node', '2.0.3')
('npm:are-we-there-yet', '1.1.5')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:topo', '3.0.0')
('npm:ms', '2.0.0')
('npm:postcss-normalize-charset', '4.0.0')
('npm:for-in', '1.0.2')
('npm:@babel/plugin-proposal-decorators', '7.0.0-beta.47')
('npm:util.promisify', '1.0.0')
('npm:dom-serialize', '2.2.1')
('npm:socket.io-client', '2.1.1')
('npm:coa', '2.0.1')
('npm:streamroller', '0.7.0')
('npm:path-parse', '1.0.5')
('npm:eslint-loader', '2.1.0')
('npm:normalize-range', '0.1.2')
('npm:js-message', '1.0.5')
('npm:tunnel-agent', '0.6.0')
('npm:is-descriptor', '0.1.6')
('npm:@ngx-formly/material', '5.0.0-rc.9')
('npm:cssnano', '4.0.5')
('npm:memory-fs', '0.4.1')
('npm:array-reduce', '0.0.0')
('npm:arch', '2.1.1')
('npm:sprintf-js', '1.0.3')
('npm:clean-css', '4.2.1')
('npm:log4js', '3.0.6')
('npm:stable', '0.1.8')
('npm:spdx-correct', '3.1.0')
('npm:json3', '3.3.2')
('npm:lodash.mapvalues', '4.6.0')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:selfsigned', '1.10.3')
('npm:@babel/plugin-transform-block-scoped-functions', '7.0.0-beta.47')
('maven:com.fasterxml.jackson.module:jackson-module-kotlin', '')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:object-component', '0.0.3')
('npm:karma-coverage-istanbul-reporter', '2.0.5')
('npm:cipher-base', '1.0.4')
('npm:default-gateway', '2.7.2')
('npm:@angular/platform-browser', '7.2.7')
('npm:postcss-selector-parser', '3.1.1')
('npm:faye-websocket', '0.11.1')
('npm:normalize-path', '2.1.1')
('npm:browserify-rsa', '4.0.1')
('maven:io.micronaut.mongodb:micronaut-mongo-reactive', '')
('npm:async', '1.5.2')
('npm:filesize', '3.6.1')
('npm:oauth-sign', '0.9.0')
('maven:io.micronaut:micronaut-runtime', '')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:node-libs-browser', '2.2.0')
('npm:signal-exit', '3.0.2')
('npm:@webassemblyjs/wasm-parser', '1.7.6')
('npm:vendors', '1.0.2')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:cli-spinners', '1.3.1')
('npm:import-local', '2.0.0')
('npm:sass-graph', '2.2.4')
('npm:webpack-sources', '1.2.0')
('npm:uglify-js', '3.4.9')
('npm:glob-base', '0.3.0')
('npm:node-gyp', '3.8.0')
('npm:license-webpack-plugin', '2.0.2')
('npm:domhandler', '2.1.0')
('npm:ecc-jsbn', '0.1.2')
('npm:buffer-fill', '1.0.0')
('npm:lie', '3.3.0')
('npm:parseurl', '1.3.2')
('maven:org.apache.maven.plugins:maven-surefire-plugin', '2.22.2')
('npm:hpack.js', '2.1.6')
('npm:dependency-graph', '0.7.2')
('npm:postcss-calc', '6.0.1')
('npm:deep-equal', '1.0.1')
('npm:binary-extensions', '1.13.0')
('npm:globals', '9.18.0')
('npm:des.js', '1.0.0')
('npm:is-arrayish', '0.2.1')
('npm:pako', '1.0.6')
('npm:@angular/cdk', '7.3.3')
('npm:array-union', '1.0.2')
('npm:stylus', '0.54.5')
('maven:io.micronaut.data:micronaut-data-hibernate-jpa', '')
('npm:tough-cookie', '2.4.3')
('npm:@webassemblyjs/helper-fsm', '1.7.6')
('npm:cookie-signature', '1.0.6')
('npm:sourcemap-codec', '1.4.4')
('npm:object-keys', '1.0.12')
('npm:@babel/helper-function-name', '7.1.0')
('npm:buffer-alloc', '1.2.0')
('npm:nan', '2.10.0')
('npm:pumpify', '1.5.1')
('npm:deepmerge', '1.5.2')
('npm:cssnano-util-get-match', '4.0.0')
('npm:statuses', '1.4.0')
('maven:com.fasterxml.jackson.module:jackson-module-kotlin', '2.9.4.1')
('npm:minimist', '1.2.0')
('npm:prepend-http', '2.0.0')
('npm:aws-sign2', '0.7.0')
('npm:globule', '1.2.1')
('maven:io.micronaut.kafka:micronaut-kafka', '')
('npm:portfinder', '1.0.13')
('maven:io.micronaut:micronaut-validation', '')
('npm:lcid', '1.0.0')
('npm:color', '3.0.0')
('npm:string_decoder', '1.1.1')
('npm:cssesc', '0.1.0')
('npm:is-number', '3.0.0')
('npm:true-case-path', '1.0.3')
('npm:@babel/plugin-transform-template-literals', '7.0.0-beta.47')
('npm:ansi-styles', '3.2.1')
('npm:source-list-map', '2.0.0')
('npm:jsesc', '1.3.0')
('npm:protractor', '5.4.2')
('maven:org.jetbrains.kotlin:kotlin-reflect', '1.4.10')
('maven:io.micronaut:micronaut-inject', '')
('npm:object.values', '1.0.4')
('npm:chokidar', '2.0.4')
('npm:@babel/template', '7.0.0-beta.47')
('npm:codelyzer', '4.5.0')
('npm:@webassemblyjs/leb128', '1.5.13')
('npm:webpack-log', '2.0.0')
('npm:autoprefixer', '9.1.5')
('npm:eventsource', '0.1.6')
('npm:es-to-primitive', '1.1.1')
('npm:cssnano-util-same-parent', '4.0.0')
('npm:rimraf', '2.6.2')
('npm:mimic-fn', '1.2.0')
('npm:terser-webpack-plugin', '1.1.0')
('npm:@babel/helper-builder-binary-assignment-operator-visitor', '7.0.0-beta.47')
('npm:os-locale', '1.4.0')
('npm:@webassemblyjs/wasm-parser', '1.5.13')
('npm:querystringify', '2.0.0')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:opn', '5.3.0')
('npm:bluebird', '3.5.1')
('npm:tslint', '5.11.0')
('maven:ch.qos.logback:logback-classic', '1.2.3')
('npm:use', '3.1.1')
('npm:@vue/web-component-wrapper', '1.2.0')
('npm:babel-generator', '6.26.1')
('npm:better-assert', '1.0.2')
('npm:semver', '5.5.1')
('maven:org.elasticsearch.client:elasticsearch-rest-high-level-client', '6.3.2')
('npm:eventemitter3', '3.1.0')
('npm:@webassemblyjs/ast', '1.7.6')
('npm:callsite', '1.0.0')
('npm:graceful-fs', '4.1.11')
('npm:execa', '0.8.0')
('npm:inquirer', '3.3.0')
('npm:levn', '0.3.0')
('npm:@intervolga/optimize-cssnano-plugin', '1.0.6')
('npm:@types/q', '0.0.32')
('npm:@webassemblyjs/helper-api-error', '1.7.6')
('npm:npm-bundled', '1.0.3')
('npm:@babel/plugin-transform-modules-amd', '7.0.0-beta.47')
('npm:minimalistic-assert', '1.0.1')
('npm:@webassemblyjs/helper-module-context', '1.7.6')
('npm:progress', '2.0.0')
('npm:@babel/parser', '7.3.4')
('npm:spdx-correct', '3.0.0')
('npm:builtin-status-codes', '3.0.0')
('npm:retry', '0.10.1')
('npm:@babel/helper-call-delegate', '7.0.0-beta.47')
('npm:void-elements', '2.0.1')
('npm:ultron', '1.1.1')
('npm:@angular/material', '7.3.3')
('npm:responselike', '1.0.2')
('npm:supports-color', '5.5.0')
('npm:css-what', '2.1.0')
('npm:@babel/helper-remap-async-to-generator', '7.0.0-beta.47')
('maven:io.swagger.core.v3:swagger-annotations', '')
('npm:cacheable-request', '2.1.4')
('npm:foreach', '2.0.5')
('npm:url-parse', '1.4.3')
('npm:uniq', '1.0.1')
('npm:@babel/helper-optimise-call-expression', '7.0.0-beta.47')
('npm:ip-regex', '2.1.0')
('npm:currently-unhandled', '0.4.1')
('npm:is-regex', '1.0.4')
('npm:postcss-minify-selectors', '4.0.0')
('npm:strip-indent', '1.0.1')
('npm:yallist', '2.1.2')
('maven:org.apache.maven.plugins:maven-failsafe-plugin', '2.22.2')
('npm:fs-access', '1.0.1')
('npm:ssri', '5.3.0')
('npm:ci-info', '1.1.3')
('maven:pl.altkom.asc.lab.micronaut.poc:command-bus', '1.0')
('npm:@webassemblyjs/floating-point-hex-parser', '1.7.6')
