('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('npm:domexception', '2.0.1')
('npm:internal-slot', '1.0.3')
('npm:gl-heatmap2d', '1.1.1')
('npm:planar-dual', '1.0.2')
('npm:postcss-load-config', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:babylon', '6.18.0')
('npm:emittery', '0.7.2')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:@babel/plugin-proposal-decorators', '7.12.1')
('npm:is-root', '2.1.0')
('npm:chrome-trace-event', '1.0.2')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:bonjour', '3.5.0')
('npm:extend', '3.0.2')
('npm:@typescript-eslint/eslint-plugin', '4.15.0')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:@babel/preset-modules', '0.1.4')
('npm:immer', '8.0.1')
('npm:@babel/plugin-transform-block-scoping', '7.12.13')
('npm:is-finite', '1.1.0')
('npm:data-urls', '2.0.0')
('npm:@types/webpack-sources', '2.1.0')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:object-is', '1.0.2')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:tinycolor2', '1.4.2')
('npm:color-space', '1.16.0')
('npm:numeric', '1.2.6')
('npm:for-in', '1.0.2')
('npm:util.promisify', '1.0.0')
('npm:jest-haste-map', '26.6.2')
('npm:url-loader', '4.1.1')
('npm:universalify', '2.0.0')
('npm:min-indent', '1.0.0')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '5.4.0')
('npm:@types/source-list-map', '0.1.2')
('npm:validate.io-array', '1.0.6')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:normalize-range', '0.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:glsl-token-scope', '1.1.2')
('npm:array.prototype.flat', '1.2.4')
('npm:is-docker', '2.1.1')
('npm:is-firefox', '1.0.3')
('actions:actions/checkout', '2.*.*')
('npm:glsl-inject-defines', '1.0.3')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:workbox-expiration', '5.1.4')
('npm:glslify-deps', '1.3.1')
('npm:node-releases', '1.1.70')
('npm:bit-twiddle', '1.0.2')
('npm:sprintf-js', '1.0.3')
('npm:stack-utils', '2.0.3')
('npm:strip-ansi', '6.0.0')
('npm:@babel/plugin-transform-unicode-regex', '7.12.13')
('npm:nth-check', '1.0.2')
('npm:@babel/plugin-transform-react-pure-annotations', '7.12.1')
('npm:crypto-random-string', '1.0.0')
('npm:stable', '0.1.8')
('npm:gl-mat4', '1.2.0')
('npm:@mapbox/geojson-rewind', '0.5.0')
('npm:@babel/plugin-transform-modules-umd', '7.12.13')
('npm:parse-unit', '1.0.1')
('npm:element-size', '1.1.1')
('npm:semver', '7.3.2')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:protocol-buffers-schema', '3.5.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:normalize-svg-path', '0.1.0')
('npm:is-generator-fn', '2.1.0')
('npm:@nodelib/fs.stat', '2.0.4')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:source-map-support', '0.5.19')
('npm:named-urls', '2.0.0')
('npm:@babel/generator', '7.12.15')
('npm:oauth-sign', '0.9.0')
('npm:workbox-window', '5.1.4')
('npm:fast-deep-equal', '3.1.1')
('npm:object.getownpropertydescriptors', '2.1.1')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:react-refresh', '0.8.3')
('npm:eslint', '7.19.0')
('npm:p-finally', '1.0.0')
