('npm:yargs', '15.4.1')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:jest-docblock', '25.3.0')
('npm:buffer-xor', '1.0.3')
('npm:update-notifier', '4.1.3')
('npm:configstore', '5.0.1')
('npm:walker', '1.0.7')
('npm:path-to-regexp', '1.8.0')
('npm:denque', '1.4.1')
('npm:react-redux', '7.2.2')
('npm:extend', '3.0.2')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:@babel/helper-create-class-features-plugin', '7.12.1')
('npm:@babel/preset-modules', '0.1.4')
('npm:p-limit', '3.1.0')
('npm:are-we-there-yet', '1.1.5')
('npm:@babel/plugin-syntax-class-properties', '7.12.1')
('npm:@material-ui/icons', '4.11.2')
('npm:evp_bytestokey', '1.0.3')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:semver', '6.3.0')
('npm:abort-controller', '3.0.0')
('npm:for-in', '1.0.2')
('npm:@babel/plugin-transform-block-scoped-functions', '7.12.1')
('npm:stylis', '3.5.4')
('npm:diff-sequences', '25.2.6')
('npm:clsx', '1.1.1')
('npm:image-size', '0.6.3')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:is-docker', '2.1.1')
('npm:is-descriptor', '0.1.6')
('npm:regexp-clone', '1.0.0')
('npm:@material-ui/types', '5.1.0')
('npm:array-reduce', '0.0.0')
('npm:ansi-align', '3.0.0')
('npm:sprintf-js', '1.0.3')
('npm:jest-matcher-utils', '25.5.0')
('npm:strip-ansi', '6.0.0')
('npm:@babel/plugin-transform-react-pure-annotations', '7.12.1')
('npm:bplist-parser', '0.2.0')
('npm:sharp', '0.27.0')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:@babel/plugin-external-helpers', '7.12.1')
('npm:snapdragon-node', '2.1.1')
('npm:jss-plugin-global', '10.5.1')
('npm:is-generator-fn', '2.1.0')
('npm:multer', '1.4.2')
('npm:cipher-base', '1.0.4')
('npm:@babel/plugin-transform-react-jsx-development', '7.12.12')
('npm:source-map-support', '0.5.19')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:minipass', '2.9.0')
