('npm:@babel/plugin-transform-spread', '7.22.5')
('npm:graceful-fs', '4.2.8')
('npm:wrappy', '1.0.2')
('npm:@types/react-transition-group', '4.4.3')
('rubygems:jquery-ui-rails', '6.0.1')
('rubygems:bootsnap', '1.16.0')
('rubygems:devise_invitable', '2.0.9')
('rubygems:method_source', '1.0.0')
('npm:url-toolkit', '2.2.3')
('npm:@babel/helper-define-polyfill-provider', '0.4.2')
('npm:is-core-module', '2.7.0')
('rubygems:rspec-core', '3.12.1')
('npm:depd', '2.0.0')
('rubygems:suo', '0.4.0')
('npm:@babel/runtime', '7.24.1')
('npm:is-generator-function', '1.0.10')
('npm:@babel/helper-function-name', '7.23.0')
('rubygems:link_header', '0.0.8')
('rubygems:iconv', '1.0.8')
('rubygems:representable', '3.2.0')
('npm:resolve-from', '5.0.0')
('npm:@babel/plugin-transform-async-generator-functions', '7.22.10')
('npm:ms', '2.0.0')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:individual', '2.0.0')
('npm:resolve', '1.22.4')
('rubygems:jmespath', '1.6.2')
('npm:@babel/plugin-transform-classes', '7.22.6')
('npm:@babel/plugin-transform-block-scoping', '7.22.10')
('npm:jss', '10.10.0')
('rubygems:net-ssh', '7.0.1')
('npm:webpack-cli', '4.10.0')
('npm:@types/invariant', '2.2.35')
('npm:bluebird', '3.4.7')
('npm:normalize-path', '3.0.0')
('npm:@babel/plugin-transform-function-name', '7.22.5')
('npm:mime-types', '2.1.35')
('rubygems:rack-cors', '2.0.2')
('npm:@material-ui/types', '5.1.0')
('npm:@material-ui/icons', '4.2.1')
('npm:available-typed-arrays', '1.0.5')
('npm:webpack-assets-manifest', '5.1.0')
('npm:sprintf-js', '1.0.3')
('rubygems:htmlentities', '4.3.4')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-transform-reserved-words', '7.22.5')
('npm:html-webpack-plugin', '5.3.2')
('npm:isobject', '4.0.0')
('rubygems:rainbow', '3.1.1')
('npm:lop', '0.4.1')
('npm:postcss-modules-local-by-default', '4.0.3')
('npm:@babel/plugin-transform-modules-systemjs', '7.22.5')
('npm:tr46', '0.0.3')
('rubygems:dry-configurable', '1.0.1')
('rubygems:popper_js', '1.16.1')
('npm:cssesc', '3.0.0')
('npm:react-structural-metadata-editor', '2.0.0')
('npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression', '7.22.5')
('npm:is-function', '1.0.2')
('rubygems:aws-sdk-core', '3.171.0')
('npm:array-flatten', '1.1.1')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('rubygems:net-pop', '0.1.2')
('npm:domelementtype', '2.3.0')
('rubygems:rspec-support', '3.12.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:@types/json-schema', '7.0.9')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('rubygems:redis-rack', '2.1.4')
('rubygems:api-pagination', '5.0.0')
('npm:signal-exit', '3.0.2')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('rubygems:rack-test', '2.1.0')
('rubygems:rspec_junit_formatter', '0.6.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:webpack-dev-middleware', '5.3.4')
('rubygems:kaminari-core', '1.2.2')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:@types/express', '4.17.13')
('npm:shebang-command', '2.0.0')
('npm:lie', '3.3.0')
('rubygems:rdf-isomorphic', '3.2.1')
('npm:lodash', '4.17.4')
('npm:@babel/helper-create-class-features-plugin', '7.22.10')
('npm:hpack.js', '2.1.6')
('npm:@types/node', '16.10.2')
('rubygems:zk', '1.10.0')
('rubygems:net-protocol', '0.2.2')
('npm:mime-types', '2.1.33')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:@babel/template', '7.24.0')
('npm:array-union', '1.0.2')
('rubygems:hydra-access-controls', '12.1.0')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.6')
('npm:@babel/plugin-transform-member-expression-literals', '7.22.5')
('npm:cookie-signature', '1.0.6')
('npm:acorn', '8.10.0')
('npm:picocolors', '1.0.0')
('npm:acorn', '5.2.1')
('rubygems:bootstrap', '4.6.2')
('rubygems:dotenv-rails', '2.8.1')
('rubygems:ast', '2.4.2')
('rubygems:rspec-its', '1.3.0')
('npm:@babel/core', '7.22.10')
('npm:setprototypeof', '1.2.0')
('rubygems:rails-controller-testing', '1.0.5')
('rubygems:capistrano-rails', '1.6.3')
('npm:get-value', '3.0.1')
('npm:@types/json-schema', '7.0.12')
('rubygems:deprecation', '1.1.0')
('npm:execa', '5.1.1')
('rubygems:google-apis-drive_v3', '0.37.0')
('npm:is-arguments', '1.1.1')
('rubygems:pg', '1.5.3')
('npm:string_decoder', '1.1.1')
('npm:isomorphic-unfetch', '3.1.0')
('npm:lru-cache', '5.1.1')
('npm:@babel/parser', '7.22.10')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:rust-result', '1.0.0')
('npm:is-plain-obj', '3.0.0')
('npm:regenerator-runtime', '0.13.9')
('npm:ansi-styles', '3.2.1')
('npm:jszip', '3.10.1')
('npm:domhandler', '5.0.3')
('npm:brace-expansion', '1.1.8')
('npm:@babel/plugin-transform-react-pure-annotations', '7.14.5')
('rubygems:capistrano', '3.17.3')
('rubygems:raabro', '1.4.0')
('rubygems:netrc', '0.11.0')
('npm:@restart/hooks', '0.3.27')
('npm:raw-body', '2.5.1')
('npm:@babel/plugin-transform-private-methods', '7.22.5')
('npm:@babel/plugin-transform-block-scoped-functions', '7.22.5')
('rubygems:thor', '1.3.1')
('npm:@types/serve-static', '1.13.10')
('rubygems:shoulda-matchers', '5.3.0')
('npm:get-intrinsic', '1.1.1')
('rubygems:simplecov', '0.22.0')
('npm:ansi-html-community', '0.0.8')
('rubygems:dry-schema', '1.13.0')
('npm:esrecurse', '4.3.0')
('npm:domhandler', '4.2.2')
('npm:@rollup/pluginutils', '5.1.0')
('npm:chalk', '4.1.2')
('npm:rimraf', '2.6.2')
('npm:@jridgewell/gen-mapping', '0.3.3')
('npm:acorn-import-assertions', '1.9.0')
('npm:convert-source-map', '1.8.0')
('rubygems:airbrussh', '1.4.1')
('rubygems:rspec-rails', '6.0.3')
('rubygems:sassc', '2.4.0')
('npm:@types/hoist-non-react-statics', '3.3.5')
('npm:@rollup/plugin-json', '6.1.0')
('npm:content-type', '1.0.4')
('rubygems:fakefs', '2.5.0')
('npm:clsx', '1.2.1')
('npm:htmlparser2', '8.0.2')
('rubygems:rails_same_site_cookie', '0.1.9')
('rubygems:lograge', '0.13.0')
('rubygems:solrizer', '3.4.1')
('rubygems:hydra-head', '12.1.0')
('npm:p-retry', '4.6.2')
('npm:@babel/plugin-transform-arrow-functions', '7.22.5')
('rubygems:scanf', '1.0.0')
('npm:@babel/helper-annotate-as-pure', '7.22.5')
('npm:content-disposition', '0.5.4')
('npm:set-value', '4.1.0')
('npm:micromatch', '4.0.5')
('npm:@trysound/sax', '0.2.0')
('npm:shallowequal', '1.1.0')
('rubygems:autoprefixer-rails', '10.4.7.0')
('npm:@babel/helper-validator-identifier', '7.22.20')
('com.github.avalonmediasystem/avalon', '')
('npm:fsevents', '2.3.2')
('npm:eventemitter3', '3.1.0')
('rubygems:mail', '2.8.1')
('npm:readdirp', '3.6.0')
('npm:colorette', '2.0.20')
('npm:js-yaml', '4.1.0')
('rubygems:jbuilder', '2.11.5')
('npm:graceful-fs', '4.1.11')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:handle-thing', '2.0.1')
('npm:inquirer', '3.3.0')
('npm:levn', '0.3.0')
('npm:es-module-lexer', '1.3.0')
('rubygems:rubocop', '1.28.2')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:progress', '2.0.0')
('npm:chokidar', '3.5.3')
('npm:tapable', '2.2.1')
('npm:@videojs/xhr', '2.6.0')
('rubygems:faraday-encoding', '0.0.5')
('npm:@types/yargs-parser', '21.0.0')
('npm:@types/qs', '6.9.7')
('npm:mpd-parser', '0.22.1')
('npm:supports-color', '5.5.0')
('rubygems:rsolr', '2.5.0')
('npm:camel-case', '4.1.2')
('npm:has-flag', '4.0.0')
('npm:colord', '2.9.3')
('npm:@types/http-errors', '2.0.1')
('rubygems:activestorage', '7.0.8.1')
('npm:classnames', '2.3.1')
('rubygems:hydra-core', '12.1.0')
('rubygems:responders', '3.1.0')
('npm:@babel/preset-react', '7.14.5')
('npm:mdn-data', '2.0.30')
('npm:terser', '5.19.2')
('npm:yallist', '2.1.2')
('npm:postcss-unique-selectors', '6.0.0')
('rubygems:active-triples', '1.2.0')
('npm:@babel/helper-module-transforms', '7.22.9')
('rubygems:childprocess', '3.0.0')
('npm:loose-envify', '1.4.0')
('rubygems:activerecord', '7.0.8.1')
('rubygems:rspec-mocks', '3.12.3')
('npm:util', '0.12.5')
('rubygems:twitter-typeahead-rails', '0.11.1.pre.corejavascript')
('npm:delayed-stream', '1.0.0')
('npm:@babel/plugin-transform-template-literals', '7.22.5')
('npm:isobject', '3.0.1')
('rubygems:ldp', '1.1.0')
('npm:css-vendor', '2.0.8')
('npm:react_ujs', '2.6.1')
('npm:object-assign', '4.1.1')
('rubygems:ruby-saml', '1.15.0')
('rubygems:view_component', '2.83.0')
('npm:@babel/preset-modules', '0.1.6-no-external-plugins')
('npm:min-document', '2.19.0')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:@babel/plugin-transform-react-jsx', '7.14.9')
('npm:express', '4.18.1')
('npm:wbuf', '1.7.3')
('npm:@babel/highlight', '7.24.2')
('npm:utila', '0.4.0')
('npm:@types/eslint-scope', '3.7.4')
('npm:postcss-normalize-repeat-style', '6.0.0')
('npm:picomatch', '2.3.0')
('npm:import-local', '3.1.0')
('npm:postcss-minify-font-values', '6.0.0')
('rubygems:acts_as_list', '1.1.0')
('npm:aes-decrypter', '3.1.3')
('npm:chardet', '0.4.2')
