('npm:abab', '2.0.1')
('npm:astral-regex', '1.0.0')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:fs-extra', '6.0.1')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:mime-types', '2.1.24')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:jest-worker', '24.9.0')
('npm:handlebars', '4.2.0')
('npm:string.prototype.trimleft', '2.0.0')
('npm:wrappy', '1.0.2')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:events', '1.1.1')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:jest-resolve-dependencies', '24.9.0')
('npm:jest-config', '24.9.0')
('npm:walker', '1.0.7')
('npm:throat', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:jest-diff', '24.9.0')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:array-includes', '3.0.3')
('npm:json-schema-traverse', '0.4.1')
('npm:archiver-utils', '2.1.0')
('npm:@jest/types', '24.9.0')
('npm:@babel/helper-plugin-utils', '7.0.0')
('npm:write-file-atomic', '2.4.3')
('npm:encodeurl', '1.0.2')
('npm:agent-base', '4.3.0')
('npm:trim-right', '1.0.1')
('npm:strip-ansi', '5.2.0')
('npm:extend', '3.0.2')
('npm:lodash.defaults', '4.2.0')
('npm:make-dir', '2.1.0')
('npm:aws4', '1.8.0')
('npm:realpath-native', '1.1.0')
('npm:latest-version', '3.1.0')
('npm:pstree.remy', '1.1.7')
('npm:extend-shallow', '3.0.2')
('npm:async-limiter', '1.0.1')
('npm:spdx-expression-parse', '3.0.0')
('npm:spdx-license-ids', '3.0.5')
('npm:class-utils', '0.3.6')
('npm:strip-json-comments', '2.0.1')
('npm:slash', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:sql-escape-string', '1.1.0')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:har-schema', '2.0.0')
('npm:are-we-there-yet', '1.1.5')
('npm:arr-flatten', '1.1.0')
('npm:whatwg-mimetype', '2.3.0')
('npm:define-property', '2.0.2')
('npm:timed-out', '4.0.1')
('npm:deep-extend', '0.6.0')
('npm:commander', '2.20.0')
('npm:semver', '6.3.0')
('npm:which', '1.3.1')
('npm:configstore', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:string-width', '3.1.0')
('npm:npm-bundled', '1.0.6')
('npm:for-in', '1.0.2')
('npm:jest-environment-jsdom', '24.9.0')
('npm:util.promisify', '1.0.0')
('npm:caller-path', '0.1.0')
('npm:iconv-lite', '0.4.24')
('npm:jest', '24.9.0')
('npm:is-date-object', '1.0.1')
('npm:undefsafe', '2.0.2')
('npm:to-regex-range', '2.1.1')
('npm:parent-module', '1.0.1')
('npm:range-parser', '1.2.1')
('npm:ci-info', '2.0.0')
('npm:repeat-string', '1.6.1')
('npm:load-json-file', '4.0.0')
('npm:react-is', '16.9.0')
('npm:uglify-js', '3.6.0')
('npm:claudia-local-api', '2.0.0')
('npm:unset-value', '1.0.0')
('npm:@types/babel__generator', '7.0.2')
('npm:glob-parent', '5.0.0')
('npm:emoji-regex', '7.0.3')
('npm:request-promise-core', '1.1.2')
('npm:typedarray', '0.0.6')
('npm:normalize-path', '3.0.0')
('npm:fs-minipass', '1.2.6')
('npm:@types/istanbul-lib-report', '1.1.1')
('npm:tunnel-agent', '0.6.0')
('npm:jest-environment-node', '24.9.0')
('com.github.azavea/tilegarden', '')
('npm:acorn-globals', '4.3.3')
('npm:is-accessor-descriptor', '1.0.0')
('npm:depd', '1.1.2')
('npm:jest-serializer', '24.9.0')
('npm:@jest/reporters', '24.9.0')
('npm:jest-jasmine2', '24.9.0')
('npm:strip-eof', '1.0.0')
('npm:once', '1.4.0')
('npm:string-length', '2.0.0')
('npm:claudia', '5.8.0')
('npm:jest-runtime', '24.9.0')
('npm:natural-compare', '1.4.0')
('npm:base64-js', '1.3.1')
('npm:sprintf-js', '1.0.3')
('npm:buffer-from', '1.1.1')
('npm:rxjs', '6.5.3')
('npm:pirates', '4.0.1')
('npm:object-inspect', '1.6.0')
('npm:path-parser', '4.2.0')
('npm:chalk', '2.4.2')
('npm:path-key', '2.0.1')
('npm:crypto-random-string', '1.0.0')
('npm:@babel/traverse', '7.6.0')
('npm:es-abstract', '1.14.2')
('npm:spdx-correct', '3.1.0')
('npm:xml-name-validator', '3.0.0')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:concat-map', '0.0.1')
('npm:stream-shift', '1.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:request', '2.88.0')
('npm:@babel/helpers', '7.6.0')
('npm:snapdragon-node', '2.1.1')
('npm:widest-line', '2.0.1')
('npm:end-of-stream', '1.4.1')
('npm:ini', '1.3.5')
('npm:cli-cursor', '2.1.0')
