('npm:coa', '2.0.2')
('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:dom-serializer', '0.1.1')
('npm:@dsb-norge/vue-keycloak-js', '1.1.1')
('npm:postcss-calc', '7.0.1')
('npm:ansi-colors', '3.2.4')
('npm:@babel/helper-module-transforms', '7.2.2')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:lodash', '4.17.15')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:fs-extra', '7.0.1')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:npm', '6.14.2')
('npm:recast', '0.11.23')
('npm:es-abstract', '1.13.0')
('npm:randombytes', '2.1.0')
('npm:anymatch', '2.0.0')
('npm:bytes', '3.0.0')
('npm:postcss-modules-values', '1.3.0')
('npm:escape-html', '1.0.3')
('npm:html-comment-regex', '1.1.2')
('npm:through', '2.3.8')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:thunky', '1.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('composer:sebastian/global-state', '3.0.1')
('npm:mime-db', '1.38.0')
('npm:@babel/helper-hoist-variables', '7.4.0')
('composer:egulias/email-validator', '2.1.25')
('npm:pinkie-promise', '2.0.1')
('npm:@babel/helper-plugin-utils', '7.0.0')
('npm:@babel/helper-define-map', '7.4.0')
('npm:bonjour', '3.5.0')
('npm:async-each', '1.0.2')
('npm:encodeurl', '1.0.2')
('npm:jquery', '3.4.1')
('npm:@babel/plugin-transform-typeof-symbol', '7.2.0')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:lodash.defaults', '4.2.0')
('npm:to-arraybuffer', '1.0.1')
('npm:make-dir', '2.1.0')
('npm:pako', '1.0.10')
('npm:postcss-ordered-values', '4.1.2')
('npm:stream-http', '2.8.3')
('npm:upath', '1.1.2')
('npm:node-forge', '0.7.5')
('npm:extend-shallow', '3.0.2')
('npm:@webassemblyjs/helper-wasm-section', '1.8.5')
('npm:electron-to-chromium', '1.3.116')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:timsort', '0.3.0')
('npm:select-hose', '2.0.0')
('composer:phpunit/php-code-coverage', '7.0.14')
('npm:to-regex', '3.0.2')
('npm:object.getownpropertydescriptors', '2.0.3')
('composer:sebastian/diff', '3.0.3')
('npm:img-loader', '3.0.1')
('npm:core-js', '3.0.0')
('npm:postcss-reduce-transforms', '4.0.2')
('npm:arr-flatten', '1.1.0')
('composer:symfony/mime', '5.2.6')
('npm:rimraf', '2.6.3')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:postcss-normalize-string', '4.0.2')
('npm:dotenv-expand', '4.2.0')
('npm:evp_bytestokey', '1.0.3')
('npm:@babel/plugin-transform-exponentiation-operator', '7.2.0')
('npm:lcid', '2.0.0')
('npm:optimize-css-assets-webpack-plugin', '5.0.1')
('npm:@babel/plugin-transform-new-target', '7.4.0')
('npm:caniuse-lite', '1.0.30000951')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:vue-template-compiler', '2.6.10')
('npm:postcss-reduce-initial', '4.0.3')
('npm:which', '1.3.1')
('npm:@webassemblyjs/helper-buffer', '1.8.5')
('npm:utils-merge', '1.0.1')
('npm:@babel/plugin-transform-template-literals', '7.2.0')
('composer:symfony/finder', '4.4.20')
('npm:bn.js', '4.11.8')
('npm:global-modules', '1.0.0')
('npm:hsl-regex', '1.0.0')
('npm:for-in', '1.0.2')
('npm:@babel/plugin-transform-object-super', '7.2.0')
('npm:interpret', '1.2.0')
('npm:is-glob', '4.0.0')
('npm:cliui', '4.1.0')
('npm:util.promisify', '1.0.0')
('npm:css-loader', '1.0.1')
('npm:csso', '3.5.1')
('npm:es6-templates', '0.2.3')
('npm:findup-sync', '2.0.0')
('npm:browserify-sign', '4.0.4')
('npm:buffer', '4.9.1')
('npm:unicode-match-property-ecmascript', '1.0.4')
('npm:regexpu-core', '4.5.4')
('npm:is-date-object', '1.0.1')
('npm:to-regex-range', '2.1.1')
