('npm:@angular/compiler', '13.3.12')
('npm:yargs', '15.4.1')
('npm:@nrwl/nx-linux-x64-musl', '15.8.8')
('npm:yargs-parser', '20.2.9')
('npm:postcss-load-config', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:typed-assert', '1.0.9')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:basic-auth', '1.1.0')
('npm:jasmine-spec-reporter', '5.0.2')
('nuget:xunit', '2.4.0')
('nuget:AspNetCore.HealthChecks.NpgSql', '5.0.2')
('npm:chrome-trace-event', '1.0.2')
('npm:webpack', '5.76.1')
('npm:minipass', '3.1.1')
('npm:bonjour', '3.5.0')
('npm:extend', '3.0.2')
('npm:binary-extensions', '2.0.0')
('npm:@babel/plugin-transform-literals', '7.8.3')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:@babel/helper-function-name', '7.8.3')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:@babel/template', '7.8.6')
('npm:portfinder', '1.0.26')
('npm:depd', '2.0.0')
('npm:parseuri', '0.0.5')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:p-limit', '3.1.0')
('npm:karma-coverage-istanbul-reporter', '2.0.6')
('npm:are-we-there-yet', '1.1.5')
('npm:postcss-font-variant', '5.0.0')
('npm:esbuild-linux-ppc64le', '0.14.22')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:filepond-plugin-file-validate-size', '2.2.1')
('npm:globals', '13.10.0')
('npm:object-is', '1.0.2')
('npm:semver', '6.3.0')
('npm:resolve-from', '5.0.0')
('npm:https-proxy-agent', '2.2.4')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:universalify', '2.0.0')
('npm:dom-serialize', '2.2.1')
('pip:flask-jwt-oidc', '0.1.5')
('actions:redhat-actions/oc-login', '1.1')
('npm:socket.io-client', '2.1.1')
('npm:@babel/plugin-transform-runtime', '7.16.10')
('npm:@types/source-list-map', '0.1.2')
('npm:@babel/plugin-transform-spread', '7.8.3')
('npm:loader-utils', '1.4.0')
('npm:@nrwl/nx-linux-arm64-gnu', '15.8.8')
('npm:request', '2.88.2')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:promise-retry', '2.0.1')
('npm:semver', '7.3.5')
('nuget:QRCoder', '1.4.1')
('actions:actions/checkout', '2.*.*')
('npm:is-descriptor', '0.1.6')
('npm:is-interactive', '1.0.0')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('npm:strip-ansi', '6.0.0')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:@babel/helper-wrap-function', '7.8.3')
('npm:nth-check', '1.0.2')
('npm:tar', '6.0.1')
('npm:hdr-histogram-js', '2.0.1')
('npm:p-map', '2.1.0')
('npm:browserstack', '1.5.3')
('npm:stable', '0.1.8')
('npm:@typescript-eslint/typescript-estree', '4.31.1')
('npm:spdx-correct', '3.1.0')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:@tootallnate/once', '2.0.0')
('npm:browserslist', '4.16.7')
('npm:@angular/cli', '13.3.11')
('nuget:System.ComponentModel.Annotations', '4.6.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:string.prototype.trimstart', '1.0.0')
('npm:@webassemblyjs/utf8', '1.8.5')
('npm:object-component', '0.0.3')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:tsconfig-paths', '4.1.2')
('npm:http-proxy-middleware', '0.19.1')
('nuget:Microsoft.Extensions.Http', '8.0.0')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:browserify-rsa', '4.0.1')
('nuget:System.Text.RegularExpressions', '4.3.1')
('npm:filesize', '3.6.1')
('npm:minipass', '2.9.0')
('npm:oauth-sign', '0.9.0')
('npm:serialize-javascript', '6.0.0')
('npm:fast-deep-equal', '3.1.1')
('npm:querystringify', '2.1.1')
('npm:@babel/core', '7.21.3')
('npm:run-queue', '1.0.3')
('npm:npmlog', '6.0.0')
('npm:@types/json-schema', '7.0.9')
('npm:hmac-drbg', '1.0.1')
('npm:debug', '2.6.9')
('npm:signal-exit', '3.0.2')
('npm:@babel/plugin-transform-function-name', '7.8.3')
('npm:p-finally', '1.0.0')
('nuget:Microsoft.AspNet.WebApi.Client', '5.2.7')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:nopt', '5.0.0')
('npm:ignore', '5.2.0')
('pip:flask-restplus', '0.12.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:import-local', '2.0.0')
('npm:npm-bundled', '1.1.2')
('npm:terser', '4.6.7')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:@babel/plugin-transform-reserved-words', '7.8.3')
('npm:postcss-page-break', '3.0.4')
('npm:regjsparser', '0.6.4')
('npm:shebang-command', '2.0.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.18.6')
('actions:8BitJonny/gh-get-current-pr', '2.2.0')
('npm:ecc-jsbn', '0.1.2')
('npm:buffer-fill', '1.0.0')
('npm:lie', '3.3.0')
('npm:string.prototype.trimend', '1.0.0')
('npm:@babel/parser', '7.21.3')
('npm:y18n', '4.0.1')
('npm:hpack.js', '2.1.6')
('nuget:Selenium.Support', '3.141.0')
('npm:dependency-graph', '0.7.2')
('npm:globby', '6.1.0')
('npm:chokidar', '2.1.8')
('pip:werkzeug', '0.15.4')
('npm:filepond-plugin-file-validate-type', '1.2.5')
('npm:webpack-merge', '5.8.0')
('npm:aggregate-error', '3.1.0')
('npm:http-proxy', '1.18.1')
('npm:is-arrayish', '0.2.1')
('npm:human-signals', '2.1.0')
('npm:array-union', '1.0.2')
('npm:@babel/helpers', '7.21.0')
('npm:esbuild-linux-riscv64', '0.14.22')
('npm:query-string', '4.3.4')
('npm:@babel/core', '7.9.0')
('npm:@babel/helper-replace-supers', '7.8.6')
('npm:@npmcli/promise-spawn', '1.2.0')
('npm:string-width', '4.2.3')
('npm:tough-cookie', '2.4.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:graceful-fs', '4.2.9')
('npm:picocolors', '1.0.0')
('actions:docker/login-action', '2.*.*')
('npm:postcss-initial', '4.0.1')
('npm:mime-types', '2.1.32')
('npm:minipass-fetch', '1.4.1')
('npm:minipass-json-stream', '1.0.1')
('npm:buffer-alloc', '1.2.0')
('npm:url-parse', '1.5.10')
('npm:postcss-dir-pseudo-class', '6.0.5')
('nuget:System.ValueTuple', '4.5.0')
('npm:@typescript-eslint/visitor-keys', '5.17.0')
('npm:pumpify', '1.5.1')
('npm:promise-retry', '1.1.1')
('npm:cssnano-util-get-match', '4.0.0')
('nuget:Swashbuckle.AspNetCore', '6.6.2')
('npm:enhanced-resolve', '5.12.0')
('npm:fastq', '1.11.1')
('nuget:System.Runtime.CompilerServices.Unsafe', '4.7.0')
('npm:@babel/helper-annotate-as-pure', '7.18.6')
('npm:postcss-selector-parser', '6.0.11')
('npm:hosted-git-info', '4.0.2')
('nuget:Selenium.WebDriver', '3.141.0')
('npm:@babel/code-frame', '7.12.11')
('npm:read-package-tree', '5.3.1')
('npm:regenerate-unicode-properties', '9.0.0')
('npm:stream-shift', '1.0.1')
('npm:parse5', '5.1.1')
('npm:aws-sign2', '0.7.0')
('npm:codelyzer', '5.2.1')
('nuget:Wkhtmltopdf.NetCore', '5.0.2-preview')
('npm:infer-owner', '1.0.4')
('npm:get-package-type', '0.1.0')
('npm:js-base64', '2.5.2')
('npm:@babel/helper-validator-identifier', '7.14.9')
('npm:signal-exit', '3.0.3')
('npm:execa', '5.1.1')
('npm:isarray', '2.0.1')
('npm:execa', '1.0.0')
('npm:domelementtype', '2.0.1')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:is-arguments', '1.1.1')
('npm:component-emitter', '1.3.0')
('npm:terser', '5.14.2')
('npm:string_decoder', '1.1.1')
('npm:is-docker', '2.0.0')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:cssesc', '0.1.0')
('npm:is-number', '3.0.0')
('npm:nx', '15.8.8')
('nuget:Serilog.Sinks.Async', '1.4.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:lodash.uniqby', '4.5.0')
('npm:is-plain-obj', '3.0.0')
('npm:indent-string', '4.0.0')
('nuget:SimpleBase', '3.0.2')
('npm:regenerator-runtime', '0.13.9')
('npm:cli-cursor', '3.1.0')
('npm:@types/minimatch', '3.0.3')
('npm:ansi-styles', '3.2.1')
('npm:jszip', '3.10.1')
('npm:hosted-git-info', '2.8.8')
('npm:define-properties', '1.1.3')
('npm:resolve', '1.22.0')
('npm:protractor', '5.4.2')
('npm:qs', '6.9.4')
('npm:rxjs', '7.3.0')
('npm:npm-packlist', '1.4.7')
('npm:js-sha256', '0.9.0')
('npm:mkdirp', '0.5.5')
('pip:psycopg2', '2.8.2')
('npm:socks', '2.3.3')
('npm:fsevents', '1.2.11')
('npm:node-addon-api', '3.2.1')
('npm:tslib', '2.1.0')
('npm:needle', '2.9.1')
('npm:@babel/plugin-transform-member-expression-literals', '7.8.3')
('nuget:Microsoft.NET.Test.Sdk', '16.5.0')
('npm:webpack-log', '2.0.0')
('npm:esbuild-openbsd-64', '0.14.22')
('npm:set-value', '2.0.1')
('npm:combine-errors', '3.0.3')
('nuget:Microsoft.AspNetCore.Mvc.NewtonsoftJson', '8.0.3')
('npm:eventemitter3', '4.0.4')
('npm:get-intrinsic', '1.1.1')
('npm:opener', '1.5.1')
('npm:ansi-html-community', '0.0.8')
('npm:esrecurse', '4.3.0')
('npm:domhandler', '4.2.2')
('npm:supports-color', '7.1.0')
('npm:postcss-modules-local-by-default', '4.0.0')
('npm:chalk', '4.1.2')
('npm:npm-package-arg', '8.1.5')
('npm:bl', '4.1.0')
('npm:cliui', '7.0.4')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:@webassemblyjs/wasm-opt', '1.11.1')
('npm:@types/estree', '0.0.50')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('npm:source-map-resolve', '0.5.3')
('npm:istanbul-api', '2.1.6')
('npm:karma', '6.3.15')
('npm:ignore-walk', '3.0.3')
('npm:acorn', '6.4.1')
('npm:use', '3.1.1')
('npm:postcss-logical', '5.0.4')
('npm:postcss-normalize-charset', '4.0.1')
('npm:mime', '2.5.2')
('npm:postcss-minify-gradients', '4.0.2')
('npm:istanbul-reports', '3.0.2')
('npm:better-assert', '1.0.2')
('npm:p-retry', '4.6.2')
('npm:esbuild-windows-64', '0.14.22')
('npm:watchpack', '1.6.1')
('npm:less-loader', '5.0.0')
('npm:micromatch', '4.0.5')
('npm:errno', '0.1.8')
('npm:source-map', '0.5.7')
('npm:postcss-svgo', '4.0.2')
('npm:at-least-node', '1.0.0')
('npm:lodash._stringtopath', '4.8.0')
('npm:jsonc-parser', '3.2.0')
('npm:pacote', '11.1.4')
('npm:minizlib', '2.1.2')
('npm:fsevents', '2.3.2')
('npm:css-tree', '1.0.0-alpha.37')
('npm:readdirp', '3.6.0')
('npm:@babel/compat-data', '7.21.0')
('npm:bytes', '3.1.0')
('npm:js-yaml', '4.1.0')
('npm:callsite', '1.0.0')
('actions:actions/setup-dotnet', '1.*.*')
('npm:karma-jasmine-html-reporter', '1.5.3')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:handle-thing', '2.0.1')
('npm:finalhandler', '1.1.2')
('npm:ua-parser-js', '0.7.31')
('npm:@npmcli/fs', '1.1.1')
('npm:@babel/plugin-transform-template-literals', '7.18.9')
('npm:@types/q', '0.0.32')
('npm:debuglog', '1.0.1')
('npm:@babel/plugin-transform-block-scoped-functions', '7.8.3')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:log4js', '6.4.1')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:esbuild-linux-s390x', '0.14.22')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:postcss', '8.4.21')
('npm:postcss-focus-visible', '6.0.4')
('npm:tapable', '2.2.1')
('npm:builtin-status-codes', '3.0.0')
('npm:@babel/plugin-transform-arrow-functions', '7.20.7')
('npm:retry', '0.10.1')
('npm:void-elements', '2.0.1')
('npm:ultron', '1.1.1')
('npm:@webassemblyjs/helper-api-error', '1.11.1')
('npm:semver', '5.7.1')
('npm:lodash.truncate', '4.4.2')
('npm:@webassemblyjs/ieee754', '1.8.5')
('actions:docker/login-action', '2')
('npm:regjsparser', '0.7.0')
('nuget:Microsoft.Extensions.Configuration.Abstractions', '3.0.0')
('npm:file-loader', '6.0.0')
('npm:minipass', '4.2.5')
('npm:eslint-utils', '2.1.0')
('npm:@types/qs', '6.9.7')
('npm:supports-color', '5.5.0')
('npm:has-flag', '4.0.0')
('npm:yargs-parser', '11.1.1')
('pip:flask-caching', '1.7.2')
('npm:esbuild-linux-arm64', '0.14.22')
('npm:core-js-pure', '3.16.1')
('npm:@typescript-eslint/types', '5.17.0')
('npm:@babel/types', '7.8.3')
('npm:agentkeepalive', '4.3.0')
('npm:union-value', '1.0.1')
('nuget:Microsoft.NET.Test.Sdk', '16.9.1')
('npm:immutable', '4.3.0')
('npm:@babel/plugin-transform-async-to-generator', '7.20.7')
('npm:nanoid', '3.3.4')
('npm:unicode-property-aliases-ecmascript', '1.1.0')
('npm:@csstools/postcss-progressive-custom-properties', '1.3.0')
('npm:uniq', '1.0.1')
('npm:dotenv', '10.0.0')
('npm:caniuse-lite', '1.0.30001249')
('npm:karma-jasmine', '4.0.2')
('npm:external-editor', '3.1.0')
('npm:colorette', '2.0.19')
('npm:js-yaml', '3.14.1')
('npm:regexpp', '3.2.0')
('npm:karma-source-map-support', '1.4.0')
('npm:ip-regex', '2.1.0')
('npm:js-yaml', '3.13.1')
('npm:doctrine', '3.0.0')
('npm:yallist', '2.1.2')
('nuget:ExcelDataReader', '3.6.0')
('npm:retry', '0.12.0')
('npm:fs-access', '1.0.1')
('npm:@babel/helper-plugin-utils', '7.20.2')
('npm:@tinymce/tinymce-angular', '4.2.4')
('npm:source-map-resolve', '0.6.0')
('nuget:Serilog.Sinks.Console', '4.0.0')
('npm:loose-envify', '1.4.0')
('npm:@nrwl/nx-darwin-arm64', '15.8.8')
('npm:ora', '5.4.1')
('npm:p-map', '4.0.0')
('npm:@angular/platform-browser', '13.3.12')
('npm:p-locate', '2.0.0')
('npm:parse5-html-rewriting-stream', '6.0.1')
('npm:delayed-stream', '1.0.0')
('npm:http-proxy-agent', '5.0.0')
('npm:brorand', '1.1.0')
('npm:lodash.clonedeep', '4.5.0')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.1')
('npm:isobject', '3.0.1')
('npm:object-assign', '4.1.1')
('npm:is-absolute-url', '2.1.0')
('npm:@babel/plugin-transform-modules-amd', '7.9.0')
('npm:chalk', '3.0.0')
('npm:terser-webpack-plugin', '5.1.4')
('npm:nanomatch', '1.2.13')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:cacache', '15.3.0')
('npm:rfdc', '1.3.0')
('npm:snapdragon', '0.8.2')
('npm:kind-of', '4.0.0')
('npm:faker', '4.1.0')
('npm:blocking-proxy', '1.0.1')
('npm:@babel/helper-create-regexp-features-plugin', '7.14.5')
('npm:wbuf', '1.7.3')
('npm:has-unicode', '2.0.1')
('npm:stream-browserify', '2.0.2')
('npm:is-svg', '3.0.0')
('npm:esbuild-linux-64', '0.14.22')
('npm:flatted', '3.2.4')
('nuget:Microsoft.IdentityModel.JsonWebTokens', '5.6.0')
('npm:@types/eslint-scope', '3.7.4')
('npm:picomatch', '2.3.0')
('npm:has-cors', '1.1.0')
('npm:connect-history-api-fallback', '1.6.0')
('npm:resolve', '1.14.2')
('npm:path-key', '3.1.1')
('npm:@babel/template', '7.16.7')
('npm:ejs', '3.0.1')
('npm:semver', '7.3.4')
('npm:node-releases', '2.0.10')
('npm:debug', '4.3.3')
('npm:css-declaration-sorter', '4.0.1')
('npm:indexes-of', '1.0.1')
('npm:json5', '1.0.1')
('nuget:Microsoft.IdentityModel.Tokens', '5.6.0')
('npm:jasmine-spec-reporter', '4.2.1')
('npm:to-array', '0.1.4')
('npm:glob', '7.1.7')
('npm:isbinaryfile', '3.0.3')
('npm:postcss-value-parser', '3.3.1')
('npm:globby', '12.2.0')
('npm:compare-versions', '3.5.1')
('npm:is-obj', '2.0.0')
('npm:@babel/plugin-transform-template-literals', '7.8.3')
('npm:ajv-keywords', '3.5.2')
('npm:serve-static', '1.14.1')
('npm:is-data-descriptor', '0.1.4')
('npm:constants-browserify', '1.0.0')
('npm:inherits', '2.0.3')
('npm:err-code', '1.1.2')
('npm:eslint-visitor-keys', '3.3.0')
('npm:fast-levenshtein', '2.0.6')
('npm:body-parser', '1.19.0')
('npm:rimraf', '2.7.1')
('npm:@webassemblyjs/wasm-parser', '1.8.5')
('npm:@typescript-eslint/typescript-estree', '5.17.0')
('npm:yargs-parser', '18.1.2')
('npm:object.assign', '4.1.0')
('npm:has-symbols', '1.0.1')
('npm:jasminewd2', '2.2.0')
('npm:setprototypeof', '1.1.1')
('npm:aws4', '1.9.1')
('npm:color-string', '1.5.3')
('npm:smart-buffer', '4.2.0')
('npm:esbuild-wasm', '0.14.22')
('npm:es-to-primitive', '1.2.1')
('npm:inflight', '1.0.6')
('npm:@ngx-progressbar/router', '5.3.2')
('npm:jsonfile', '6.1.0')
('npm:bootstrap', '4.5.3')
('npm:validate-npm-package-license', '3.0.4')
('npm:inherits', '2.0.4')
('npm:@istanbuljs/load-nyc-config', '1.1.0')
('npm:domelementtype', '2.2.0')
('npm:is-fullwidth-code-point', '2.0.0')
('nuget:FluentValidation.AspNetCore', '10.2.3')
('npm:socks', '2.7.1')
('npm:inquirer', '7.1.0')
('npm:base64-arraybuffer', '0.1.5')
('npm:@angular-devkit/build-angular', '0.901.0')
('npm:has-values', '1.0.0')
('npm:postcss-normalize-positions', '4.0.2')
('npm:fs-constants', '1.0.0')
('npm:@babel/helper-split-export-declaration', '7.18.6')
('npm:@babel/plugin-syntax-json-strings', '7.8.3')
('npm:@types/selenium-webdriver', '3.0.17')
('npm:adm-zip', '0.4.16')
('npm:text-table', '0.2.0')
('npm:loader-runner', '4.2.0')
('npm:wide-align', '1.1.3')
('npm:browserify-cipher', '1.0.1')
('npm:regexpu-core', '1.0.0')
('npm:license-webpack-plugin', '2.1.4')
('npm:@babel/plugin-transform-modules-commonjs', '7.21.2')
('npm:array-unique', '0.3.2')
('npm:socket.io-parser', '4.0.4')
('npm:@babel/helper-builder-binary-assignment-operator-visitor', '7.8.3')
('pip:py-healthcheck', '1.10.1')
('npm:yargs', '15.3.0')
('npm:mime-db', '1.43.0')
('npm:kind-of', '6.0.3')
('npm:@webassemblyjs/helper-fsm', '1.8.5')
('npm:isbinaryfile', '4.0.8')
('npm:@babel/helper-validator-identifier', '7.10.4')
('npm:is-unicode-supported', '0.1.0')
('npm:@babel/plugin-syntax-optional-chaining', '7.8.3')
('npm:path-type', '3.0.0')
('npm:webdriver-manager', '12.1.7')
('npm:uuid', '8.3.2')
('npm:sockjs', '0.3.21')
('npm:icss-utils', '5.1.0')
('npm:@types/faker', '4.1.12')
('npm:get-value', '2.0.6')
('npm:strip-ansi', '6.0.1')
('npm:atob', '2.1.2')
('nuget:Microsoft.Extensions.Hosting.Abstractions', '8.0.0')
('npm:node-forge', '1.3.1')
('npm:@webassemblyjs/utf8', '1.11.1')
('npm:mdn-data', '2.0.4')
('npm:posix-character-classes', '0.1.1')
('npm:bindings', '1.5.0')
('npm:asn1', '0.2.4')
('nuget:Microsoft.Extensions.Hosting', '8.0.0')
('npm:html-escaper', '2.0.0')
('npm:@npmcli/installed-package-contents', '1.0.5')
('npm:@typescript-eslint/typescript-estree', '4.33.0')
('npm:@npmcli/node-gyp', '1.0.2')
('npm:buffer', '5.7.1')
('npm:magic-string', '0.25.7')
('npm:postcss-custom-selectors', '6.0.3')
('npm:ejs', '2.7.4')
('npm:parse-asn1', '5.1.5')
('npm:ansi-escapes', '4.3.2')
('npm:postcss-discard-empty', '4.0.1')
('nuget:Microsoft.Extensions.Logging', '8.0.0')
('npm:cacache', '13.0.1')
('npm:crypto-browserify', '3.12.0')
('npm:callsites', '2.0.0')
('npm:base64-js', '1.5.1')
('npm:acorn', '8.8.2')
('npm:functional-red-black-tree', '1.0.1')
