('npm:lower-case', '1.1.4')
('npm:regjsgen', '0.5.2')
('npm:merge-stream', '2.0.0')
('npm:vary', '1.1.2')
('npm:debug', '2.6.9')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:json5', '2.1.3')
('go:golang.org/x/crypto', '0.0.0-20200622213623-75b288015ac9')
('npm:imurmurhash', '0.1.4')
('npm:fsevents', '2.1.3')
('npm:uid-safe', '2.1.5')
('npm:@babel/plugin-syntax-top-level-await', '7.10.4')
('npm:balanced-match', '1.0.0')
('npm:npm-run-all', '4.1.5')
('npm:shebang-command', '1.2.0')
('npm:@rollup/plugin-node-resolve', '8.4.0')
('npm:uglify-js', '3.10.0')
('npm:jest-worker', '24.9.0')
('npm:@babel/plugin-transform-destructuring', '7.10.4')
('npm:wrappy', '1.0.2')
('npm:@babel/helper-regex', '7.10.5')
('npm:string-hash', '1.1.3')
('npm:@babel/helper-simple-access', '7.10.4')
('npm:@babel/plugin-transform-modules-commonjs', '7.10.4')
('npm:json-parse-better-errors', '1.0.2')
('com.github.camba1/gotemp', '')
('npm:invariant', '2.2.4')
('npm:sveltestrap', '3.5.0')
('go:github.com/micro/go-plugins/broker/nats/v2', '2.9.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:@babel/helper-split-export-declaration', '7.10.4')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:has-flag', '3.0.0')
('npm:minimatch', '3.0.4')
('npm:@babel/runtime', '7.10.5')
('npm:node-releases', '1.1.59')
('npm:error-ex', '1.3.2')
('npm:normalize-package-data', '2.5.0')
('npm:@babel/plugin-transform-property-literals', '7.10.4')
('npm:@babel/types', '7.10.5')
('npm:http-link-header', '1.0.2')
('npm:sapper', '0.27.16')
('npm:memorystream', '0.3.1')
('go:golang.org/x/net', '0.0.0-20200707034311-ab3426394381')
('npm:object-inspect', '1.8.0')
('npm:@babel/plugin-transform-member-expression-literals', '7.10.4')
('npm:session-file-store', '1.4.0')
('npm:@babel/preset-env', '7.10.4')
('npm:@babel/plugin-transform-new-target', '7.10.4')
('npm:levenary', '1.1.1')
('npm:regjsparser', '0.6.4')
('go:github.com/dgrijalva/jwt-go', '3.2.0+incompatible')
('npm:pify', '3.0.0')
('npm:@babel/plugin-proposal-private-methods', '7.10.4')
('npm:@babel/plugin-transform-typeof-symbol', '7.10.4')
('npm:strip-bom', '3.0.0')
('npm:@babel/generator', '7.10.5')
('npm:rollup', '2.21.0')
('npm:resolve', '1.17.0')
('npm:brace-expansion', '1.1.11')
('npm:@babel/helper-module-transforms', '7.10.5')
('npm:compression', '1.7.4')
('npm:has', '1.0.3')
('npm:@babel/plugin-syntax-numeric-separator', '7.10.4')
('npm:@babel/helper-define-map', '7.10.5')
('npm:fs.realpath', '1.0.0')
('npm:shimport', '1.0.1')
('npm:@types/estree', '0.0.39')
('npm:require-relative', '0.8.7')
