('npm:coa', '2.0.2')
('npm:@types/retry', '0.12.0')
('npm:eslint-plugin-flowtype', '8.0.3')
('npm:jsdom', '16.7.0')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('nuget:AspNetCore.HealthChecks.Rabbitmq', '6.0.2')
('npm:domexception', '2.0.1')
('npm:write-file-atomic', '3.0.3')
('npm:yargs-parser', '20.2.9')
('npm:postcss-replace-overflow-wrap', '4.0.0')
('npm:internal-slot', '1.0.3')
('npm:@pmmmwh/react-refresh-webpack-plugin', '0.5.6')
('npm:immer', '9.0.12')
('nuget:Microsoft.VisualStudio.Azure.Containers.Tools.Targets', '1.17.0')
('npm:css-tree', '1.1.3')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@jridgewell/set-array', '1.1.1')
('npm:react-scripts', '5.0.1')
('npm:@babel/helper-optimise-call-expression', '7.16.7')
('npm:uri-js', '4.4.1')
('npm:doctrine', '2.1.0')
('npm:string_decoder', '1.3.0')
('npm:jest-validate', '27.5.1')
('npm:randombytes', '2.1.0')
('npm:normalize-url', '6.1.0')
('npm:bytes', '3.1.2')
('npm:ansi-regex', '6.0.1')
('npm:tr46', '2.1.0')
('npm:@types/eslint', '7.29.0')
('npm:bytes', '3.0.0')
('npm:@webassemblyjs/wasm-gen', '1.11.1')
('npm:json5', '2.2.1')
('npm:klona', '2.0.5')
('npm:levn', '0.4.1')
('npm:postcss-modules-values', '4.0.0')
('npm:minimatch', '5.0.1')
('npm:postcss-lab-function', '4.2.0')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.17.10')
('npm:scheduler', '0.22.0')
('nuget:Serilog.Enrichers.Thread', '3.1.0')
('npm:babel-jest', '27.5.1')
('npm:escape-html', '1.0.3')
('npm:pretty-bytes', '5.6.0')
('npm:@babel/plugin-transform-react-jsx-development', '7.16.7')
('npm:string-length', '5.0.1')
('npm:is-root', '2.1.0')
('npm:array.prototype.flat', '1.3.0')
('npm:jest-util', '28.1.0')
('npm:esquery', '1.4.0')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:schema-utils', '2.7.1')
('npm:renderkid', '3.0.0')
('npm:json-schema-traverse', '0.4.1')
('npm:postcss', '7.0.39')
('npm:@types/http-proxy', '1.17.9')
('npm:workbox-google-analytics', '6.5.3')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-loader', '6.2.1')
('npm:core-js-compat', '3.22.5')
('npm:jest-mock', '27.5.1')
('npm:postcss-discard-empty', '5.1.1')
('npm:sanitize.css', '13.0.0')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:encodeurl', '1.0.2')
('npm:react-error-overlay', '6.0.11')
('npm:@types/ws', '8.5.3')
('npm:jest-docblock', '27.5.1')
('npm:stack-utils', '2.0.5')
('npm:workbox-routing', '6.5.3')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:@babel/helper-plugin-utils', '7.16.7')
('npm:jest-regex-util', '27.5.1')
('npm:rimraf', '3.0.2')
('npm:postcss-custom-media', '8.0.0')
('npm:chrome-trace-event', '1.0.3')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:workbox-broadcast-update', '6.5.3')
('npm:@babel/plugin-transform-spread', '7.16.7')
('npm:@types/estree', '0.0.39')
('npm:is-shared-array-buffer', '1.0.2')
('npm:react-dev-utils', '12.0.1')
('npm:@svgr/babel-plugin-svg-em-dimensions', '5.4.0')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@types/istanbul-lib-coverage', '2.0.4')
('npm:asap', '2.0.6')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:@types/express-serve-static-core', '4.17.28')
('npm:open', '8.4.0')
('nuget:Serilog.Enrichers.Environment', '2.2.1-dev-00787')
('npm:depd', '2.0.0')
('npm:thunky', '1.1.0')
('npm:terser-webpack-plugin', '5.3.1')
('npm:select-hose', '2.0.0')
('npm:@jridgewell/resolve-uri', '3.0.7')
('npm:acorn', '7.4.1')
('npm:@rollup/plugin-replace', '2.4.2')
('npm:terminal-link', '2.1.1')
('npm:string.prototype.matchall', '4.0.7')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:has-bigints', '1.0.2')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-proposal-logical-assignment-operators', '7.16.7')
('npm:@babel/helper-replace-supers', '7.16.7')
('npm:@babel/core', '7.17.10')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:postcss-nested', '5.0.6')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:postcss-font-variant', '5.0.0')
('npm:is-core-module', '2.9.0')
('npm:type-fest', '0.21.3')
('npm:data-urls', '2.0.0')
('npm:setprototypeof', '1.1.0')
('npm:whatwg-mimetype', '2.3.0')
('npm:dom-helpers', '5.2.1')
('npm:parse-json', '5.2.0')
('npm:@babel/helper-create-regexp-features-plugin', '7.17.0')
('npm:react-popper', '2.3.0')
('npm:fs-extra', '10.1.0')
('npm:color-name', '1.1.4')
('npm:v8-compile-cache', '2.3.0')
('npm:svgo', '2.8.0')
('npm:optionator', '0.9.1')
('npm:cssom', '0.4.4')
('npm:postcss-image-set-function', '4.0.6')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:@babel/plugin-transform-modules-umd', '7.16.7')
('npm:@babel/plugin-transform-runtime', '7.17.10')
('npm:postcss-custom-selectors', '6.0.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:entities', '2.2.0')
('npm:@types/body-parser', '1.19.2')
('npm:which', '1.3.1')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:@popperjs/core', '2.11.5')
('npm:http-proxy-middleware', '2.0.6')
('npm:@babel/plugin-proposal-optional-chaining', '7.16.7')
('npm:domutils', '2.8.0')
('npm:get-stream', '6.0.1')
('npm:makeerror', '1.0.12')
('npm:import-fresh', '3.3.0')
('npm:history', '5.3.0')
('npm:@typescript-eslint/visitor-keys', '5.23.0')
