('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:pkg-dir', '1.0.0')
('npm:inquirer', '7.3.3')
('go:github.com/golang/groupcache', '0.0.0-20210331224755-41bb18bfe9da')
('go:golang.org/x/tools', '0.6.0')
('go:golang.org/x/net', '0.23.0')
('npm:bonjour', '3.5.0')
('npm:less', '3.13.1')
('npm:extend', '3.0.2')
('npm:html-tags', '2.0.0')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:@babel/plugin-transform-modules-systemjs', '7.18.9')
('npm:loader-utils', '0.2.17')
('go:github.com/json-iterator/go', '1.1.12')
('npm:@babel/helper-function-name', '7.23.0')
('npm:evp_bytestokey', '1.0.3')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:postcss-normalize-display-values', '4.0.2')
('actions:docker/setup-qemu-action', '2')
('actions:elgohr/Publish-Docker-Github-Action', '5')
('npm:pbkdf2', '3.1.2')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:for-in', '1.0.2')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:util.promisify', '1.0.0')
('go:inet.af/netaddr', '0.0.0-20220811202034-502d2d690317')
('npm:@types/source-list-map', '0.1.2')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:mime-types', '2.1.35')
('npm:is-descriptor', '0.1.6')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('go:gorm.io/gorm', '1.24.3')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:nth-check', '1.0.2')
('npm:p-map', '2.1.0')
('npm:find-cache-dir', '0.1.1')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:async-validator', '1.8.5')
('go:google.golang.org/protobuf', '1.33.0')
('npm:dom-serializer', '1.4.1')
('npm:linkify-it', '3.0.3')
('npm:lodash.mapvalues', '4.6.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:native-request', '1.1.0')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:@babel/plugin-transform-classes', '7.18.9')
('go:golang.org/x/time', '0.3.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:filesize', '3.6.1')
('npm:domelementtype', '2.3.0')
('npm:oauth-sign', '0.9.0')
('npm:run-queue', '1.0.3')
('npm:loader-utils', '2.0.4')
('npm:hmac-drbg', '1.0.1')
('npm:debug', '2.6.9')
('go:github.com/hashicorp/go-uuid', '1.0.3')
('npm:p-finally', '1.0.0')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:copy-anything', '2.0.6')
('npm:make-dir', '3.1.0')
('npm:import-local', '2.0.0')
('npm:@types/express', '4.17.13')
('npm:shebang-command', '2.0.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.18.6')
('npm:loader-fs-cache', '1.0.3')
('go:github.com/go-openapi/jsonreference', '0.20.2')
('npm:ecc-jsbn', '0.1.2')
('npm:core-js', '3.25.0')
('npm:any-promise', '1.3.0')
('npm:hpack.js', '2.1.6')
('go:github.com/zhouzhuojie/withtimeout', '0.0.0-20190405051827-12b39eb2edd5')
('npm:globby', '6.1.0')
('npm:chokidar', '2.1.8')
('npm:http-proxy', '1.18.1')
('npm:is-arrayish', '0.2.1')
('npm:array-union', '1.0.2')
('npm:query-string', '4.3.4')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:picocolors', '1.0.0')
('npm:@babel/generator', '7.23.6')
('go:github.com/yadvendar/negroni-newrelic-go-agent', '0.0.0-20160803090806-3dc58758cb67')
('npm:vue', '2.7.10')
('npm:url-parse', '1.5.10')
('npm:pumpify', '1.5.1')
('npm:deepmerge', '1.5.2')
('npm:cssnano-util-get-match', '4.0.0')
('npm:@babel/helper-annotate-as-pure', '7.18.6')
('npm:setprototypeof', '1.2.0')
('npm:stream-shift', '1.0.1')
('npm:parse5', '5.1.1')
('npm:@babel/types', '7.23.6')
('npm:aws-sign2', '0.7.0')
('npm:css-what', '3.4.2')
('npm:infer-owner', '1.0.4')
('npm:acorn-walk', '7.2.0')
('npm:slice-ansi', '2.1.0')
('npm:execa', '1.0.0')
('npm:@babel/runtime', '7.18.9')
('npm:@vue/babel-plugin-transform-vue-jsx', '1.4.0')
('npm:find-up', '3.0.0')
('npm:is-arguments', '1.1.1')
('npm:component-emitter', '1.3.0')
('npm:postcss-calc', '7.0.5')
('npm:string_decoder', '1.1.1')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
