('npm:priorityqueuejs', '1.0.0')
('npm:browserify-mime', '1.2.9')
('npm:pinkie', '2.0.4')
('npm:mute-stream', '0.0.8')
('npm:chardet', '0.5.0')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:write-file-atomic', '2.3.0')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:fs-extra', '6.0.1')
('npm:ava-http', '1.0.0')
('npm:which', '1.0.9')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:commander', '2.15.1')
('npm:lodash', '4.17.15')
('npm:has-yarn', '1.0.0')
('npm:mime-types', '2.1.24')
('npm:sort-keys', '2.0.0')
('npm:cliui', '2.1.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:math-random', '1.0.1')
('npm:is-utf8', '0.2.1')
('npm:fresh', '0.3.0')
('npm:@babel/template', '7.0.0-beta.51')
('npm:asn1', '0.2.3')
('npm:anymatch', '2.0.0')
('npm:bytes', '3.0.0')
('npm:env-variable', '0.0.5')
('npm:escape-html', '1.0.3')
('npm:raw-body', '2.1.7')
('npm:is-observable', '1.1.0')
('npm:through', '2.3.8')
('npm:is-accessor-descriptor', '0.1.6')
('npm:multimatch', '2.1.0')
('npm:json-schema-traverse', '0.4.1')
('npm:constantinople', '3.0.2')
('npm:read-pkg', '2.0.0')
('npm:mime-db', '1.38.0')
('npm:require_optional', '1.0.1')
('npm:matcher', '1.1.1')
('npm:pinkie-promise', '2.0.1')
('npm:option-chain', '1.0.0')
('npm:json-buffer', '3.0.0')
('npm:ansi-escapes', '3.1.0')
('npm:css', '1.0.8')
('npm:encodeurl', '1.0.2')
('npm:p-timeout', '2.0.1')
('npm:jade', '1.11.0')
('npm:async-each', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:espurify', '1.8.1')
('npm:isarray', '0.0.1')
('npm:slice-ansi', '1.0.0')
('npm:deep-equal', '0.2.2')
('npm:upath', '1.1.2')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:kareem', '2.3.0')
('npm:is-ci', '1.1.0')
('npm:latest-version', '3.1.0')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:hosted-git-info', '2.6.0')
('npm:date-time', '2.1.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:core-js', '2.6.5')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:strip-json-comments', '2.0.1')
('npm:package-hash', '2.0.0')
('npm:superagent', '3.8.2')
('npm:to-regex', '3.0.2')
('npm:reduce-component', '1.0.1')
('npm:parse-ms', '0.1.2')
('npm:har-schema', '2.0.0')
('npm:got', '8.3.1')
('npm:resolve', '0.7.4')
('npm:moment', '2.22.2')
('npm:are-we-there-yet', '1.1.5')
('npm:documentdb', '1.14.5')
('npm:hash-base', '3.0.4')
('npm:arr-flatten', '1.1.0')
('npm:@babel/helper-split-export-declaration', '7.0.0-beta.49')
('npm:rimraf', '2.6.3')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:map-stream', '0.1.0')
('npm:timed-out', '4.0.1')
('npm:json-edm-parser', '0.1.2')
('npm:color-name', '1.1.4')
('npm:extend', '3.0.1')
('npm:deep-extend', '0.6.0')
('npm:readable-stream', '1.0.34')
('npm:strip-bom-buf', '1.0.0')
('npm:split', '0.3.3')
('npm:configstore', '3.1.2')
('npm:which', '1.3.1')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:npm-bundled', '1.0.6')
('npm:clone', '1.0.4')
('npm:use', '3.1.0')
('npm:for-in', '1.0.2')
('npm:stack-utils', '1.0.1')
('npm:tar.gz', '1.0.7')
('npm:binary-extensions', '1.11.0')
('npm:test-listen', '1.1.0')
('npm:basic-auth', '1.0.4')
('npm:babel-plugin-syntax-object-rest-spread', '6.13.0')
('npm:is-glob', '4.0.0')
('npm:external-editor', '3.0.0')
('npm:set-immediate-shim', '1.0.1')
('npm:cliui', '4.1.0')
('npm:@babel/types', '7.0.0-beta.51')
('npm:right-align', '0.1.3')
('npm:iconv-lite', '0.4.24')
('npm:env-variable', '0.0.6')
