('npm:dom-serializer', '0.1.1')
('npm:scss-tokenizer', '0.2.3')
('npm:postcss-load-config', '2.1.0')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:babylon', '6.18.0')
('npm:es-abstract', '1.13.0')
('npm:env-variable', '0.0.5')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:chrome-trace-event', '1.0.2')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:bonjour', '3.5.0')
('npm:@types/babel__core', '7.1.2')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:urlencoded-body-parser', '2.0.1')
('npm:@babel/plugin-transform-object-super', '7.5.5')
('composer:symfony/cache', '4.3.2')
('npm:spdx-expression-parse', '3.0.0')
('npm:@babel/plugin-syntax-flow', '7.2.0')
('npm:dns-txt', '2.0.2')
('npm:are-we-there-yet', '1.1.5')
('npm:dotenv-expand', '4.2.0')
('npm:evp_bytestokey', '1.0.3')
('npm:@jest/test-sequencer', '24.8.0')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:@typescript-eslint/eslint-plugin', '1.6.0')
('npm:leven', '2.1.0')
('npm:workbox-strategies', '4.3.1')
('npm:jest-docblock', '24.3.0')
('npm:jest-regex-util', '24.3.0')
('npm:@jest/fake-timers', '24.8.0')
('npm:ms', '2.0.0')
('npm:for-in', '1.0.2')
('npm:util.promisify', '1.0.0')
('npm:@babel/plugin-proposal-class-properties', '7.4.0')
('npm:@babel/plugin-transform-react-jsx-source', '7.5.0')
('composer:nesbot/carbon', '2.21.3')
('composer:symfony/polyfill-intl-idn', '1.11.0')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:request-promise-core', '1.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:fs-minipass', '1.2.6')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:pretty-format', '24.8.0')
('npm:@babel/plugin-syntax-json-strings', '7.2.0')
('npm:is-descriptor', '0.1.6')
('composer:symfony/property-access', '4.3.2')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:array-reduce', '0.0.0')
('npm:arch', '2.1.1')
('npm:string-length', '2.0.0')
('npm:expect', '24.8.0')
('composer:symfony/http-foundation', '4.3.2')
('npm:sprintf-js', '1.0.3')
('npm:check-error', '1.0.2')
('npm:clean-css', '4.2.1')
('npm:nth-check', '1.0.2')
('npm:psl', '1.1.32')
('npm:stable', '0.1.8')
('npm:spdx-correct', '3.1.0')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:prompts', '2.1.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:css-select', '2.0.2')
('npm:is-generator-fn', '2.1.0')
('npm:colornames', '1.1.1')
('npm:format', '0.2.2')
('npm:@webassemblyjs/utf8', '1.8.5')
('composer:symfony/filesystem', '4.3.2')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:winston-transport', '4.3.0')
('npm:flat', '4.1.0')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:async', '1.5.2')
('npm:filesize', '3.6.1')
('npm:oauth-sign', '0.9.0')
('npm:fb-watchman', '2.0.0')
('npm:querystringify', '2.1.1')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:debug', '2.6.9')
('npm:signal-exit', '3.0.2')
('npm:postcss-nesting', '7.0.0')
('composer:symfony/http-kernel', '4.3.2')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:write-file-atomic', '2.4.1')
('npm:browser-stdout', '1.3.1')
('npm:workbox-navigation-preload', '4.3.1')
('npm:import-local', '2.0.0')
('npm:sass-graph', '2.2.4')
('npm:node-gyp', '3.8.0')
('npm:ecc-jsbn', '0.1.2')
('npm:tmpl', '1.0.4')
('npm:@babel/plugin-transform-flow-strip-types', '7.4.0')
('npm:hpack.js', '2.1.6')
('npm:deep-equal', '1.0.1')
('npm:globby', '6.1.0')
('npm:des.js', '1.0.0')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.4.4')
('npm:array-union', '1.0.2')
('npm:axios', '0.18.1')
('npm:@babel/traverse', '7.5.5')
('npm:css-loader', '2.1.1')
('npm:tough-cookie', '2.4.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:tar', '4.4.10')
('npm:pkg-dir', '3.0.0')
('npm:http-errors', '1.7.3')
('npm:@babel/helper-function-name', '7.1.0')
('npm:pumpify', '1.5.1')
('npm:cssnano-util-get-match', '4.0.0')
('npm:setprototypeof', '1.0.3')
('npm:@babel/plugin-transform-for-of', '7.4.4')
('npm:npm-packlist', '1.4.4')
('npm:postcss-double-position-gradients', '1.0.0')
('npm:eslint-loader', '2.1.2')
('npm:postcss-attribute-case-insensitive', '4.0.1')
('npm:aws-sign2', '0.7.0')
('npm:chownr', '1.1.2')
('npm:postcss-color-mod-function', '3.0.3')
('npm:globule', '1.2.1')
('npm:lcid', '1.0.0')
('npm:slice-ansi', '2.1.0')
('npm:execa', '1.0.0')
('npm:exec-sh', '0.3.2')
('npm:color', '3.0.0')
('npm:detect-port-alt', '1.1.6')
('npm:component-emitter', '1.3.0')
('npm:react-error-overlay', '5.1.6')
('npm:string_decoder', '1.1.1')
('npm:lru-cache', '5.1.1')
('npm:postcss-env-function', '2.0.2')
('npm:is-number', '3.0.0')
('npm:true-case-path', '1.0.3')
('npm:jest-resolve', '24.8.0')
('npm:chokidar', '2.0.3')
('npm:ansi-styles', '3.2.1')
('npm:w3c-hr-time', '1.0.1')
('npm:define-properties', '1.1.3')
('npm:postcss-value-parser', '4.0.0')
('composer:symfony/process', '4.3.2')
('npm:eslint-utils', '1.4.0')
('npm:@csstools/convert-colors', '1.4.0')
('npm:postcss-logical', '3.0.0')
('npm:jest-get-type', '24.8.0')
('npm:webpack-log', '2.0.0')
('npm:whatwg-encoding', '1.0.5')
('composer:symfony/dotenv', '4.3.2')
('npm:set-value', '2.0.1')
('composer:symfony/routing', '4.3.2')
('npm:htmlparser2', '3.10.1')
('npm:mimic-fn', '1.2.0')
('npm:@svgr/plugin-svgo', '4.3.1')
('npm:array-equal', '1.0.0')
('npm:pnp-webpack-plugin', '1.2.1')
('npm:content-type', '1.0.4')
('npm:p-try', '1.0.0')
('composer:symfony/event-dispatcher-contracts', '1.1.5')
('npm:file-entry-cache', '5.0.1')
('npm:eslint-plugin-react-hooks', '1.6.1')
('npm:ansi-align', '2.0.0')
('npm:use', '3.1.1')
('npm:sockjs-client', '1.3.0')
('npm:postcss-normalize-charset', '4.0.1')
('composer:platformsh/symfonyflex-bridge', '2.1.1')
('npm:postcss-minify-gradients', '4.0.2')
('npm:unicode-property-aliases-ecmascript', '1.0.5')
('npm:psl', '1.2.0')
('npm:source-map', '0.5.7')
('npm:postcss-svgo', '4.0.2')
('npm:highlight.js', '9.13.1')
('npm:@elastic/elasticsearch', '6.8.1')
('npm:rss-parser', '3.7.0')
('npm:lodash.sortby', '4.7.0')
('npm:@babel/plugin-transform-block-scoping', '7.5.5')
('npm:babel-jest', '24.8.0')
('npm:bytes', '3.1.0')
('npm:finalhandler', '1.1.2')
('npm:levn', '0.3.0')
('npm:ts-pnp', '1.1.2')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:regjsparser', '0.6.0')
('npm:builtin-status-codes', '3.0.0')
('npm:npm', '6.10.2')
('npm:fs-extra', '4.0.3')
('npm:lodash.truncate', '4.4.2')
('npm:@webassemblyjs/ieee754', '1.8.5')
('npm:is-ci', '2.0.0')
('npm:supports-color', '5.5.0')
('npm:shellwords', '0.1.1')
('npm:@svgr/core', '4.3.2')
('npm:union-value', '1.0.1')
('npm:jest-matcher-utils', '24.8.0')
('npm:uniq', '1.0.1')
('npm:@hapi/marker', '1.0.0')
('npm:read-pkg', '3.0.0')
('npm:external-editor', '3.1.0')
('npm:ip-regex', '2.1.0')
('npm:js-yaml', '3.13.1')
