('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:user-home', '2.0.0')
('npm:create-hmac', '1.1.4')
('npm:handle-thing', '1.2.5')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:boxen', '1.0.0')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:is-property', '1.0.2')
('npm:content-type', '1.0.2')
('npm:postcss-colormin', '2.2.2')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:qjobs', '1.1.5')
('npm:url', '0.11.0')
('com.github.civictechdc/dc-campaign-finance-watch', '')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:finalhandler', '1.0.1')
('npm:repeat-element', '1.1.2')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:pkg-dir', '1.0.0')
('npm:asn1', '0.2.3')
('npm:recast', '0.11.23')
('npm:sinon', '2.1.0')
('npm:escape-regexp-component', '1.0.2')
('npm:spdy', '3.4.4')
('npm:config-chain', '1.1.11')
('npm:assertion-error', '1.0.2')
('npm:null-loader', '0.1.1')
('npm:is-subset', '0.1.1')
('npm:babel-plugin-transform-es2015-modules-umd', '6.24.1')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:umask', '1.1.0')
('npm:redis-parser', '1.3.0')
('npm:callsites', '0.2.0')
('npm:postcss-calc', '5.3.1')
('npm:history', '4.6.1')
('npm:pinkie-promise', '2.0.1')
('npm:elliptic', '6.4.0')
('npm:lodash.foreach', '4.5.0')
('npm:aws-sign2', '0.6.0')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:yargs-parser', '4.2.1')
('npm:load-json-file', '1.1.0')
('npm:lodash.defaults', '4.2.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:rx-lite', '3.1.2')
('npm:postcss-minify-gradients', '1.0.5')
('npm:fs-extra', '1.0.0')
('npm:vasync', '1.6.3')
('npm:serve-static', '1.12.1')
('npm:normalize-url', '1.9.1')
('npm:postcss-discard-comments', '2.0.4')
('npm:is-extendable', '0.1.1')
('npm:binary-extensions', '1.8.0')
('npm:socket.io-client', '1.7.3')
('npm:is-path-in-cwd', '1.0.0')
('npm:latest-version', '3.1.0')
('npm:regjsgen', '0.2.0')
('npm:hoist-non-react-statics', '1.2.0')
('npm:globals', '9.17.0')
('npm:flush-write-stream', '1.0.2')
('npm:esrecurse', '4.1.0')
('npm:from2', '2.3.0')
('npm:strip-json-comments', '2.0.1')
('npm:file-entry-cache', '1.3.1')
('npm:muri', '1.2.1')
('npm:select-hose', '2.0.0')
('npm:formidable', '1.1.1')
('npm:object-unfreeze', '1.1.0')
('npm:parseuri', '0.0.5')
('npm:error-stack-parser', '1.3.6')
('npm:babel-plugin-transform-react-jsx-self', '6.22.0')
('npm:postcss-modules-values', '1.2.2')
('npm:interpret', '1.0.2')
('npm:map-stream', '0.1.0')
('npm:autoprefixer', '6.7.7')
('npm:spdx-license-ids', '1.2.2')
('npm:timed-out', '4.0.1')
('npm:remove-trailing-separator', '1.0.1')
('npm:node-pre-gyp', '0.6.34')
('npm:websocket-driver', '0.6.5')
('npm:uuid', '3.0.1')
('npm:sort-keys', '1.1.2')
('npm:leven', '2.1.0')
('npm:postcss-merge-longhand', '2.0.2')
('npm:classnames', '2.2.5')
('npm:glob-parent', '2.0.0')
('npm:private', '0.1.7')
('npm:postcss-discard-unused', '2.2.3')
('npm:split', '0.3.3')
('npm:fs-exists-sync', '0.1.0')
('npm:color-string', '0.3.0')
('npm:configstore', '3.0.0')
('npm:after', '0.8.2')
('npm:blessed', '0.1.81')
('npm:ultron', '1.0.2')
('npm:argparse', '1.0.9')
('npm:is-symbol', '1.0.1')
('npm:for-in', '1.0.2')
('npm:babel-helper-replace-supers', '6.24.1')
('npm:bcrypt-pbkdf', '1.0.1')
('npm:regenerator-runtime', '0.10.3')
('npm:babel-code-frame', '6.22.0')
('npm:babel-plugin-syntax-object-rest-spread', '6.13.0')
('npm:editor', '1.0.0')
('npm:set-immediate-shim', '1.0.1')
('npm:flow-parser', '0.43.0')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:value-equal', '0.2.1')
('npm:wbuf', '1.7.2')
('npm:d3', '3.5.17')
('npm:p-settle', '2.0.0')
('npm:macaddress', '0.2.8')
('npm:caller-path', '0.1.0')
('npm:es6-templates', '0.2.3')
('npm:browserify-sign', '4.0.4')
('npm:dom-serialize', '2.2.1')
('npm:buffer', '4.9.1')
('npm:mongodb', '2.2.25')
('npm:react-router-bootstrap', '0.24.2')
('npm:right-align', '0.1.3')
('npm:bunyan', '1.8.10')
('npm:ajv', '4.11.6')
('npm:ignore', '3.2.7')
('npm:is-date-object', '1.0.1')
('npm:repeat-string', '1.6.1')
('npm:create-ecdh', '4.0.0')
('npm:babel-helper-hoist-variables', '6.24.1')
('npm:iconv-lite', '0.4.15')
('npm:react-proxy', '3.0.0-alpha.1')
('npm:react-hot-loader', '3.0.0-beta.6')
('npm:webpack-dev-middleware', '1.10.1')
('npm:util-extend', '1.0.3')
('npm:fbjs', '0.8.12')
('npm:cross-spawn-async', '2.2.5')
('npm:connect', '3.6.1')
('npm:isomorphic-fetch', '2.2.1')
('npm:nodemon', '1.11.0')
('npm:normalize-range', '0.1.2')
('npm:esprima', '3.1.3')
('npm:typedarray', '0.0.6')
('npm:semver', '4.3.6')
('npm:useragent', '2.1.13')
('npm:prr', '0.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:karma-phantomjs-launcher', '1.0.4')
('npm:is-builtin-module', '1.0.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:css-loader', '0.23.1')
('npm:unique-filename', '1.1.0')
('npm:generate-function', '2.0.0')
('npm:icss-replace-symbols', '1.0.2')
('npm:ast-types', '0.9.8')
('npm:arrify', '1.0.1')
('npm:generate-object-property', '1.2.0')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:tmp', '0.0.31')
('npm:invariant', '2.2.2')
('npm:rx', '4.1.0')
('npm:node-fetch', '1.6.3')
('npm:strip-eof', '1.0.0')
('npm:noms', '0.0.0')
('npm:errno', '0.1.4')
('npm:safe-buffer', '5.0.1')
('npm:infinity-agent', '2.0.3')
('npm:memory-fs', '0.4.1')
('npm:object-keys', '1.0.11')
('npm:vm-browserify', '0.0.4')
('npm:rc', '1.2.1')
('npm:get-stream', '3.0.0')
('npm:sprintf-js', '1.0.3')
('npm:phantomjs-prebuilt', '2.1.14')
('npm:babel-helpers', '6.24.1')
('npm:html-comment-regex', '1.1.1')
('npm:ieee754', '1.1.8')
('npm:connect-history-api-fallback', '1.3.0')
('npm:meow', '3.7.0')
('npm:strip-bom', '2.0.0')
('npm:is-path-cwd', '1.0.0')
('npm:init-package-json', '1.9.6')
('npm:lodash.assignin', '4.2.0')
('npm:babel-plugin-transform-es2015-for-of', '6.23.0')
('npm:randomatic', '1.1.6')
