('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:immer', '9.0.12')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:tr46', '2.1.0')
('npm:babel-jest', '27.5.1')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:webpack', '5.76.1')
('npm:@ant-design/react-slick', '1.0.2')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-discard-empty', '5.1.1')
('npm:react-error-overlay', '6.0.11')
('npm:@types/ws', '8.5.3')
('npm:workbox-routing', '6.5.3')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:@babel/plugin-transform-spread', '7.16.7')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:depd', '2.0.0')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:nanoid', '3.3.3')
('npm:postcss-font-variant', '5.0.0')
('npm:data-urls', '2.0.0')
('npm:@babel/helper-function-name', '7.23.0')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:string.prototype.trimstart', '1.0.4')
('npm:@jest/source-map', '29.6.0')
('npm:resolve-from', '5.0.0')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:diff-sequences', '29.4.3')
('npm:braces', '3.0.3')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:react-router', '5.3.4')
('npm:universalify', '2.0.0')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '5.4.0')
('npm:cosmiconfig', '7.0.1')
('npm:postcss-custom-properties', '12.1.7')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:mime-types', '2.1.35')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:nth-check', '1.0.2')
('npm:stable', '0.1.8')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:string.prototype.trimend', '1.0.4')
('actions:Azure/static-web-apps-deploy', '1.*.*')
('npm:v8-to-istanbul', '9.1.0')
('npm:html-encoding-sniffer', '2.0.1')
('npm:babel-plugin-polyfill-corejs3', '0.5.2')
('npm:is-generator-fn', '2.1.0')
('npm:postcss-color-functional-notation', '4.2.2')
('npm:@ant-design/icons', '4.8.3')
('npm:babel-plugin-named-asset-import', '0.3.8')
('npm:jest-environment-jsdom', '27.5.1')
('npm:cssesc', '3.0.0')
('npm:array-flatten', '1.1.1')
('npm:jest', '27.5.1')
('npm:dedent', '1.5.1')
('npm:domelementtype', '2.3.0')
('npm:serialize-javascript', '6.0.0')
('npm:@jest/console', '29.6.2')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:array-tree-filter', '2.1.0')
('npm:workbox-expiration', '6.5.3')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:jest-environment-node', '27.5.1')
('npm:postcss-flexbugs-fixes', '5.0.2')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:ignore', '5.2.0')
('npm:jest-runtime', '27.5.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:copy-anything', '2.0.6')
('npm:make-dir', '3.1.0')
('npm:webpack-dev-middleware', '5.3.4')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:@types/express', '4.17.13')
('npm:aria-query', '5.3.0')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:postcss-page-break', '3.0.4')
('npm:shebang-command', '2.0.0')
('npm:@types/stack-utils', '2.0.1')
('npm:@babel/plugin-transform-block-scoping', '7.16.7')
('npm:@svgr/plugin-svgo', '5.5.0')
('npm:hpack.js', '2.1.6')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:fill-range', '7.1.1')
('npm:workbox-window', '6.5.3')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:picocolors', '1.0.0')
('npm:postcss-initial', '4.0.1')
('npm:resolve', '2.0.0-next.3')
('npm:url-parse', '1.5.10')
('nuget:Swashbuckle.AspNetCore', '6.6.2')
('npm:dom-accessibility-api', '0.5.13')
('npm:enhanced-resolve', '5.12.0')
('npm:setprototypeof', '1.2.0')
('npm:css-what', '3.4.2')
('npm:resolve-url-loader', '4.0.0')
('npm:get-package-type', '0.1.0')
('npm:postcss-normalize-repeat-style', '5.1.0')
('npm:acorn-walk', '7.2.0')
('npm:@babel/plugin-transform-unicode-regex', '7.16.7')
('npm:postcss-minify-font-values', '5.1.0')
('npm:execa', '5.1.1')
('npm:jest-snapshot', '29.6.2')
('npm:builtin-modules', '3.2.0')
('npm:detect-port-alt', '1.1.6')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:rc-overflow', '1.3.2')
('npm:@babel/helpers', '7.17.9')
('npm:terser', '5.14.2')
('npm:string_decoder', '1.1.1')
('npm:eslint-scope', '7.1.1')
('npm:throttle-debounce', '5.0.0')
('npm:react-dom', '18.3.1')
('npm:lz-string', '1.5.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:is-plain-obj', '3.0.0')
('npm:indent-string', '4.0.0')
('npm:regenerator-runtime', '0.13.9')
('npm:ansi-styles', '3.2.1')
('npm:error-stack-parser', '2.0.7')
('npm:resolve', '1.22.0')
('npm:@jest/core', '27.5.1')
('npm:common-path-prefix', '3.0.0')
('npm:date-fns', '2.30.0')
('npm:acorn-globals', '6.0.0')
('npm:resize-observer-polyfill', '1.5.1')
('npm:postcss-discard-comments', '5.1.1')
('npm:jest-validate', '29.6.2')
('npm:less', '4.2.0')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('npm:whatwg-encoding', '1.0.5')
('npm:@adobe/css-tools', '4.4.0')
('npm:@types/serve-static', '1.13.10')
('npm:@babel/traverse', '7.23.2')
('npm:jest-docblock', '29.4.3')
('npm:jest-regex-util', '29.4.3')
('npm:get-intrinsic', '1.1.1')
('npm:clean-css', '5.3.0')
('npm:ansi-html-community', '0.0.8')
('npm:esrecurse', '4.3.0')
('npm:gzip-size', '6.0.0')
('npm:postcss-modules-local-by-default', '4.0.0')
('npm:chalk', '4.1.2')
('npm:has-property-descriptors', '1.0.0')
('npm:convert-source-map', '1.8.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:language-subtag-registry', '0.3.21')
('nuget:Microsoft.Extensions.Http.Resilience', '8.7.0')
('npm:cliui', '7.0.4')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:@webassemblyjs/wasm-opt', '1.11.1')
('npm:p-try', '1.0.0')
('npm:@babel/code-frame', '7.22.13')
('npm:browserslist', '4.20.2')
('npm:@babel/plugin-transform-modules-commonjs', '7.17.9')
('npm:postcss-logical', '5.0.4')
('npm:@babel/plugin-transform-block-scoped-functions', '7.16.7')
('npm:v8-to-istanbul', '8.1.1')
('npm:rc-dialog', '9.0.2')
('npm:content-disposition', '0.5.4')
('npm:micromatch', '4.0.5')
('npm:@trysound/sax', '0.2.0')
('npm:errno', '0.1.8')
('npm:shallowequal', '1.1.0')
('npm:@babel/plugin-proposal-private-property-in-object', '7.16.7')
('npm:at-least-node', '1.0.0')
('npm:@babel/helper-validator-identifier', '7.22.20')
('npm:workbox-range-requests', '6.5.3')
('npm:fast-glob', '3.2.11')
('npm:lodash.sortby', '4.7.0')
('npm:istanbul-lib-instrument', '5.2.0')
('npm:fsevents', '2.3.2')
('npm:css-tree', '1.0.0-alpha.37')
('npm:prettier', '3.3.2')
('npm:readdirp', '3.6.0')
('npm:js-yaml', '4.1.0')
('npm:jest-config', '29.6.2')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:lilconfig', '2.0.5')
('npm:handle-thing', '2.0.1')
('npm:@testing-library/jest-dom', '6.4.6')
('npm:jest-diff', '29.6.2')
('npm:@babel/plugin-transform-react-pure-annotations', '7.16.7')
('npm:postcss-reduce-initial', '5.1.0')
('nuget:OpenTelemetry.Instrumentation.Runtime', '1.9.0')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:commander', '8.3.0')
('npm:unicode-match-property-ecmascript', '2.0.0')
('actions:docker/login-action', '3.*.*')
('npm:chokidar', '3.5.3')
('npm:array-union', '2.1.0')
('npm:postcss-focus-visible', '6.0.4')
('npm:@rollup/pluginutils', '3.1.0')
('npm:tapable', '2.2.1')
('npm:@csstools/postcss-oklab-function', '1.1.0')
('npm:slugify', '1.6.6')
('npm:rc-virtual-list', '3.14.3')
('npm:min-indent', '1.0.1')
('npm:@webassemblyjs/helper-api-error', '1.11.1')
('npm:@types/yargs-parser', '21.0.0')
('npm:workbox-recipes', '6.5.3')
('npm:dom-align', '1.12.4')
('npm:@types/qs', '6.9.7')
('npm:supports-color', '5.5.0')
('npm:camel-case', '4.1.2')
('npm:globals', '13.13.0')
('npm:has-flag', '4.0.0')
('npm:csstype', '3.0.11')
('npm:colord', '2.9.2')
('npm:@typescript-eslint/scope-manager', '5.20.0')
('npm:get-own-enumerable-property-symbols', '3.0.2')
('npm:@csstools/postcss-progressive-custom-properties', '1.3.0')
('npm:dotenv', '10.0.0')
('npm:diff-sequences', '27.5.1')
('npm:js-yaml', '3.14.1')
('npm:regexpp', '3.2.0')
('npm:postcss-normalize-string', '5.1.0')
('npm:doctrine', '3.0.0')
('npm:babel-preset-react-app', '10.0.1')
('npm:object.hasown', '1.1.0')
('npm:object-hash', '3.0.0')
('npm:rollup-plugin-terser', '7.0.2')
