('go:go.opentelemetry.io/proto/otlp', '1.3.1')
('npm:yargs', '15.4.1')
('go:github.com/mitchellh/go-homedir', '1.1.0')
('npm:postcss-value-parser', '4.1.0')
('go:github.com/prometheus-community/prom-label-proxy', '0.8.1-0.20240127162815-c1195f9aabc0')
('go:gopkg.in/yaml.v3', '3.0.1')
('go:github.com/Azure/azure-sdk-for-go/sdk/azidentity', '1.6.0')
('go:github.com/pkg/errors', '0.9.1')
('go:github.com/julienschmidt/httprouter', '1.3.0')
('go:github.com/miekg/dns', '1.1.59')
('go:github.com/google/uuid', '1.6.0')
('go:github.com/metalmatze/signal', '0.0.0-20210307161603-1c9aa721a97a')
('go:github.com/fsnotify/fsnotify', '1.7.0')
('go:github.com/hashicorp/go-multierror', '1.1.1')
('go:github.com/blang/semver/v4', '4.0.0')
('npm:postcss', '7.0.39')
('go:github.com/matttproud/golang_protobuf_extensions', '1.0.4')
('go:github.com/lann/builder', '0.0.0-20180802200727-47ae307949d0')
('go:go.etcd.io/etcd/client/v3', '3.5.14')
('go:github.com/golang/groupcache', '0.0.0-20210331224755-41bb18bfe9da')
('go:github.com/coreos/go-systemd/v22', '22.5.0')
('go:github.com/hashicorp/memberlist', '0.5.1')
('go:github.com/mitchellh/go-wordwrap', '1.0.1')
('go:github.com/dustin/go-humanize', '1.0.1')
('go:github.com/go-openapi/errors', '0.22.0')
('go:go.opentelemetry.io/contrib/propagators/ot', '1.13.0')
('npm:postcss', '8.4.31')
('go:github.com/Azure/azure-sdk-for-go/sdk/internal', '1.8.0')
('go:golang.org/x/exp', '0.0.0-20240119083558-1b970713d09a')
('actions:docker/setup-qemu-action', '3.*.*')
('go:github.com/segmentio/fasthash', '1.0.3')
('go:github.com/json-iterator/go', '1.1.12')
('go:github.com/aws/aws-sdk-go-v2/internal/configsources', '1.1.23')
('go:github.com/golang/protobuf', '1.5.4')
('npm:@nodelib/fs.stat', '2.0.5')
('go:github.com/dgryski/go-rendezvous', '0.0.0-20200823014737-9f7001d12a5f')
('go:go.opentelemetry.io/contrib/propagators/jaeger', '1.13.0')
('npm:color-name', '1.1.4')
('go:github.com/cespare/xxhash', '1.1.0')
('go:go.opentelemetry.io/otel/exporters/otlp/otlptrace', '1.28.0')
('actions:actions/upload-artifact', '97a0fba1372883ab732affbe8f94b823f91727db')
