('npm:pinkie', '2.0.4')
('npm:@webassemblyjs/wasm-gen', '1.8.3')
('npm:astral-regex', '1.0.0')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:react-is', '16.8.2')
('npm:babylon', '6.18.0')
('npm:is-utf8', '0.2.1')
('npm:jest-changed-files', '23.4.2')
('npm:doctrine', '2.1.0')
('npm:es-abstract', '1.13.0')
('npm:webpack-dev-server', '3.1.14')
('npm:randombytes', '2.1.0')
('npm:anymatch', '2.0.0')
('npm:bytes', '3.0.0')
('npm:walker', '1.0.7')
('npm:webpack', '4.29.5')
('npm:ramda', '0.24.1')
('npm:babel-plugin-transform-es2015-modules-umd', '6.24.1')
('npm:throat', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:jest-serializer', '23.0.1')
('npm:through', '2.3.8')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:thunky', '1.0.3')
('npm:array-includes', '3.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:mime-db', '1.38.0')
('npm:callsites', '0.2.0')
('npm:pinkie-promise', '2.0.1')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:isarray', '0.0.1')
('npm:slice-ansi', '1.0.0')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:realpath-native', '1.1.0')
('npm:node-forge', '0.7.5')
('npm:latest-version', '3.1.0')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:core-js', '2.6.5')
('npm:sane', '2.5.2')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:strip-json-comments', '2.0.1')
('npm:select-hose', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:har-schema', '2.0.0')
('npm:arr-flatten', '1.1.0')
('npm:whatwg-url', '6.5.0')
('npm:rimraf', '2.6.3')
('npm:whatwg-mimetype', '2.3.0')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:@webassemblyjs/helper-code-frame', '1.8.3')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:deep-extend', '0.6.0')
('npm:leven', '2.1.0')
('npm:cacache', '11.3.2')
('npm:glob-parent', '2.0.0')
('npm:which', '1.3.1')
('npm:configstore', '3.1.2')
('npm:babel-plugin-transform-object-rest-spread', '6.26.0')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:interval-promise', '1.3.0')
('npm:bn.js', '4.11.8')
('npm:global-modules', '1.0.0')
('npm:for-in', '1.0.2')
('npm:babel-helper-replace-supers', '6.24.1')
('npm:json-find', '2.0.3')
('npm:babel-plugin-syntax-object-rest-spread', '6.13.0')
('npm:interpret', '1.2.0')
('npm:@babel/parser', '7.3.3')
('npm:cliui', '4.1.0')
('npm:util.promisify', '1.0.0')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:jest-environment-jsdom', '23.4.0')
('npm:symbol-tree', '3.2.2')
('npm:caller-path', '0.1.0')
('npm:findup-sync', '2.0.0')
('npm:browserify-sign', '4.0.4')
('npm:buffer', '4.9.1')
('npm:is-date-object', '1.0.1')
('npm:jest-haste-map', '23.6.0')
('npm:to-regex-range', '2.1.1')
('npm:undefsafe', '2.0.2')
('npm:loader-runner', '2.4.0')
('npm:repeat-string', '1.6.1')
('npm:babel-helper-hoist-variables', '6.24.1')
('npm:type-is', '1.6.16')
('npm:unset-value', '1.0.0')
('npm:emoji-regex', '7.0.3')
('npm:babel-template', '6.26.0')
('npm:request-promise-core', '1.1.2')
('npm:typedarray', '0.0.6')
('npm:source-map-support', '0.4.18')
('npm:buffer-indexof', '1.1.1')
('npm:create-hmac', '1.1.7')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:babel-runtime', '6.18.0')
('npm:arrify', '1.0.1')
('npm:depd', '1.1.2')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:prompts', '0.1.14')
('npm:multicast-dns-service-types', '1.1.0')
('npm:@babel/highlight', '7.0.0')
('npm:is-descriptor', '0.1.6')
('npm:strip-eof', '1.0.0')
('npm:serve-index', '1.9.1')
('npm:istanbul-api', '1.3.7')
('npm:memory-fs', '0.4.1')
('npm:heap', '0.2.6')
('npm:once', '1.4.0')
('npm:vm-browserify', '0.0.4')
('npm:string-length', '2.0.0')
('npm:acorn-globals', '4.3.0')
('npm:natural-compare', '1.4.0')
('npm:buffer-from', '1.1.1')
('npm:sprintf-js', '1.0.3')
('npm:get-stream', '3.0.0')
('npm:babel-helpers', '6.24.1')
('npm:regenerator-transform', '0.10.1')
('npm:nwsapi', '2.1.0')
('npm:cookiejar', '2.1.2')
('npm:strip-bom', '2.0.0')
('npm:is-path-cwd', '1.0.0')
('npm:babel-plugin-transform-es2015-for-of', '6.23.0')
('npm:acorn-jsx', '3.0.1')
('npm:http-proxy-middleware', '0.18.0')
('npm:chalk', '2.4.2')
('npm:async-each', '1.0.1')
('npm:path-key', '2.0.1')
('npm:crypto-random-string', '1.0.0')
('npm:minimist', '0.0.8')
('npm:spdx-correct', '3.1.0')
('npm:resolve', '1.10.0')
('npm:xml-name-validator', '3.0.0')
('npm:json3', '3.3.2')
('npm:concat-map', '0.0.1')
('npm:stream-shift', '1.0.0')
('npm:figgy-pudding', '3.5.1')
('npm:snapdragon-util', '3.0.1')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:request', '2.88.0')
('npm:mime', '1.4.1')
('npm:parse-json', '2.2.0')
('npm:component-emitter', '1.2.1')
('npm:swagger-ui-dist', '3.21.0')
('npm:schema-utils', '0.4.7')
('npm:snapdragon-node', '2.1.1')
('npm:widest-line', '2.0.1')
('npm:multicast-dns', '6.2.3')
('npm:end-of-stream', '1.4.1')
('npm:mkpath', '0.1.0')
('npm:ini', '1.3.5')
('npm:cross-spawn', '5.1.0')
('npm:prr', '1.0.1')
('npm:public-encrypt', '4.0.3')
('npm:cli-cursor', '2.1.0')
('npm:chownr', '1.1.1')
('npm:eslint-import-resolver-node', '0.3.2')
('npm:decompress-zip', '0.3.2')
('npm:kleur', '2.0.2')
('npm:duplexify', '3.7.1')
('npm:ansi-html', '0.0.7')
('npm:emojis-list', '2.1.0')
('npm:fuzzball', '1.2.0')
('npm:cipher-base', '1.0.4')
('npm:istanbul-lib-report', '1.1.5')
('npm:pako', '1.0.8')
('npm:supertest', '3.4.2')
('npm:default-gateway', '2.7.2')
('npm:esutils', '2.0.2')
('npm:terser', '3.16.1')
('npm:path-dirname', '1.0.2')
('npm:has-value', '1.0.0')
('npm:makeerror', '1.0.11')
('npm:axobject-query', '2.0.2')
('npm:babel-helper-regex', '6.26.0')
('npm:object.fromentries', '2.0.0')
('npm:@webassemblyjs/leb128', '1.8.3')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:range-parser', '1.2.0')
('npm:browserify-rsa', '4.0.1')
('npm:is-binary-path', '1.0.1')
