('npm:@types/retry', '0.12.0')
('npm:pinkie', '2.0.4')
('npm:@emotion/stylis', '0.8.5')
('npm:selfsigned', '2.1.1')
('npm:tmp', '0.2.1')
('npm:d3-dispatch', '3.0.1')
('npm:css-loader', '6.7.3')
('npm:npm-run-path', '2.0.2')
('pip:git', '')
('npm:@swc/core-win32-x64-msvc', '1.3.51')
('npm:shebang-command', '1.2.0')
('npm:semver-regex', '4.0.5')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('pip:libltdl-dev', '')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:randombytes', '2.1.0')
('npm:normalize-url', '6.1.0')
('npm:bytes', '3.1.2')
('npm:@webassemblyjs/wasm-gen', '1.11.1')
('npm:@webpack-cli/serve', '1.7.0')
('npm:bytes', '3.0.0')
('npm:postcss-modules-values', '4.0.0')
('npm:mini-css-extract-plugin', '2.7.5')
('npm:check-more-types', '2.24.0')
('npm:pretty-bytes', '5.6.0')
('npm:escape-html', '1.0.3')
('npm:through', '2.3.8')
('npm:json-schema-traverse', '0.4.1')
('npm:pinkie-promise', '2.0.1')
('npm:@cypress/xvfb', '1.2.4')
('npm:@types/d3-zoom', '3.0.2')
('npm:@swc/core-linux-arm64-gnu', '1.3.51')
('npm:encodeurl', '1.0.2')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:memfs', '3.5.0')
('npm:chrome-trace-event', '1.0.3')
('pip:aiofiles', '>= 0.8.0')
('npm:@types/http-proxy', '1.17.10')
('npm:postcss', '8.4.31')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:depd', '2.0.0')
('npm:@swc/cli', '0.1.62')
('npm:thunky', '1.1.0')
('npm:@types/styled-components', '5.1.26')
('npm:select-hose', '2.0.0')
('npm:got', '11.8.6')
('pip:lxml', '>= 3.4')
('pip:couchdb', '>= 1.2')
('pip:libxml2-utils', '')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:qs', '6.10.4')
('npm:type-fest', '0.21.3')
('npm:@babel/helper-function-name', '7.23.0')
('npm:setprototypeof', '1.1.0')
('npm:@types/d3-geo', '3.0.3')
('npm:jsprim', '2.0.2')
('npm:color-name', '1.1.4')
('npm:fastq', '1.15.0')
('npm:d3-format', '3.1.0')
('npm:@discoveryjs/json-ext', '0.5.7')
('npm:bin-version', '6.0.0')
('pip:cairosvg', '>= 2.5.3')
('npm:immer', '9.0.21')
('npm:sort-keys', '1.1.2')
('npm:rw', '1.3.3')
('npm:resolve-from', '5.0.0')
('npm:d3-geo', '3.1.0')
('npm:trim-repeated', '2.0.0')
('npm:@types/body-parser', '1.19.2')
('npm:which', '1.3.1')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:anymatch', '3.1.3')
('npm:braces', '3.0.3')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:react-transition-group', '2.9.0')
('npm:@types/d3-shape', '3.1.1')
('npm:neo-async', '2.6.2')
('npm:universalify', '2.0.0')
('npm:source-map-loader', '4.0.1')
('pip:zlib1g-dev', '')
('npm:camelize', '1.0.1')
('npm:toggle-selection', '1.0.6')
('npm:iconv-lite', '0.4.24')
('npm:loader-runner', '4.3.0')
('pip:aiosqlite', '>= 0.17.0')
('npm:range-parser', '1.2.1')
('npm:commander', '2.20.3')
('npm:jest-worker', '27.5.1')
('npm:deepmerge', '4.2.2')
('npm:webpack-cli', '4.10.0')
('npm:normalize-path', '3.0.0')
('npm:internmap', '2.0.3')
('npm:path-parse', '1.0.7')
('npm:tunnel-agent', '0.6.0')
('npm:readable-web-to-node-stream', '3.0.2')
