('npm:dom-serializer', '0.1.1')
('npm:@jest/transform', '26.6.2')
('npm:jest-get-type', '27.0.6')
('npm:postcss-load-config', '2.1.0')
('npm:whatwg-url', '7.1.0')
('npm:graceful-fs', '4.2.8')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:babylon', '6.18.0')
('npm:@vue/babel-preset-app', '4.5.13')
('npm:es-abstract', '1.13.0')
('npm:inquirer', '7.3.3')
('npm:walker', '1.0.7')
('npm:chrome-trace-event', '1.0.2')
('pip:docker-compose', '1.21.2')
('npm:bonjour', '3.5.0')
('npm:@vue/cli-plugin-babel', '4.5.13')
('npm:extend', '3.0.2')
('npm:is-core-module', '2.7.0')
('npm:@types/body-parser', '1.19.1')
('npm:spdx-expression-parse', '3.0.0')
('npm:@babel/helper-create-class-features-plugin', '7.12.1')
('npm:dns-txt', '2.0.2')
('npm:@babel/preset-modules', '0.1.4')
('pip:pytz', '2018.4')
('npm:flush-promises', '1.0.2')
('npm:@babel/plugin-syntax-class-properties', '7.12.1')
('npm:evp_bytestokey', '1.0.3')
('pip:zipp', '3.4.1')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:tsconfig', '7.0.0')
('npm:object-is', '1.0.2')
('pip:certifi', '2021.10.8')
('npm:signal-exit', '3.0.5')
('npm:for-in', '1.0.2')
('npm:node-cache', '4.2.1')
('npm:@babel/plugin-transform-block-scoped-functions', '7.12.1')
('npm:sass-loader', '7.3.1')
('npm:@types/source-list-map', '0.1.2')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:js-message', '1.0.5')
('npm:tunnel-agent', '0.6.0')
('npm:@types/webpack-env', '1.16.3')
('npm:is-descriptor', '0.1.6')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:arch', '2.1.1')
('npm:sprintf-js', '1.0.3')
('npm:cli-highlight', '2.1.4')
('npm:nth-check', '1.0.2')
('pip:soupsieve', '2.2.1')
('npm:p-map', '2.1.0')
('npm:stackframe', '1.1.1')
('npm:stable', '0.1.8')
('npm:spdx-correct', '3.1.0')
('npm:js-beautify', '1.11.0')
('npm:lodash.mapvalues', '4.6.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:string.prototype.trimstart', '1.0.0')
('pip:werkzeug', '0.14.1')
('npm:is-generator-fn', '2.1.0')
('npm:cipher-base', '1.0.4')
('pip:requests', '2.18.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:browserify-rsa', '4.0.1')
('npm:array-flatten', '1.1.1')
('npm:filesize', '3.6.1')
('npm:oauth-sign', '0.9.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:run-queue', '1.0.3')
('npm:@types/json-schema', '7.0.9')
('npm:hmac-drbg', '1.0.1')
('pip:docopt', '0.6.2')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:@babel/helper-get-function-arity', '7.15.4')
('npm:p-finally', '1.0.0')
('npm:write-file-atomic', '2.4.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:import-local', '2.0.0')
('npm:@types/express', '4.17.13')
('npm:xregexp', '4.3.0')
('npm:terser', '4.6.7')
('npm:regjsparser', '0.6.4')
('npm:@vue/babel-helper-vue-jsx-merge-props', '1.2.1')
('npm:@babel/plugin-transform-typeof-symbol', '7.12.10')
('npm:loader-fs-cache', '1.0.3')
('npm:ecc-jsbn', '0.1.2')
('npm:pretty', '2.0.0')
('npm:string.prototype.trimend', '1.0.0')
('npm:y18n', '4.0.1')
('npm:any-promise', '1.3.0')
('npm:hpack.js', '2.1.6')
('npm:dom-event-types', '1.0.0')
('npm:chokidar', '2.1.8')
('pip:importlib-resources', '5.1.4')
('pip:jinja2', '2.11.3')
('npm:http-proxy', '1.18.1')
