('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:@typescript-eslint/type-utils', '5.50.0')
('npm:wrappy', '1.0.2')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:recast', '0.11.23')
('npm:@types/express', '4.17.16')
('npm:which-typed-array', '1.1.9')
('npm:@smithy/util-hex-encoding', '2.0.0')
('npm:es-abstract', '1.21.1')
('npm:denque', '1.4.1')
('npm:@gulp-sourcemaps/map-sources', '1.0.0')
('npm:should', '1.2.1')
('npm:uglify-js', '~ 3.17.0')
('npm:eslint-plugin-standard', '1.3.1')
('npm:less', '3.13.1')
('npm:@types/ws', '8.5.3')
('npm:@babel/preset-env', '7.20.2')
('npm:extend', '3.0.2')
('npm:prebuild-install', '7.1.1')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:@babel/plugin-transform-spread', '7.16.7')
('npm:postcss', '8.4.31')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:depd', '2.0.0')
('npm:@babel/preset-modules', '0.1.4')
('npm:string-width', '4.2.2')
('npm:parseuri', '0.0.5')
('npm:@babel/plugin-transform-block-scoping', '7.12.13')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:is_js', '0.9.0')
('npm:gulp', '3.9.0')
('npm:@babel/helper-function-name', '7.23.0')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:@babel/plugin-transform-modules-umd', '7.13.0')
('npm:vinyl-contents', '2.0.0')
('npm:socket.io-client', '2.5.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:d3-geo', '3.1.0')
('npm:semver', '6.3.0')
('npm:zuul-builder-webpack', '1.1.0')
('npm:ms', '2.0.0')
('npm:async', '2.6.4')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:util.promisify', '1.0.0')
('npm:last-run', '2.0.0')
('npm:axe-core', '4.6.3')
('npm:@types/source-list-map', '0.1.2')
('npm:debug-fabulous', '0.0.4')
('npm:@babel/runtime', '7.13.10')
('npm:request', '2.88.2')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:void-elements', '3.1.0')
('npm:mime-types', '2.1.35')
('npm:vanilla-picker', '2.12.2')
('npm:array-each', '1.0.1')
('npm:@oozcitak/util', '8.3.8')
('npm:eslint-import-resolver-node', '0.3.7')
('npm:regexp-clone', '1.0.0')
('npm:available-typed-arrays', '1.0.5')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('npm:strip-ansi', '6.0.0')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-transform-unicode-regex', '7.12.13')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:gl-mat4', '1.2.0')
('npm:@aws-sdk/credential-provider-web-identity', '3.398.0')
('npm:d3-zoom', '3.0.0')
('npm:dom-serializer', '1.4.1')
