('nuget:Microsoft.Rest.ClientRuntime.Azure', '3.3.19')
('nuget:System.Diagnostics.PerformanceCounter', '4.5.0')
('nuget:System.Linq.Expressions', '4.3.0')
('nuget:System.Linq.Queryable', '4.3.0')
('nuget:System.Reflection.Primitives', '4.3.0')
('nuget:Microsoft.Extensions.Configuration.FileExtensions', '3.0.0')
('nuget:System.ServiceModel.Duplex', '4.8.0')
('nuget:System.AppContext', '4.3.0')
('nuget:Microsoft.ApplicationInsights.WindowsServer', '2.9.1')
('nuget:System.Linq', '4.3.0')
('nuget:System.Threading.Tasks', '4.3.0')
('nuget:jQuery.Validation', '1.19.4')
('nuget:System.Runtime.InteropServices', '4.3.0')
('nuget:NETStandard.Library', '2.0.3')
('nuget:System.Memory', '4.5.3')
('nuget:System.Threading.Tasks.Extensions', '4.5.1')
('nuget:Microsoft.AspNet.WebApi.Client', '5.2.7')
('nuget:System.Text.Encodings.Web', '4.7.2')
('nuget:Microsoft.AspNet.ScriptManager.WebForms', '5.0.0')
('nuget:System.ServiceModel.NetTcp', '4.8.0')
('nuget:Microsoft.Azure.KeyVault.WebKey', '3.0.4')
('nuget:Microsoft.IdentityModel.Protocols', '5.6.0')
('nuget:Microsoft.ApplicationInsights.Web', '2.9.1')
('nuget:System.Runtime', '4.3.1')
('nuget:System.Threading.Channels', '4.6.0')
('nuget:Autofac', '6.1.0')
('nuget:System.Diagnostics.Tools', '4.3.0')
('nuget:Microsoft.Extensions.Configuration.Json', '3.0.0')
('nuget:Microsoft.NETCore.Platforms', '3.0.0')
('nuget:Microsoft.AspNet.FriendlyUrls.Core', '1.0.2')
('nuget:Microsoft.Owin', '4.2.2')
('nuget:Antlr', '3.5.0.2')
('nuget:System.Security.Cryptography.Encoding', '4.3.0')
('nuget:Microsoft.Win32.Primitives', '4.3.0')
('nuget:System.ComponentModel.TypeConverter', '4.3.0')
('nuget:Microsoft.Bcl.AsyncInterfaces', '1.0.0')
('nuget:Microsoft.AspNet.WebPages', '3.2.7')
('nuget:System.Collections.Immutable', '1.6.0')
('nuget:System.Buffers', '4.5.0')
('nuget:Microsoft.IdentityModel.JsonWebTokens', '5.6.0')
('nuget:Microsoft.EntityFrameworkCore.SqlServer', '2.2.6')
('nuget:Autofac', '4.9.4')
('nuget:System.ObjectModel', '4.3.0')
('nuget:Microsoft.WindowsAzure.ConfigurationManager', '3.2.3')
('nuget:System.Runtime.CompilerServices.Unsafe', '4.6.0')
('nuget:Microsoft.ApplicationInsights.TraceListener', '2.11.0')
('nuget:System.IO.Pipelines', '4.6.0')
