('maven:io.netty:netty-transport-rxtx', '4.1.100')
('maven:org.eclipse.jetty:jetty-webapp', '9.4.53.v20231009')
('maven:org.apache.activemq:artemis-server', '2.31.2')
('maven:io.netty:netty-transport-native-kqueue', '4.1.100')
('maven:org.apache.maven.plugins:maven-dependency-plugin', '3.0.1')
('maven:org.eclipse.kapua:kapua-scheduler-quartz', '')
('maven:org.eclipse.kapua:kapua-device-management-asset-store-api', '')
('maven:org.eclipse.kapua:kapua-console-web', '')
('maven:com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider', '2.15.2')
('maven:org.apache.maven.plugins:maven-assembly-plugin', '3.0.0')
('maven:org.apache.httpcomponents:httpcore-osgi', '4.4.15')
('maven:org.eclipse.paho:org.eclipse.paho.client.mqttv3', '1.2.1')
('maven:org.eclipse.kapua:kapua-transport-api', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-stream-internal', '2.1.0-SNAPSHOT')
('maven:org.eclipse.kapua:kapua-locator-guice', '')
('maven:org.springframework:spring-beans', '')
('maven:org.eclipse.kapua:kapua-system-api', '')
('maven:org.eclipse.kapua:kapua-consumer-telemetry-app', '2.1.0-SNAPSHOT')
('maven:org.eclipse.persistence:org.eclipse.persistence.moxy', '2.7.12')
('maven:org.apache.commons:commons-lang3', '3.4')
('maven:io.netty:netty-handler-ssl-ocsp', '4.1.100')
('maven:com.google.gwt:gwt-user', '')
('maven:org.eclipse.kapua:kapua-client-gateway-spi', '2.1.0-SNAPSHOT')
('maven:commons-cli:commons-cli', '1.4')
('maven:org.springframework:spring-context', '')
('maven:org.eclipse.kapua:kapua-service-elasticsearch-client-api', '2.1.0-SNAPSHOT')
('maven:com.google.guava:failureaccess', '1.0.1')
('maven:io.netty:netty-transport-native-unix-common', '4.1.100')
('maven:org.yaml:snakeyaml', '')
('actions:actions/setup-node', '4.*.*')
('maven:org.elasticsearch.client:elasticsearch-rest-client', '')
('maven:org.apache.maven.plugins:maven-surefire-plugin', '3.0.0-M7')
('maven:com.allen-sauer.gwt.log:gwt-log', '')
('maven:org.springframework:spring-aop', '')
