('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('composer:symfony/filesystem', '5.4.40')
('npm:sass', '1.58.3')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:pkg-dir', '1.0.0')
('npm:which-typed-array', '1.1.9')
('npm:inquirer', '7.3.3')
('npm:@babel/plugin-transform-private-methods', '7.24.1')
('npm:tr46', '2.1.0')
('npm:es-abstract', '1.21.1')
('npm:@types/istanbul-reports', '3.0.4')
('npm:configstore', '5.0.1')
('npm:@babel/plugin-transform-block-scoped-functions', '7.24.1')
('npm:babel-jest', '27.5.1')
('npm:less-loader', '11.0.0')
('composer:ext-json', '>= 0')
('composer:phar-io/manifest', '2.0.4')
('composer:elasticms/helpers', '5.18.0')
('npm:jquery-knob', '1.2.11')
('npm:escape-string-regexp', '2.0.0')
('npm:@babel/preset-env', '7.20.2')
('composer:symfony/http-kernel', '5.4.40')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@sentry/node', '6.19.7')
('npm:style-loader', '3.3.4')
('npm:style-loader', '2.0.0')
('npm:@babel/runtime', '7.24.1')
('composer:psr/http-message', '1.1')
('npm:data-urls', '2.0.0')
('npm:@babel/helper-function-name', '7.23.0')
('npm:@elasticms/admin-menu', '1.0.6')
('npm:evp_bytestokey', '1.0.3')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:pbkdf2', '3.1.2')
('npm:acorn', '8.9.0')
('npm:datatables.net-bs', '1.12.1')
('npm:ms', '2.0.0')
('composer:dompdf/dompdf', '>= 2.0,< 3.0')
('npm:standard-engine', '14.0.1')
('npm:get-stream', '6.0.1')
('composer:robrichards/xmlseclibs', '3.1.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:postcss-loader', '7.3.3')
('composer:php-http/promise', '1.3.1')
('npm:url-loader', '4.1.1')
('composer:http-interop/http-factory-guzzle', '1.2.0')
('composer:elasticms/common-bundle', '~> 5.18.0')
('npm:es-module-lexer', '1.5.0')
('composer:phpunit/php-timer', '5.0.3')
('npm:webpack-cli', '4.10.0')
('npm:emoji-regex', '7.0.3')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:@types/minimatch', '3.0.5')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:@babel/runtime', '7.21.0')
('npm:mime-types', '2.1.35')
('npm:less', '4.1.3')
('npm:eslint-import-resolver-node', '0.3.7')
('composer:symfony/security-csrf', '>= 5.4,< 6.0')
('npm:collect-v8-coverage', '1.0.2')
('npm:available-typed-arrays', '1.0.5')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
