('rust:socket2', '0.5.7')
('rust:pin-project', '1.1.5')
('npm:yargs', '15.4.1')
('rust:toml', '0.8.12')
('npm:yargs-parser', '20.2.9')
('rust:ryu', '1.0.17')
('npm:@tootallnate/quickjs-emscripten', '0.23.0')
('npm:esbuild-linux-64', '0.14.54')
('npm:wrappy', '1.0.2')
('rust:matches', '0.1.10')
('rust:pango-sys', '0.15.10')
('rust:rangemap', '1.5.1')
('rust:markup5ever', '0.11.0')
('rust:bimap', '0.6.3')
('rust:rusty-fork', '0.3.0')
('rubygems:solve', '4.0.4')
('rubygems:rspec-expectations', '3.11.0')
('rust:lru-cache', '0.1.2')
('rust:ipnet', '2.9.0')
('rust:serde_repr', '0.1.18')
('rubygems:method_source', '1.0.0')
('rust:zbus_macros', '3.15.2')
('rust:rand', '>= 0.8.0,< 0.9.0')
('rust:ring', '>= 0.17.0,< 0.18.0')
('npm:extend', '3.0.2')
('rust:async-signal', '0.2.5')
('rust:quick-error', '1.2.3')
('rubygems:license_scout', '1.3.2')
('rust:windows-sys', '0.48.0')
('rust:wasi', '0.9.0+wasi-snapshot-preview1')
('rust:windows-core', '0.57.0')
('rust:opentelemetry-otlp', '0.15.0')
('actions:docker/setup-qemu-action', '3.*.*')
('rubygems:rspec-support', '3.11.0')
('rust:gobject-sys', '0.15.10')
('npm:@esbuild/linux-loong64', '0.14.54')
('rust:html5ever', '0.26.0')
('rust:serde_path_to_error', '0.1.16')
('rust:instant', '0.1.12')
('rust:plist', '1.6.1')
('rust:ipconfig', '0.3.2')
('actions:docker/setup-qemu-action', '2')
('rubygems:parser', '3.1.2.1')
('rust:crash-context', '0.6.1')
('rust:native-dialog', '0.7.0')
('rust:linked-hash-map', '0.5.6')
('rust:bstr', '1.9.1')
('npm:request', '2.88.2')
('rust:serde_derive', '1.0.203')
('npm:normalize-path', '3.0.0')
('rubygems:chef-utils', '17.10.0')
('npm:tunnel-agent', '0.6.0')
('rust:enumflags2_derive', '0.7.9')
('actions:actions/upload-artifact', '4.*.*')
('npm:promise-retry', '2.0.1')
('npm:mime-types', '2.1.35')
('rust:pathdiff', '0.2.1')
('rust:sadness-generator', '>= 0.5.0,< 0.6.0')
('rust:bytes', '1.6.0')
('rust:async-fs', '1.6.0')
('rust:windows-sys', '0.42.0')
('rust:winapi-x86_64-pc-windows-gnu', '0.4.0')
('rust:windows', '0.52.0')
('rust:system-deps', '6.2.2')
('rubygems:sslshake', '1.3.1')
('rust:sadness-generator', '0.5.0')
('rust:pin-project-lite', '0.2.14')
('rubygems:rainbow', '3.1.1')
('rust:objc2-app-kit', '0.2.0')
('rust:secret-service', '3.0.1')
('rust:url', '2.5.0')
('rust:ip_network', '0.4.1')
('rust:structmeta-derive', '0.2.0')
('rust:fxhash', '0.2.1')
('rust:windows-core', '0.51.1')
('rust:async-broadcast', '0.5.1')
('rubygems:rubocop-ast', '1.29.0')
('rust:libc', '0.2.155')
('rust:minimal-lexical', '0.2.1')
('rust:prost', '0.12.3')
('rust:rand_chacha', '0.3.1')
('rubygems:vault', '0.17.0')
('rust:either', '1.11.0')
('npm:esbuild-linux-32', '0.15.18')
('npm:oauth-sign', '0.9.0')
