('npm:pinkie', '2.0.4')
('npm:app-root-path', '2.2.0')
('npm:scss-tokenizer', '0.2.3')
('npm:@angular/compiler-cli', '7.2.10')
('npm:ansi-colors', '3.2.4')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:fs-extra', '7.0.1')
('npm:@angular-devkit/core', '7.3.6')
('npm:babylon', '6.18.0')
('npm:@webassemblyjs/wasm-opt', '1.7.11')
('npm:is-utf8', '0.2.1')
('npm:webpack-dev-server', '3.1.14')
('npm:randombytes', '2.1.0')
('npm:anymatch', '2.0.0')
('npm:rfdc', '1.1.2')
('npm:streamroller', '1.0.3')
('npm:bytes', '3.0.0')
('maven:org.springframework.boot:spring-boot-devtools', '')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:@xtuc/long', '4.2.1')
('npm:@ngtools/webpack', '7.3.6')
('npm:thunky', '1.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:mime-db', '1.38.0')
('npm:pinkie-promise', '2.0.1')
('npm:bonjour', '3.5.0')
('npm:async-each', '1.0.2')
('npm:encodeurl', '1.0.2')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:pako', '1.0.10')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:upath', '1.1.2')
('npm:node-forge', '0.7.5')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('npm:core-js', '2.6.5')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:select-hose', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:JSONStream', '1.3.5')
('npm:parseuri', '0.0.5')
('npm:cacache', '10.0.4')
('npm:smart-buffer', '4.0.2')
('maven:io.projectreactor:reactor-test', '')
('npm:har-schema', '2.0.0')
('npm:source-map-loader', '0.2.4')
('npm:are-we-there-yet', '1.1.5')
('npm:arr-flatten', '1.1.0')
('npm:qjobs', '1.2.0')
('npm:rimraf', '2.6.3')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:semver-dsl', '1.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:caniuse-lite', '1.0.30000951')
('npm:stylus-loader', '3.0.2')
('maven:org.springframework.boot:spring-boot-starter-data-cassandra', '')
('npm:rxjs', '6.3.3')
('npm:which', '1.3.1')
('npm:@schematics/angular', '7.3.6')
('npm:socket.io-parser', '3.2.0')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:bn.js', '4.11.8')
('npm:after', '0.8.2')
('npm:npm-bundled', '1.0.6')
('npm:js-joda', '1.9.3')
('npm:for-in', '1.0.2')
('npm:npm-package-arg', '6.1.0')
('npm:interpret', '1.2.0')
('npm:is-glob', '4.0.0')
('npm:set-immediate-shim', '1.0.1')
('npm:@webassemblyjs/wasm-parser', '1.7.11')
('npm:browserify-sign', '4.0.4')
('npm:dom-serialize', '2.2.1')
('npm:buffer', '4.9.1')
('npm:clone', '2.1.2')
('npm:tree-kill', '1.2.1')
('npm:socket.io-client', '2.1.1')
('npm:to-regex-range', '2.1.1')
('npm:@webassemblyjs/helper-wasm-bytecode', '1.7.11')
('npm:loader-runner', '2.4.0')
('npm:repeat-string', '1.6.1')
('npm:@types/source-list-map', '0.1.2')
('npm:type-is', '1.6.16')
('npm:unset-value', '1.0.0')
('npm:babel-template', '6.26.0')
('npm:normalize-range', '0.1.2')
('npm:typedarray', '0.0.6')
('npm:buffer-indexof', '1.1.1')
('npm:create-hmac', '1.1.7')
('npm:tunnel-agent', '0.6.0')
('npm:rechoir', '0.6.2')
('npm:shallow-clone', '1.0.0')
('npm:arrify', '1.0.1')
('npm:depd', '1.1.2')
('npm:source-map', '0.7.3')
('npm:multicast-dns-service-types', '1.1.0')
('npm:browserslist', '4.5.2')
('npm:@babel/highlight', '7.0.0')
('npm:is-descriptor', '0.1.6')
('npm:mem', '4.2.0')
('npm:mississippi', '2.0.0')
('npm:strip-eof', '1.0.0')
('npm:serve-index', '1.9.1')
('npm:mini-css-extract-plugin', '0.5.0')
('npm:memory-fs', '0.4.1')
('npm:once', '1.4.0')
('npm:ws', '3.3.3')
('npm:vm-browserify', '0.0.4')
('npm:buffer-from', '1.1.1')
('npm:sprintf-js', '1.0.3')
('npm:get-stream', '3.0.0')
('npm:meow', '3.7.0')
('npm:strip-bom', '2.0.0')
('npm:is-path-cwd', '1.0.0')
('npm:clean-css', '4.2.1')
('maven:org.springframework.boot:spring-boot-starter-webflux', '')
('npm:@babel/template', '7.4.0')
('npm:http-proxy-middleware', '0.18.0')
('npm:chalk', '2.4.2')
('npm:path-key', '2.0.1')
('npm:spdx-correct', '3.1.0')
('npm:protoduck', '5.0.1')
('npm:cssauron', '1.4.0')
('npm:saucelabs', '1.5.0')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('npm:resolve', '1.10.0')
('npm:agent-base', '4.2.1')
('npm:json3', '3.3.2')
('npm:concat-map', '0.0.1')
('npm:stream-shift', '1.0.0')
('npm:figgy-pudding', '3.5.1')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:parseqs', '0.0.5')
('npm:@webassemblyjs/helper-fsm', '1.7.11')
('npm:request', '2.88.0')
('npm:parse-json', '2.2.0')
('npm:component-emitter', '1.2.1')
('npm:snapdragon-node', '2.1.1')
('npm:end-of-stream', '1.4.1')
('npm:multicast-dns', '6.2.3')
('maven:javax.xml.bind:jaxb-api', '')
('npm:engine.io-parser', '2.1.3')
('npm:ini', '1.3.5')
('npm:prr', '1.0.1')
('npm:chownr', '1.1.1')
('npm:public-encrypt', '4.0.3')
('npm:cli-cursor', '2.1.0')
('npm:xmlbuilder', '9.0.7')
('npm:schema-utils', '1.0.0')
('npm:duplexify', '3.7.1')
('npm:read-cache', '1.0.0')
('npm:ansi-html', '0.0.7')
('npm:emojis-list', '2.1.0')
('npm:object-component', '0.0.3')
('npm:karma-coverage-istanbul-reporter', '2.0.5')
('npm:js-joda-timezone', '2.0.2')
('npm:istanbul-lib-source-maps', '3.0.2')
('npm:cipher-base', '1.0.4')
('npm:minipass', '2.3.5')
('npm:mime', '1.6.0')
('npm:which-module', '1.0.0')
('npm:default-gateway', '2.7.2')
('npm:esutils', '2.0.2')
('npm:path-dirname', '1.0.2')
('npm:has-value', '1.0.0')
('npm:npm-pick-manifest', '2.2.3')
('npm:array-flatten', '2.1.2')
('maven:com.lmax:disruptor', '3.4.2')
('maven:org.springframework.cloud:spring-cloud-dependencies', 'Greenwich.SR1')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('npm:normalize-path', '2.1.1')
('npm:range-parser', '1.2.0')
('npm:browserify-rsa', '4.0.1')
('npm:append-transform', '1.0.0')
('npm:is-binary-path', '1.0.1')
('npm:popper.js', '1.14.7')
('npm:performance-now', '2.1.0')
('npm:diff', '3.5.0')
('npm:delegates', '1.0.0')
('npm:webpack-merge', '4.2.1')
('npm:oauth-sign', '0.9.0')
('npm:speed-measure-webpack-plugin', '1.3.0')
('npm:lodash.debounce', '4.0.8')
('npm:object.pick', '1.3.0')
('npm:querystringify', '2.1.1')
('npm:get-caller-file', '1.0.3')
('npm:find-cache-dir', '1.0.0')
('npm:postcss', '7.0.14')
('npm:run-queue', '1.0.3')
('npm:arr-diff', '4.0.0')
('npm:is-windows', '1.0.2')
('npm:hmac-drbg', '1.0.1')
('npm:@angular-devkit/build-optimizer', '0.13.6')
('npm:arr-union', '3.1.0')
('npm:numeral', '2.0.6')
('npm:debug', '2.6.9')
('maven:com.datastax.cassandra:cassandra-driver-core', '')
('npm:imurmurhash', '0.1.4')
('npm:istanbul-reports', '2.1.1')
('npm:node-libs-browser', '2.2.0')
('npm:signal-exit', '3.0.2')
('com.github.flowant/website', '')
('npm:@babel/types', '7.4.0')
('npm:aproba', '1.2.0')
('npm:p-finally', '1.0.0')
('npm:iconv-lite', '0.4.23')
('npm:pump', '2.0.1')
('npm:is-wsl', '1.1.0')
('npm:uuid', '3.3.2')
('npm:@angular/core', '7.2.10')
('npm:punycode', '1.3.2')
('npm:async-foreach', '0.1.3')
('npm:default-require-extensions', '2.0.0')
('npm:pascalcase', '0.1.1')
('npm:validate-npm-package-name', '3.0.0')
('npm:@angular/language-service', '7.2.10')
('npm:minimatch', '3.0.4')
('npm:os-homedir', '1.0.2')
('npm:import-local', '2.0.0')
('npm:forwarded', '0.1.2')
('npm:selenium-webdriver', '3.6.0')
('npm:sass-graph', '2.2.4')
('npm:glob-parent', '3.1.0')
('npm:ignore', '3.3.10')
('npm:object-copy', '0.1.0')
('npm:node-gyp', '3.8.0')
('npm:body-parser', '1.18.3')
('npm:pify', '3.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:buffer-fill', '1.0.0')
('npm:fast-deep-equal', '2.0.1')
('npm:async', '2.6.2')
('npm:portfinder', '1.0.20')
('npm:lie', '3.3.0')
('npm:parseurl', '1.3.2')
('npm:camelcase', '2.1.1')
('npm:@types/jasmine', '2.8.16')
('npm:brace-expansion', '1.1.11')
('npm:send', '0.16.2')
('npm:combined-stream', '1.0.7')
('npm:fs.realpath', '1.0.0')
('npm:hpack.js', '2.1.6')
('npm:esrecurse', '4.2.1')
('npm:pseudomap', '1.0.2')
('npm:dependency-graph', '0.7.2')
('npm:terser', '3.17.0')
('npm:cliui', '3.2.0')
('npm:deep-equal', '1.0.1')
('npm:hash.js', '1.1.7')
('npm:@webassemblyjs/helper-wasm-section', '1.7.11')
('npm:mkdirp', '0.5.1')
('npm:socks', '2.3.2')
('npm:binary-extensions', '1.13.0')
('npm:engine.io-client', '3.2.1')
('npm:fileset', '2.0.3')
('npm:globals', '9.18.0')
('npm:des.js', '1.0.0')
('npm:is-arrayish', '0.2.1')
('npm:array-union', '1.0.2')
('npm:babel-traverse', '6.26.0')
('npm:stylus', '0.54.5')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-eureka-server', '')
('npm:http-proxy-agent', '2.1.0')
('npm:canonical-path', '1.0.0')
('npm:graceful-fs', '4.1.15')
('npm:karma-chrome-launcher', '2.2.0')
('npm:is-finite', '1.0.2')
('npm:stream-each', '1.2.3')
('npm:tough-cookie', '2.4.3')
('npm:cookie-signature', '1.0.6')
('npm:@xtuc/ieee754', '1.2.0')
('npm:supports-color', '6.1.0')
('npm:exit', '0.1.2')
('npm:builtin-modules', '1.1.1')
('npm:querystring-es3', '0.2.1')
('npm:sourcemap-codec', '1.4.4')
('npm:md5.js', '1.3.5')
('npm:@webassemblyjs/helper-buffer', '1.7.11')
('npm:xtend', '4.0.1')
('npm:to-fast-properties', '1.0.3')
('npm:@babel/helper-function-name', '7.1.0')
('npm:http-deceiver', '1.2.7')
('npm:map-obj', '1.0.1')
('npm:promise-inflight', '1.0.1')
('npm:https-browserify', '1.0.0')
('npm:buffer-alloc', '1.2.0')
('npm:optimist', '0.6.1')
('npm:postcss-load-config', '2.0.0')
('npm:bootstrap', '4.3.1')
('npm:to-object-path', '0.3.0')
('npm:symbol-observable', '1.2.0')
('npm:pumpify', '1.5.1')
('npm:promise-retry', '1.1.1')
('npm:spdx-license-ids', '3.0.3')
('npm:statuses', '1.4.0')
('npm:component-inherit', '0.0.3')
('npm:negotiator', '0.6.1')
('npm:faye-websocket', '0.10.0')
('npm:genfun', '5.0.0')
('npm:fresh', '0.5.2')
('npm:cosmiconfig', '4.0.0')
('npm:expand-brackets', '2.1.4')
('npm:http-errors', '1.6.3')
('npm:ip', '1.1.5')
('npm:@angular/platform-browser-dynamic', '7.2.10')
('npm:minimist', '1.2.0')
('npm:accepts', '1.3.5')
('npm:url-parse', '1.4.4')
('npm:resolve-from', '3.0.0')
('npm:clone-deep', '2.0.2')
('npm:null-check', '1.0.0')
('npm:compare-versions', '3.4.0')
('npm:slash', '1.0.0')
('npm:process', '0.11.10')
('npm:aws-sign2', '0.7.0')
('npm:@types/jasminewd2', '2.0.6')
('npm:p-limit', '1.3.0')
