('composer:symfony/polyfill-intl-idn', '1.26.0')
('composer:codeception/module-db', '2.0.2')
('composer:kartik-v/yii2-widget-typeahead', '1.0.4')
('composer:symfony/polyfill-intl-normalizer', '1.26.0')
('composer:symfony/deprecation-contracts', '2.5.1')
('composer:kartik-v/strength-meter', '1.1.4')
('composer:symfony/polyfill-iconv', '1.26.0')
('composer:symfony/finder', '5.4.8')
('composer:yiisoft/yii2-debug', '2.1.19')
('composer:kartik-v/dependent-dropdown', '1.4.9')
('composer:yiisoft/yii2-composer', '2.0.10')
('composer:kartik-v/yii2-widget-depdrop', '1.0.6')
('composer:sebastian/resource-operations', '3.0.3')
('composer:symfony/console', '5.4.9')
('composer:symfony/polyfill-php80', '1.26.0')
('composer:phpdocumentor/type-resolver', '1.6.1')
('composer:kartik-v/yii2-widget-sidenav', '1.0.1')
('composer:behat/gherkin', '4.9.0')
('composer:sebastian/diff', '4.0.4')
('composer:symfony/event-dispatcher', '5.4.9')
('composer:zbateson/mb-wrapper', '1.1.2')
('composer:doctrine/instantiator', '1.4.1')
('composer:yiisoft/yii2', '2.0.45')
('composer:codeception/module-webdriver', '2.0.2')
('composer:kartik-v/yii2-dialog', '1.0.6')
('composer:phpdocumentor/reflection-docblock', '5.3.0')
('composer:paragonie/random_compat', '9.99.100')
('composer:theseer/tokenizer', '1.2.1')
('composer:sunhater/kcfinder', '')
('composer:phpoffice/phpword', '0.18.3')
('composer:psr/event-dispatcher', '1.0.0')
('composer:sebastian/lines-of-code', '1.0.3')
('composer:symfony/polyfill-php72', '1.26.0')
('composer:phpspec/prophecy', '1.15.0')
('composer:php-webdriver/webdriver', '1.12.1')
('composer:symfony/polyfill-intl-grapheme', '1.26.0')
('composer:kartik-v/yii2-checkbox-x', '1.0.7')
('composer:kartik-v/yii2-krajee-base', '3.0.4')
('com.github.fundacionempowerment/VACH', '')
('composer:sebastian/recursion-context', '4.0.4')
('composer:sebastian/type', '3.0.0')
('composer:sebastian/code-unit-reverse-lookup', '2.0.3')
('composer:kartik-v/yii2-widget-activeform', '1.6.2')
('composer:markbaker/complex', '3.0.1')
('composer:zbateson/stream-decorators', '1.0.6')
('composer:codeception/stub', '4.0.2')
('composer:kartik-v/yii2-widget-rating', '1.0.5')
('composer:sebastian/comparator', '4.0.6')
('composer:symfony/polyfill-mbstring', '1.26.0')
('composer:sebastian/version', '3.0.2')
('composer:symfony/yaml', '5.4.3')
('composer:sebastian/code-unit', '1.0.8')
