('maven:org.springframework.security:spring-security-bom', '5.7.12')
('maven:io.micrometer:micrometer-registry-prometheus', '')
('maven:io.github.git-commit-id:git-commit-id-maven-plugin', '7.0.0')
('maven:org.geoserver.community:gs-cog-google', '')
('maven:org.geoserver.community:gs-cog-core', '')
('maven:org.geoserver.cloud:gs-cloud-spring-factory', '')
('maven:org.apache.maven.plugins:maven-jar-plugin', '')
('maven:org.geotools.jdbc:gt-jdbc-sqlserver', '31-SNAPSHOT')
('maven:org.apache.logging.log4j:log4j-bom', '2.21.1')
('maven:com.spotify.fmt:fmt-maven-plugin', '2.21.1')
('maven:org.geoserver.importer:gs-importer-web', '')
('maven:org.flywaydb:flyway-database-postgresql', '')
('maven:org.springframework.boot:spring-boot-autoconfigure-processor', '')
('maven:org.geoserver.extension:gs-web-resource', '')
('maven:org.codehaus.mojo:build-helper-maven-plugin', '3.4.0')
('maven:org.geoserver.web:gs-web-wms', '2.25.2.1-CLOUD')
('maven:org.geoserver.extension:gs-mbstyle', '')
('actions:docker/login-action', '1.*.*')
('maven:org.geoserver.extension:gs-vectortiles', '2.25.2.1-CLOUD')
('maven:org.geotools:gt-process-raster', '31-SNAPSHOT')
('maven:io.netty:netty-codec-http', '4.1.46')
('maven:org.geoserver.cloud.catalog.jackson:gt-jackson-bindings', '')
('maven:io.netty:netty-codec', '4.1.46')
('maven:org.geoserver.web:gs-web-wfs', '2.25.2.1-CLOUD')
('maven:org.geoserver.extension:gs-authkey', '2.25.2.1-CLOUD')
('maven:org.geoserver:gs-wcs1_0', '')
('maven:org.geoserver:gs-main', '2.25.2.1-CLOUD')
('maven:org.geoserver:gs-wms', '2.25.2.1-CLOUD')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '3.11.0')
('maven:org.geotools:gt-property', '31-SNAPSHOT')
('maven:org.geotools:gt-shapefile', '31-SNAPSHOT')
('maven:org.geoserver.cloud.catalog:gs-cloud-catalog-plugin', '')
('actions:sigstore/cosign-installer', '3.5.0')
('maven:org.geoserver.cloud.gwc:gwc-cloud-blobstores', '')
('maven:org.geotools:gt-imagepyramid', '')
('maven:com.github.ben-manes.caffeine:caffeine', '')
('maven:commons-collections:commons-collections', '3.2.2')
('maven:org.geoserver.web:gs-web-gwc', '2.25.2.1-CLOUD')
('maven:commons-lang:commons-lang', '2.6')
('maven:com.google.errorprone:error_prone_annotations', '2.18.0')
('maven:io.netty:netty-codec-http2', '4.1.46')
('maven:org.geoserver.web:gs-web-wcs', '2.25.2.1-CLOUD')
('maven:io.netty:netty-handler', '4.1.46')
('maven:software.amazon.awssdk:auth', '2.20.117')
('maven:com.h2database:h2', '1.4.200')
('maven:org.geoserver.community:gs-jdbcconfig', '')
('maven:org.geoserver.cloud.catalog.backend:gs-cloud-catalog-backend-jdbcconfig', '')
('actions:actions/cache', '3.*.*')
('maven:org.geotools:gt-epsg-hsql', '')
('maven:org.geoserver.extension:gs-gwc-s3', '2.25.2.1-CLOUD')
('maven:org.geoserver.acl.plugin:gs-acl-client-plugin', '')
('maven:com.github.ekryd.sortpom:sortpom-maven-plugin', '')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '')
('maven:com.h2database:h2', '')
('maven:org.geoserver.cloud.gwc:gwc-cloud-core', '')
('maven:org.geoserver:gs-wfs', '2.25.2.1-CLOUD')
('maven:org.geoserver.cloud:gs-cloud-starter-wms-extensions', '')
('maven:org.xmlunit:xmlunit-matchers', '')
('maven:org.geoserver.community:gs-flatgeobuf', '')
('maven:io.netty:netty-buffer', '4.1.46')
('maven:org.flywaydb:flyway-database-postgresql', '10.10.0')
('maven:org.geotools:gt-main', '31-SNAPSHOT')
('maven:javax.measure:unit-api', '2.1.3')
('maven:org.geoserver.extension:gs-feature-pregeneralized', '2.25.2.1-CLOUD')
('maven:org.apache.maven.plugins:maven-enforcer-plugin', '3.4.1')
('actions:actions/checkout', '2.*.*')
('maven:org.apache.commons:commons-lang3', '3.14.0')
('maven:org.jssqlite-jdbcon:json', '20230618')
('maven:org.geoserver.web:gs-web-rest', '2.25.2.1-CLOUD')
('maven:org.springframework.boot:spring-boot-dependencies', '2.7.18')
('maven:org.geoserver.cloud.catalog:gs-cloud-catalog-cache', '')
('maven:org.geoserver:gs-platform', '2.25.2.1-CLOUD')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('maven:net.minidev:json-smart', '2.5.0')
('actions:actions/setup-java', '4.*.*')
('maven:io.netty:netty-common', '4.1.46')
('maven:org.geoserver:gs-restconfig-wfs', '2.25.2.1-CLOUD')
('maven:org.testcontainers:rabbitmq', '')
('maven:org.geoserver:gs-rest', '2.25.2.1-CLOUD')
('maven:org.geotools:gt-arcgrid', '')
('maven:org.geoserver.importer:gs-importer-rest', '2.25.2.1-CLOUD')
('maven:com.github.ekryd.sortpom:sortpom-maven-plugin', '3.3.0')
('maven:org.geoserver:gs-gwc', '2.25.2.1-CLOUD')
('maven:org.checkerframework:checker-qual', '3.33.0')
('maven:org.apache.wicket:wicket-core', '7.18.0')
('com.github.geoserver/geoserver-cloud', '')
('maven:org.xerial:sqlite-jdbc', '3.42.0.0')
('maven:org.mapstruct:mapstruct', '')
('maven:org.geoserver.web:gs-web-core', '')
('maven:org.geotools:gt-process', '')
('maven:org.geoserver.community:gs-cog-s3', '')
('maven:com.amazonaws:aws-java-sdk-s3', '1.12.261')
('maven:org.geoserver.community:gs-pgraster', '')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('maven:software.amazon.awssdk:sts', '2.20.117')
('maven:org.codehaus.mojo:flatten-maven-plugin', '')
('maven:com.google.http-client:google-http-client-gson', '1.42.0')
('maven:org.jacoco:jacoco-maven-plugin', '0.8.11')
('maven:org.geoserver.extension:gs-css', '2.25.2.1-CLOUD')
('maven:org.geoserver.cloud:gs-cloud-starter-security', '')
('maven:org.geoserver.web:gs-web-sec-core', '2.25.2.1-CLOUD')
('maven:org.geoserver.cloud:gs-cloud-starter-event-bus', '')
('maven:org.geoserver:gs-wcs', '')
('maven:org.geotools:gt-wms', '31-SNAPSHOT')
('maven:io.netty:netty-handler-proxy', '4.1.46')
('actions:actions/checkout', '4.*.*')
('maven:org.geotools.jdbc:gt-jdbc-oracle', '')
