('npm:detective-es6', '2.2.0')
('npm:dom-serializer', '0.1.1')
('npm:yargs', '15.4.1')
('npm:yargs-parser', '20.2.9')
('npm:@babel/plugin-syntax-top-level-await', '7.10.4')
('npm:babel-plugin-extract-import-names', '1.6.22')
('npm:postcss-load-config', '2.1.0')
('npm:whatwg-url', '7.1.0')
('npm:sort-keys', '2.0.0')
('npm:lunr', '2.3.8')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@babel/helper-simple-access', '7.10.4')
('npm:remark-collapse', '0.1.2')
('npm:fast-glob', '3.2.6')
('pip:responses', '0.22.0')
('npm:inquirer', '7.3.3')
('npm:@fortawesome/fontawesome-svg-core', '1.2.30')
('pip:black', '22.12.0')
('npm:eval', '0.1.4')
('npm:swagger2openapi', '6.2.3')
('npm:configstore', '5.0.1')
('npm:css-has-pseudo', '0.10.0')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:chrome-trace-event', '1.0.2')
('npm:escape-string-regexp', '2.0.0')
('pip:toolz', '0.12.0')
('npm:@babel/plugin-transform-function-name', '7.14.5')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:detective-stylus', '1.0.0')
('npm:treeify', '1.1.0')
('npm:bonjour', '3.5.0')
('npm:globby', '11.0.1')
('npm:lodash.foreach', '4.5.0')
('npm:fbemitter', '3.0.0')
('pip:dask', '2022.10.2')
('npm:extend', '3.0.2')
('pip:pbr', '5.11.1')
('npm:remark-mark-plus', '1.0.21')
('pip:pydoc-markdown', '4.7.0')
('npm:@babel/helper-builder-react-jsx-experimental', '7.11.5')
('npm:@babel/helper-create-class-features-plugin', '7.12.1')
('npm:dns-txt', '2.0.2')
('npm:@types/estree', '0.0.48')
('npm:shallow-clone', '0.1.2')
('npm:@babel/plugin-transform-reserved-words', '7.14.5')
('npm:@babel/preset-modules', '0.1.4')
('npm:is-core-module', '2.4.0')
('npm:immer', '8.0.1')
('npm:tslib', '1.13.0')
('npm:are-we-there-yet', '1.1.5')
('npm:@babel/plugin-syntax-class-properties', '7.12.1')
('npm:@oclif/plugin-not-found', '1.2.4')
('npm:timed-out', '4.0.1')
('npm:tiny-invariant', '1.1.0')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:netlify-cli', '3.39.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:tinycolor2', '1.4.2')
('npm:ms', '2.0.0')
('npm:wrap-ansi', '4.0.0')
('npm:for-in', '1.0.2')
('npm:decko', '1.2.0')
('npm:get-stream', '6.0.1')
('npm:util.promisify', '1.0.0')
('npm:url-loader', '4.1.1')
('npm:@babel/plugin-transform-block-scoped-functions', '7.12.1')
('npm:remark-kbd', '1.0.21')
('npm:stylis', '3.5.4')
('npm:universalify', '2.0.0')
('npm:electron-to-chromium', '1.3.759')
('pip:requests-toolbelt', '1.0.0')
('npm:cross-fetch', '3.1.4')
('npm:std-env', '2.2.1')
('npm:@sindresorhus/is', '2.1.1')
