('npm:@lerna/write-log-file', '4.0.0')
('npm:path-to-regexp', '6.2.0')
('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('npm:domexception', '2.0.1')
('npm:scss-tokenizer', '0.2.3')
('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:jest-get-type', '27.0.6')
('npm:@vueuse/core', '7.7.1')
('npm:commander', '2.15.1')
('npm:sort-keys', '2.0.0')
('npm:graceful-fs', '4.2.8')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:babel-plugin-polyfill-corejs3', '0.2.1')
('npm:write-json-file', '4.3.0')
('npm:emittery', '0.7.2')
('npm:update-notifier', '4.1.3')
('npm:inquirer', '7.3.3')
('npm:tr46', '2.1.0')
('npm:esbuild-freebsd-64', '0.14.28')
('npm:configstore', '5.0.1')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:babel-jest', '27.5.1')
('npm:vue', '2.6.12')
('npm:eventemitter2', '0.4.14')
('npm:chrome-trace-event', '1.0.2')
('npm:real-require', '0.1.0')
('npm:cli-tableau', '2.0.1')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:vue-client-only', '2.0.0')
('npm:encoding-negotiator', '2.0.1')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:html-tags', '2.0.0')
('npm:@types/body-parser', '1.19.1')
('npm:depd', '2.0.0')
('npm:@types/express', '4.17.12')
('npm:@babel/preset-modules', '0.1.4')
('npm:string-width', '4.2.2')
('npm:is-core-module', '2.4.0')
('npm:p-limit', '3.1.0')
('npm:esbuild-linux-ppc64le', '0.15.10')
('npm:is-finite', '1.1.0')
('npm:are-we-there-yet', '1.1.5')
('npm:data-urls', '2.0.0')
('npm:@types/webpack-sources', '2.1.0')
('npm:temp-write', '4.0.0')
('npm:evp_bytestokey', '1.0.3')
('npm:string.prototype.trimstart', '1.0.4')
('npm:@lerna/describe-ref', '4.0.0')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:p-waterfall', '2.1.1')
('npm:@types/webpack', '4.41.29')
('npm:@lerna/run-topologically', '4.0.0')
('npm:@types/node', '18.0.3')
('npm:@nuxt/components', '2.1.8')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:abort-controller', '3.0.0')
('npm:split', '0.3.3')
('npm:rollup', '2.78.1')
('npm:ms', '2.0.0')
('npm:@babel/plugin-transform-modules-amd', '7.14.2')
('npm:@vue/reactivity', '3.2.31')
('npm:for-in', '1.0.2')
('npm:get-stream', '6.0.1')
('npm:shiki', '0.11.1')
('npm:read-cmd-shim', '2.0.0')
('npm:util.promisify', '1.0.0')
('npm:jest-haste-map', '26.6.2')
('npm:url-loader', '4.1.1')
('npm:@types/http-proxy', '1.17.6')
('npm:universalify', '2.0.0')
('npm:@types/babel__traverse', '7.14.2')
('npm:conventional-changelog-writer', '5.0.1')
('npm:@types/source-list-map', '0.1.2')
('npm:@types/axios', '0.14.0')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:@lerna/listable', '4.0.0')
('npm:emoji-regex', '7.0.3')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-range', '0.1.2')
('npm:@types/minimatch', '3.0.5')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:code-block-writer', '11.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:@lerna/pack-directory', '4.0.0')
('npm:promise-retry', '2.0.1')
('npm:semver', '7.3.5')
('npm:mime-types', '2.1.35')
('npm:is-docker', '2.1.1')
('npm:quick-format-unescaped', '4.0.4')
('npm:fs-extra', '10.0.1')
('npm:fastify-dx', '0.0.19')
('npm:regexp-clone', '1.0.0')
('npm:is-descriptor', '0.1.6')
('npm:global-dirs', '2.0.1')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:log-driver', '1.2.7')
('npm:@types/node', '17.0.24')
('npm:ansi-align', '3.0.0')
('npm:@types/mongoose', '5.10.4')
('npm:jest-leak-detector', '27.2.0')
('npm:sprintf-js', '1.0.3')
('npm:stack-utils', '2.0.3')
('npm:fastify-vite-vue', '3.0.0-beta.3')
('npm:strip-ansi', '6.0.0')
('npm:@babel/highlight', '7.17.9')
('npm:check-error', '1.0.2')
('npm:@babel/plugin-transform-unicode-regex', '7.12.13')
('npm:nth-check', '1.0.2')
('npm:bn.js', '4.12.0')
('npm:@lerna/prompt', '4.0.0')
('npm:stable', '0.1.8')
('npm:@nuxt/server', '2.15.6')
('npm:is-number-object', '1.0.5')
('npm:@nuxt/vue-renderer', '2.15.6')
('npm:snakeize', '0.1.0')
('npm:walker', '1.0.8')
('npm:dom-serializer', '1.4.1')
('npm:string.prototype.trimend', '1.0.4')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:ws', '7.2.5')
('npm:git-url-parse', '11.6.0')
('npm:@babel/generator', '7.17.9')
('npm:@npmcli/ci-detect', '1.4.0')
('npm:mongoose', '5.13.2')
('npm:update-notifier', '4.1.1')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:degenerator', '2.2.0')
('npm:has-bigints', '1.0.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:@algolia/autocomplete-core', '1.7.1')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:git-semver-tags', '4.1.1')
('npm:nwsapi', '2.2.1')
('npm:esbuild-darwin-arm64', '0.14.28')
('npm:cross-env', '5.2.1')
('npm:multer', '1.4.2')
('npm:@nodelib/fs.stat', '2.0.4')
('npm:cipher-base', '1.0.4')
('npm:jest-environment-jsdom', '27.5.1')
('npm:cssesc', '3.0.0')
('npm:regjsparser', '0.6.9')
('npm:@babel/plugin-proposal-logical-assignment-operators', '7.14.2')
('npm:teeny-request', '7.1.0')
('npm:source-map-support', '0.5.19')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:jest', '27.5.1')
('npm:minipass', '2.9.0')
('npm:domelementtype', '2.3.0')
('npm:oauth-sign', '0.9.0')
('npm:fast-redact', '3.1.1')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:@vue/compiler-core', '3.2.31')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:jest-environment-node', '27.5.1')
('npm:debug', '2.6.9')
('npm:lodash.get', '4.4.2')
('npm:@babel/helper-get-function-arity', '7.15.4')
('npm:@babel/compat-data', '7.18.8')
('npm:pupa', '2.0.1')
('npm:is-ci', '3.0.0')
('npm:@lerna/resolve-symlink', '4.0.0')
('npm:p-finally', '1.0.0')
('npm:uuid', '3.3.2')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:safe-stable-stringify', '2.3.1')
('npm:nopt', '5.0.0')
('npm:ignore', '5.2.0')
('npm:@babel/plugin-transform-named-capturing-groups-regex', '7.12.13')
('npm:jest-runtime', '27.5.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:@lerna/prerelease-id-from-version', '4.0.0')
('npm:v8-compile-cache-lib', '3.0.1')
('npm:typescript', '4.2.4')
('npm:@types/express', '4.17.13')
('npm:npm-bundled', '1.1.2')
('npm:@google-cloud/common', '3.6.0')
('npm:optimize-css-assets-webpack-plugin', '5.0.6')
('npm:create-require', '1.1.1')
('npm:shebang-command', '2.0.0')
('npm:@vue/babel-helper-vue-jsx-merge-props', '1.2.1')
('npm:scule', '0.2.1')
('npm:@jridgewell/trace-mapping', '0.3.4')
('npm:ecc-jsbn', '0.1.2')
('npm:@types/stack-utils', '2.0.1')
('npm:y18n', '4.0.1')
('npm:socks-proxy-agent', '6.2.1')
('npm:tmpl', '1.0.4')
('npm:pacote', '11.3.5')
('npm:@lerna/clean', '4.0.0')
('npm:handlebars', '4.7.7')
('npm:decamelize-keys', '1.1.0')
('npm:esbuild-netbsd-64', '0.14.34')
('npm:@lerna/collect-updates', '4.0.0')
('npm:chokidar', '2.1.8')
('npm:aggregate-error', '3.1.0')
('npm:get-pkg-repo', '4.2.1')
('npm:http-proxy', '1.18.1')
('npm:undefsafe', '2.0.5')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:@lerna/link', '4.0.0')
('npm:serialize-javascript', '5.0.1')
('npm:esbuild-linux-riscv64', '0.15.10')
('npm:query-string', '4.3.4')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:@jridgewell/trace-mapping', '0.3.14')
('npm:graceful-fs', '4.2.9')
('npm:picocolors', '1.0.0')
('npm:p-locate', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:mime-types', '2.1.32')
('npm:@octokit/types', '6.39.0')
('npm:minipass-fetch', '1.4.1')
('npm:http-errors', '1.7.3')
('npm:minipass-json-stream', '1.0.1')
('npm:@vue/compiler-dom', '3.2.40')
('npm:@vue/compiler-sfc', '3.2.31')
('npm:hable', '3.0.0')
('npm:exec-sh', '0.3.6')
('npm:@vue/shared', '3.2.33')
('npm:pumpify', '1.5.1')
('npm:spdx-license-ids', '3.0.7')
('npm:cssnano-util-get-match', '4.0.0')
('npm:@babel/helper-validator-identifier', '7.16.7')
('npm:mongodb', '3.6.11')
('npm:pm2-multimeter', '0.1.2')
('npm:moment', '2.29.1')
('npm:semver', '7.3.7')
('npm:git-raw-commits', '2.0.11')
('npm:@types/validator', '13.1.4')
('npm:@types/q', '1.5.4')
('npm:run-series', '1.1.9')
('npm:setprototypeof', '1.2.0')
('npm:envinfo', '7.8.1')
('npm:mime-db', '1.47.0')
('npm:@types/node', '12.20.24')
('npm:postcss-double-position-gradients', '1.0.0')
('npm:prepend-http', '2.0.0')
('npm:read-package-tree', '5.3.1')
('npm:esbuild-linux-ppc64le', '0.14.28')
('npm:stream-shift', '1.0.1')
('npm:aws-sign2', '0.7.0')
('npm:type-fest', '0.4.1')
('npm:@element-plus/icons-vue', '0.2.7')
('npm:css-what', '3.4.2')
('npm:get-package-type', '0.1.0')
('npm:infer-owner', '1.0.4')
('npm:postcss-color-mod-function', '3.0.3')
('npm:acorn-walk', '7.2.0')
('npm:jiti', '1.9.2')
('npm:node-sass', '6.0.0')
('npm:@lerna/global-options', '4.0.0')
('npm:signal-exit', '3.0.3')
('npm:execa', '5.1.1')
('npm:redis-errors', '1.2.0')
('npm:execa', '1.0.0')
('npm:process-warning', '2.0.0')
('npm:jws', '3.2.2')
('npm:graceful-fs', '4.2.4')
('npm:find-up', '3.0.0')
('npm:@sinonjs/fake-timers', '7.1.2')
('npm:component-emitter', '1.3.0')
('npm:postcss-calc', '7.0.5')
('npm:@babel/helpers', '7.17.9')
('npm:@babel/helper-create-regexp-features-plugin', '7.14.3')
('npm:string_decoder', '1.1.1')
('npm:dayjs', '1.8.36')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:postcss-env-function', '2.0.2')
('npm:is-number', '3.0.0')
('npm:true-case-path', '1.0.3')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:is-core-module', '2.8.1')
('npm:is-plain-obj', '3.0.0')
('npm:indent-string', '4.0.0')
('npm:cli-cursor', '3.1.0')
('npm:node-forge', '0.10.0')
('npm:sass-graph', '2.2.5')
('npm:@types/mongoose', '5.11.97')
('npm:ansi-styles', '3.2.1')
('npm:@vue/babel-sugar-inject-h', '1.2.2')
('npm:define-properties', '1.1.3')
('npm:@babel/plugin-proposal-class-properties', '7.13.0')
('npm:resolve', '1.22.0')
('npm:@jest/core', '27.5.1')
('npm:@lerna/otplease', '4.0.0')
('npm:@babel/plugin-transform-duplicate-keys', '7.12.13')
('npm:destr', '1.1.0')
('npm:escodegen', '2.0.0')
('npm:buffer-json', '2.0.0')
('npm:acorn-globals', '6.0.0')
('npm:mkdirp', '0.5.5')
('npm:@babel/helper-compilation-targets', '7.13.16')
('npm:cookie', '0.4.2')
('npm:esbuild-android-arm64', '0.14.34')
('npm:light-my-request', '4.9.0')
('npm:jest-each', '26.6.2')
('npm:@csstools/convert-colors', '1.4.0')
('npm:pm2', '4.5.6')
('npm:defu', '3.2.2')
('npm:nanoid', '3.1.20')
('npm:postcss-logical', '3.0.0')
('npm:esbuild-sunos-64', '0.14.28')
('npm:tslib', '2.1.0')
('npm:@lerna/version', '4.0.0')
('npm:kleur', '4.1.4')
('npm:jest-snapshot', '27.2.1')
('npm:esbuild-openbsd-64', '0.15.10')
('npm:@pm2/io', '5.0.0')
('npm:whatwg-encoding', '1.0.5')
('npm:xregexp', '2.0.0')
('npm:set-value', '2.0.1')
('npm:whatwg-url', '8.6.0')
('npm:@types/serve-static', '1.13.10')
('npm:bs-logger', '0.2.6')
('npm:sentence-case', '3.0.4')
('npm:kareem', '2.3.2')
('npm:detect-indent', '6.1.0')
('npm:get-intrinsic', '1.1.1')
('npm:pm2-deploy', '1.0.2')
('npm:@tsconfig/node12', '1.0.11')
('npm:esrecurse', '4.3.0')
('npm:jwa', '2.0.0')
('npm:url', '0.10.3')
('npm:gzip-size', '6.0.0')
('npm:@intlify/vue-devtools', '9.2.0-beta.33')
('npm:chalk', '4.1.2')
('npm:htmlparser2', '3.10.1')
('npm:has-property-descriptors', '1.0.0')
